,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Antoine Griezmann,7.0,fr  FRA,FW,29-224,90,0,0,0,0,2,0,0,0,4,0,0,0,3,0,0,
1,Ansu Fati,22.0,es  ESP,LW,18-000,77,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,
2,Martin Braithwaite,9.0,dk  DEN,LW,29-148,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
3,Ousmane Dembélé,11.0,fr  FRA,RW,23-169,45,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,
4,Francisco Trincão,17.0,pt  POR,RW,20-307,45,0,0,0,0,3,1,1,0,0,0,0,0,5,0,0,
5,Lionel Messi,10.0,ar  ARG,AM,33-129,90,1,0,0,0,5,1,3,0,2,0,0,0,5,1,1,50.0
6,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-172,90,0,0,0,0,1,0,0,0,1,0,0,0,12,3,3,50.0
7,Sergio Busquets,5.0,es  ESP,DM,32-107,45,1,0,0,2,1,0,0,0,0,0,0,0,8,1,0,100.0
8,Miralem Pjanić,8.0,ba  BIH,DM,30-212,45,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,
9,Jordi Alba,18.0,es  ESP,LB,31-224,68,0,0,0,2,1,0,0,1,0,0,0,0,7,0,0,
10,Sergiño Dest,2.0,us  USA,LB,19-363,22,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0.0
11,Clément Lenglet,15.0,fr  FRA,CB,25-136,45,1,0,0,1,2,0,0,0,2,0,0,0,6,1,3,25.0
12,Pedri,16.0,es  ESP,DM,17-341,45,0,0,0,1,1,0,0,1,1,0,0,0,6,0,0,
13,Gerard Piqué,3.0,es  ESP,CB,33-272,90,0,0,0,0,1,0,0,1,1,0,0,0,21,3,3,50.0
14,Sergi Roberto,20.0,es  ESP,RB,28-267,90,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,
15,Neto,13.0,br  BRA,GK,31-104,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
16,16 Players,,,,,990,3,0,0,6,20,3,8,4,14,0,0,0,105,9,11,45.0
