,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Deyverson,14.0,br  BRA,FW,29-176,56,19,18,1,0,0,9,0,1,0,0,0,0,5,7,7,12,2,1,0,1,10,0,0,0,0
1,Joselu,9.0,es  ESP,FW,30-218,34,13,12,1,0,0,3,0,0,0,0,0,0,5,3,5,1,4,5,0,0,8,0,0,0,0
2,Luis Rioja,11.0,es  ESP,LM,27-015,71,10,10,0,0,0,0,1,2,0,0,0,0,8,1,1,9,1,0,0,0,8,0,0,0,0
3,Manu García,19.0,es  ESP,LM,34-188,19,4,4,0,0,0,2,0,0,0,0,0,0,3,0,1,3,1,0,0,0,2,0,0,0,0
4,Jota,24.0,es  ESP,CM,29-137,61,20,18,2,0,0,5,0,0,2,0,2,0,13,3,4,16,3,0,0,0,13,1,0,0,1
5,Tomás Pina Isla,8.0,es  ESP,CM,33-017,71,18,18,0,0,0,2,0,0,0,0,0,0,13,3,2,7,8,3,0,0,13,0,1,0,0
6,Adrián Marín,17.0,es  ESP,CM,23-296,19,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
7,Édgar Méndez,16.0,es  ESP,RM,30-303,57,13,12,1,0,0,4,0,0,0,0,0,0,4,6,3,0,10,1,1,0,9,0,1,0,1
8,Tomás Tavares,37.0,pt  POR,RM,19-238,33,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0
9,Rodrigo Battaglia,6.0,ar  ARG,DM,29-111,90,23,23,0,0,0,7,0,0,0,0,0,0,17,2,4,0,20,2,0,1,17,0,0,1,2
10,Rubén Duarte,3.0,es  ESP,LB,25-013,90,25,20,5,0,0,2,2,2,0,0,0,0,11,1,13,18,2,0,5,0,15,0,4,1,0
11,Florian Lejeune,22.0,fr  FRA,CB,29-164,90,15,15,0,0,0,5,3,0,0,0,0,0,6,0,9,2,13,0,0,0,9,0,1,0,0
12,Víctor Laguardia,5.0,es  ESP,CB,30-361,90,18,18,0,0,0,1,0,0,0,0,0,0,8,2,8,1,16,1,0,0,11,0,1,0,1
13,Ximo Navarro,23.0,es  ESP,RB,30-282,40,22,14,8,2,0,4,0,0,0,0,0,0,9,5,8,4,12,0,6,0,15,0,0,0,2
14,Martin Agirregabiria,21.0,es  ESP,RB,24-174,50,9,6,3,0,0,2,0,0,0,0,0,0,5,2,2,0,5,0,3,1,6,0,0,1,0
15,Fernando Pacheco,1.0,es  ESP,GK,28-166,90,25,8,17,4,0,0,1,0,0,0,0,0,8,0,17,8,12,0,0,1,16,0,1,0,0
16,16 Players,,,,,961,238,200,38,6,0,47,7,5,2,0,2,0,117,36,85,83,110,13,15,4,154,1,9,4,7
