,Possession_Barcelona,Possession_Real Madrid
0,52%,48%
1,Passing Accuracy,Passing Accuracy
2,547 of 626 —  87%,87%  — 501 of 577
3,Shots on Target,Shots on Target
4,4 of 10 —  40%,53%  — 8 of 15
5,Saves,Saves
6,6 of 8 —  75%,75%  — 3 of 4
7,Cards,Cards
8,,
