,Barcelona (4-4-2),Barcelona (4-4-2).1
0,13,Neto
1,2,Sergiño Dest
2,3,Gerard Piqué
3,5,Sergio Busquets
4,10,Lionel Messi
5,14,Philippe Coutinho
6,15,Clément Lenglet
7,16,Pedri
8,18,Jordi Alba
9,21,Frenkie de Jong
10,22,Ansu Fati
11,Bench,Bench
12,26,Iñaki
13,36,Arnau Tenas
14,4,Ronald Araújo
15,6,Carles Aleñá
16,7,Antoine Griezmann
17,8,Miralem Pjanić
18,9,Martin Braithwaite
19,11,Ousmane Dembélé
20,12,Riqui Puig
21,17,Francisco Trincão
22,20,Sergi Roberto
23,24,Junior Firpo
