,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Karim Benzema,9.0,fr  FRA,FW,32-310,90,36,39,92.3,447,89,22,22,100.0,12,13,92.3,0,1,0.0,1,0.6,2,2,2,0,3
1,Vinicius Júnior,20.0,br  BRA,LW,20-104,90,38,47,80.9,548,168,25,28,89.3,10,11,90.9,2,5,40.0,0,0.1,1,1,2,1,2
2,Marco Asensio,11.0,es  ESP,RW,24-277,80,26,34,76.5,364,111,15,17,88.2,8,10,80.0,2,2,100.0,0,0.0,0,1,1,0,2
3,Rodrygo,25.0,br  BRA,RW,19-289,10,7,8,87.5,92,23,4,5,80.0,3,3,100.0,0,0,,1,0.5,1,1,0,0,1
4,Toni Kroos,8.0,de  GER,CM,30-294,90,66,77,85.7,1356,430,30,32,93.8,24,25,96.0,12,17,70.6,0,0.7,5,7,1,0,6
5,Federico Valverde,15.0,uy  URU,CM,22-094,68,29,35,82.9,520,52,10,11,90.9,15,17,88.2,3,4,75.0,0,0.0,0,1,0,0,0
6,Luka Modrić,10.0,hr  CRO,CM,35-045,22,10,12,83.3,161,31,5,5,100.0,3,5,60.0,1,1,100.0,0,0.0,1,1,0,0,1
7,Casemiro,14.0,br  BRA,DM,28-244,90,50,55,90.9,939,245,18,18,100.0,23,25,92.0,6,9,66.7,0,0.1,1,1,0,0,2
8,Ferland Mendy,23.0,fr  FRA,LB,25-138,90,47,55,85.5,721,219,23,26,88.5,21,22,95.5,2,4,50.0,0,0.0,0,3,0,0,3
9,Sergio Ramos,4.0,es  ESP,CB,34-208,90,55,58,94.8,1189,431,13,15,86.7,31,31,100.0,11,11,100.0,0,0.0,0,6,0,0,5
10,Raphaël Varane,5.0,fr  FRA,CB,27-182,90,54,59,91.5,1152,398,22,23,95.7,20,22,90.9,12,14,85.7,0,0.0,0,4,0,0,2
11,Nacho,6.0,es  ESP,RB,30-280,42,30,34,88.2,503,156,16,17,94.1,10,10,100.0,3,6,50.0,0,0.0,0,1,0,0,2
12,Lucas Vázquez,17.0,es  ESP,RB,29-115,48,27,33,81.8,513,310,13,13,100.0,12,13,92.3,2,2,100.0,0,0.4,2,3,1,1,2
13,Thibaut Courtois,1.0,be  BEL,GK,28-166,90,26,31,83.9,551,232,6,6,100.0,16,16,100.0,4,9,44.4,0,0.0,0,0,0,0,0
14,14 Players,,,,,990,501,577,86.8,9056,2895,222,238,93.3,208,223,93.3,60,85,70.6,2,2.3,13,32,7,2,31
