,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
10,2022-09-13,Tue,Champions Lg,Group stage,Away,L 0–2,es  Atlético Madrid,de  Leverkusen,N,CM,28,27.0,32.0,84.4,454.0,123.0,11.0,12.0,91.7,12.0,14.0,85.7,2.0,3.0,66.7,0,0.1,0.1,1.0,2.0,4.0,0.0,5.0,Match Report
11,2022-09-18,Sun,La Liga,Matchweek 6,Home,L 1–2,Atlético Madrid,Real Madrid,Y,"FW,LM,RM",90,45.0,64.0,70.3,716.0,90.0,25.0,28.0,89.3,17.0,23.0,73.9,2.0,11.0,18.2,0,0.1,0.1,3.0,2.0,0.0,0.0,2.0,Match Report
12,2022-09-22,Thu,UEFA Nations League,League A,Home,W 2–0,fr  France,at  Austria,Y,AM,77,,,,,,,,,,,,,,,1,,,,,,,,Match Report
13,2022-09-25,Sun,UEFA Nations League,League A,Away,L 0–2,fr  France,dk  Denmark,Y*,AM,80,,,,,,,,,,,,,,,0,,,,,,,,Match Report
14,2022-10-01,Sat,La Liga,Matchweek 7,Away,W 2–0,Atlético Madrid,Sevilla,N,"FW,RM,LM",30,10.0,15.0,66.7,180.0,68.0,4.0,6.0,66.7,3.0,5.0,60.0,2.0,2.0,100.0,0,0.1,0.1,1.0,0.0,1.0,1.0,0.0,Match Report
15,2022-10-04,Tue,Champions Lg,Group stage,Away,L 0–2,es  Atlético Madrid,be  Club Brugge,Y,"AM,FW",90,52.0,67.0,77.6,840.0,165.0,28.0,31.0,90.3,16.0,22.0,72.7,6.0,11.0,54.5,0,0.2,0.1,3.0,1.0,2.0,0.0,8.0,Match Report
16,2022-10-08,Sat,La Liga,Matchweek 8,Home,W 2–1,Atlético Madrid,Girona,Y,LM,64,39.0,48.0,81.3,535.0,194.0,21.0,22.0,95.5,11.0,16.0,68.8,2.0,4.0,50.0,1,0.7,0.8,3.0,2.0,4.0,0.0,8.0,Match Report
17,2022-10-12,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,be  Club Brugge,Y,FW,78,26.0,37.0,70.3,323.0,79.0,20.0,22.0,90.9,4.0,8.0,50.0,2.0,6.0,33.3,0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Match Report
18,2022-10-15,Sat,La Liga,Matchweek 9,Away,W 1–0,Atlético Madrid,Athletic Club,Y,"FW,LM",90,29.0,39.0,74.4,494.0,152.0,15.0,20.0,75.0,8.0,9.0,88.9,4.0,7.0,57.1,0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Match Report
19,2022-10-18,Tue,La Liga,Matchweek 10,Home,D 1–1,Atlético Madrid,Rayo Vallecano,Y,"FW,CM",90,47.0,54.0,87.0,737.0,213.0,23.0,27.0,85.2,20.0,21.0,95.2,3.0,4.0,75.0,1,0.7,0.3,7.0,1.0,1.0,1.0,1.0,Match Report
20,2022-10-23,Sun,La Liga,Matchweek 11,Away,W 2–1,Atlético Madrid,Betis,Y,FW,75,34.0,43.0,79.1,429.0,131.0,22.0,23.0,95.7,10.0,13.0,76.9,0.0,4.0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,Match Report
21,2022-10-26,Wed,Champions Lg,Group stage,Home,D 2–2,es  Atlético Madrid,de  Leverkusen,Y,"FW,RW",90,38.0,45.0,84.4,610.0,124.0,24.0,26.0,92.3,11.0,12.0,91.7,3.0,6.0,50.0,1,0.5,0.4,4.0,2.0,1.0,1.0,2.0,Match Report
22,2022-10-29,Sat,La Liga,Matchweek 12,Away,L 2–3,Atlético Madrid,Cádiz,N,WB,31,13.0,14.0,92.9,189.0,56.0,8.0,8.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,1,0.1,0.1,2.0,0.0,0.0,0.0,1.0,Match Report
23,2022-11-01,Tue,Champions Lg,Group stage,Away,L 1–2,es  Atlético Madrid,pt  Porto,Y,"FW,AM",90,37.0,52.0,71.2,680.0,192.0,18.0,20.0,90.0,14.0,22.0,63.6,5.0,8.0,62.5,0,0.4,0.1,1.0,6.0,0.0,0.0,9.0,Match Report
24,2022-11-06,Sun,La Liga,Matchweek 13,Home,D 1–1,Atlético Madrid,Espanyol,Y,FW,72,35.0,49.0,71.4,586.0,180.0,21.0,25.0,84.0,8.0,10.0,80.0,5.0,8.0,62.5,0,0.0,0.0,1.0,6.0,0.0,0.0,5.0,Match Report
25,2022-11-09,Wed,La Liga,Matchweek 14,Away,L 0–1,Atlético Madrid,Mallorca,Y,FW,90,37.0,51.0,72.5,621.0,167.0,16.0,19.0,84.2,16.0,21.0,76.2,3.0,7.0,42.9,0,0.8,0.6,5.0,4.0,4.0,2.0,8.0,Match Report
26,2022-11-12,Sat,Copa del Rey,First round,Away,W 2–0,Atlético Madrid,SD Almazán,Y,FW,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
27,2022-11-22,Tue,World Cup,Group stage,Neutral,W 4–1,fr  France,au  Australia,Y,AM,90,64.0,75.0,85.3,1223.0,283.0,30.0,34.0,88.2,25.0,29.0,86.2,9.0,11.0,81.8,0,1.1,1.3,5.0,6.0,5.0,2.0,9.0,Match Report
28,2022-11-26,Sat,World Cup,Group stage,Neutral,W 2–1,fr  France,dk  Denmark,Y,AM,89,37.0,50.0,74.0,750.0,267.0,18.0,18.0,100.0,8.0,11.0,72.7,10.0,16.0,62.5,1,0.9,0.9,3.0,4.0,2.0,1.0,3.0,Match Report
29,2022-11-30,Wed,World Cup,Group stage,Neutral,L 0–1,fr  France,tn  Tunisia,N,AM,18,31.0,37.0,83.8,644.0,156.0,13.0,14.0,92.9,14.0,15.0,93.3,4.0,7.0,57.1,0,0.1,0.1,2.0,5.0,0.0,0.0,4.0,Match Report
30,2022-12-04,Sun,World Cup,Round of 16,Neutral,W 3–1,fr  France,pl  Poland,Y,AM,90,40.0,56.0,71.4,729.0,235.0,24.0,25.0,96.0,9.0,15.0,60.0,7.0,13.0,53.8,0,0.3,0.3,4.0,3.0,2.0,1.0,7.0,Match Report
31,2022-12-10,Sat,World Cup,Quarter-finals,Neutral,W 2–1,fr  France,eng  England,Y,AM,90,39.0,48.0,81.3,780.0,190.0,12.0,14.0,85.7,19.0,21.0,90.5,6.0,10.0,60.0,2,0.2,0.3,2.0,1.0,1.0,1.0,6.0,Match Report
32,2022-12-14,Wed,World Cup,Semi-finals,Neutral,W 2–0,fr  France,ma  Morocco,Y,AM,90,24.0,31.0,77.4,344.0,149.0,15.0,16.0,93.8,5.0,8.0,62.5,3.0,4.0,75.0,0,0.4,0.6,4.0,5.0,0.0,0.0,4.0,Match Report
33,2022-12-18,Sun,World Cup,Final,Neutral,D 3  (2)  –3  (4),fr  France,ar  Argentina,Y,AM,70,23.0,32.0,71.9,430.0,93.0,11.0,14.0,78.6,9.0,13.0,69.2,3.0,5.0,60.0,0,0.1,0.1,1.0,2.0,0.0,0.0,3.0,Match Report
34,2022-12-29,Thu,La Liga,Matchweek 15,Home,W 2–0,Atlético Madrid,Elche,Y,"AM,FW",78,38.0,50.0,76.0,648.0,165.0,19.0,23.0,82.6,17.0,24.0,70.8,2.0,3.0,66.7,2,0.8,0.6,4.0,4.0,1.0,0.0,6.0,Match Report
35,2023-01-04,Wed,Copa del Rey,Round of 32,Away,W 2–0,Atlético Madrid,Oviedo,Y,FW,90,,,,,,,,,,,,,,,1,,,,,,,,Match Report
36,2023-01-08,Sun,La Liga,Matchweek 16,Home,L 0–1,Atlético Madrid,Barcelona,Y,"FW,LM",90,11.0,26.0,42.3,220.0,83.0,5.0,10.0,50.0,3.0,5.0,60.0,3.0,7.0,42.9,0,0.3,0.3,2.0,0.0,1.0,0.0,1.0,Match Report
37,2023-01-15,Sun,La Liga,Matchweek 17,Away,D 1–1,Atlético Madrid,Almería,Y,"CM,LM",90,20.0,33.0,60.6,239.0,129.0,12.0,13.0,92.3,4.0,7.0,57.1,1.0,6.0,16.7,0,0.7,0.3,2.0,1.0,0.0,0.0,2.0,Match Report
38,2023-01-18,Wed,Copa del Rey,Round of 16,Away,W 2–0,Atlético Madrid,Levante,Y,FW,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
39,2023-01-21,Sat,La Liga,Matchweek 18,Home,W 3–0,Atlético Madrid,Valladolid,Y,LM,55,39.0,42.0,92.9,791.0,238.0,18.0,20.0,90.0,13.0,13.0,100.0,7.0,7.0,100.0,1,0.8,0.3,3.0,3.0,2.0,0.0,6.0,Match Report
40,2023-01-26,Thu,Copa del Rey,Quarter-finals,Away,L 1–3,Atlético Madrid,Real Madrid,Y,AM,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
41,2023-01-29,Sun,La Liga,Matchweek 19,Away,W 1–0,Atlético Madrid,Osasuna,Y,"FW,RM",90,33.0,41.0,80.5,604.0,233.0,16.0,18.0,88.9,11.0,13.0,84.6,6.0,9.0,66.7,0,0.2,0.3,2.0,4.0,0.0,0.0,2.0,Match Report
42,2023-02-04,Sat,La Liga,Matchweek 20,Home,D 1–1,Atlético Madrid,Getafe,Y,FW,90,32.0,51.0,62.7,422.0,77.0,21.0,23.0,91.3,7.0,15.0,46.7,1.0,8.0,12.5,0,0.1,0.0,2.0,0.0,2.0,1.0,1.0,Match Report
43,2023-02-12,Sun,La Liga,Matchweek 21,Away,W 1–0,Atlético Madrid,Celta Vigo,Y,"LW,AM",65,31.0,39.0,79.5,412.0,112.0,17.0,20.0,85.0,8.0,9.0,88.9,2.0,4.0,50.0,0,0.2,0.4,2.0,1.0,2.0,1.0,2.0,Match Report
44,2023-02-19,Sun,La Liga,Matchweek 22,Home,W 1–0,Atlético Madrid,Athletic Club,Y,"FW,LM",89,36.0,59.0,61.0,485.0,172.0,24.0,31.0,77.4,10.0,16.0,62.5,2.0,9.0,22.2,0,0.1,0.1,1.0,6.0,3.0,1.0,5.0,Match Report
45,2023-02-25,Sat,La Liga,Matchweek 23,Away,D 1–1,Atlético Madrid,Real Madrid,Y,"FW,CM",90,45.0,51.0,88.2,697.0,262.0,23.0,23.0,100.0,14.0,14.0,100.0,4.0,7.0,57.1,1,0.1,0.5,2.0,8.0,2.0,0.0,10.0,Match Report
46,,,,,,22-11-13,,,34/46,,3149,1080.0,1418.0,76.2,17890.0,5033.0,572.0,645.0,88.7,347.0,450.0,77.1,118.0,226.0,52.2,13,10.2,9.7,73.0,98.0,45.0,14.0,143.0,
