,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Match Report
14,2022-10-01,Sat,La Liga,Matchweek 7,Away,W 2–0,Atlético Madrid,Sevilla,N,"FW,RM,LM",30,15.0,13.0,2.0,0.0,1.0,0.0,3,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,Match Report
15,2022-10-04,Tue,Champions Lg,Group stage,Away,L 0–2,es  Atlético Madrid,be  Club Brugge,Y,"AM,FW",90,67.0,63.0,4.0,1.0,0.0,1.0,5,1.0,2.0,2.0,0.0,0.0,52.0,0.0,0.0,Match Report
16,2022-10-08,Sat,La Liga,Matchweek 8,Home,W 2–1,Atlético Madrid,Girona,Y,LM,64,48.0,43.0,5.0,0.0,1.0,0.0,4,0.0,5.0,3.0,0.0,0.0,39.0,0.0,1.0,Match Report
17,2022-10-12,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,be  Club Brugge,Y,FW,78,37.0,33.0,3.0,1.0,0.0,0.0,4,0.0,2.0,2.0,0.0,0.0,26.0,1.0,0.0,Match Report
18,2022-10-15,Sat,La Liga,Matchweek 9,Away,W 1–0,Atlético Madrid,Athletic Club,Y,"FW,LM",90,39.0,38.0,1.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,Match Report
19,2022-10-18,Tue,La Liga,Matchweek 10,Home,D 1–1,Atlético Madrid,Rayo Vallecano,Y,"FW,CM",90,54.0,47.0,7.0,1.0,0.0,0.0,6,1.0,3.0,3.0,0.0,0.0,47.0,0.0,1.0,Match Report
20,2022-10-23,Sun,La Liga,Matchweek 11,Away,W 2–1,Atlético Madrid,Betis,Y,FW,75,43.0,40.0,3.0,1.0,0.0,0.0,3,0.0,2.0,1.0,1.0,0.0,34.0,0.0,0.0,Match Report
21,2022-10-26,Wed,Champions Lg,Group stage,Home,D 2–2,es  Atlético Madrid,de  Leverkusen,Y,"FW,RW",90,45.0,38.0,7.0,1.0,0.0,0.0,7,0.0,5.0,4.0,0.0,1.0,38.0,0.0,1.0,Match Report
22,2022-10-29,Sat,La Liga,Matchweek 12,Away,L 2–3,Atlético Madrid,Cádiz,N,WB,31,14.0,12.0,2.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,13.0,0.0,1.0,Match Report
23,2022-11-01,Tue,Champions Lg,Group stage,Away,L 1–2,es  Atlético Madrid,pt  Porto,Y,"FW,AM",90,52.0,49.0,3.0,0.0,3.0,1.0,3,1.0,2.0,2.0,0.0,0.0,37.0,0.0,1.0,Match Report
24,2022-11-06,Sun,La Liga,Matchweek 13,Home,D 1–1,Atlético Madrid,Espanyol,Y,FW,72,49.0,42.0,6.0,2.0,0.0,0.0,4,0.0,3.0,2.0,0.0,0.0,35.0,1.0,4.0,Match Report
25,2022-11-09,Wed,La Liga,Matchweek 14,Away,L 0–1,Atlético Madrid,Mallorca,Y,FW,90,51.0,47.0,4.0,1.0,0.0,0.0,9,0.0,1.0,0.0,1.0,0.0,37.0,0.0,2.0,Match Report
26,2022-11-12,Sat,Copa del Rey,First round,Away,W 2–0,Atlético Madrid,SD Almazán,Y,FW,90,,,,,,,11,,,,,,,,,Match Report
27,2022-11-22,Tue,World Cup,Group stage,Neutral,W 4–1,fr  France,au  Australia,Y,AM,90,75.0,70.0,5.0,1.0,1.0,0.0,6,0.0,4.0,1.0,3.0,0.0,64.0,0.0,0.0,Match Report
28,2022-11-26,Sat,World Cup,Group stage,Neutral,W 2–1,fr  France,dk  Denmark,Y,AM,89,50.0,40.0,10.0,4.0,1.0,1.0,8,0.0,6.0,3.0,3.0,0.0,37.0,0.0,3.0,Match Report
29,2022-11-30,Wed,World Cup,Group stage,Neutral,L 0–1,fr  France,tn  Tunisia,N,AM,18,37.0,30.0,7.0,1.0,0.0,2.0,4,0.0,6.0,2.0,2.0,0.0,31.0,0.0,0.0,Match Report
30,2022-12-04,Sun,World Cup,Round of 16,Neutral,W 3–1,fr  France,pl  Poland,Y,AM,90,56.0,45.0,9.0,3.0,1.0,1.0,8,0.0,6.0,3.0,1.0,0.0,40.0,2.0,0.0,Match Report
31,2022-12-10,Sat,World Cup,Quarter-finals,Neutral,W 2–1,fr  France,eng  England,Y,AM,90,48.0,41.0,7.0,4.0,0.0,1.0,5,0.0,2.0,1.0,1.0,0.0,39.0,0.0,0.0,Match Report
32,2022-12-14,Wed,World Cup,Semi-finals,Neutral,W 2–0,fr  France,ma  Morocco,Y,AM,90,31.0,25.0,5.0,2.0,1.0,0.0,4,0.0,2.0,2.0,0.0,0.0,24.0,1.0,1.0,Match Report
33,2022-12-18,Sun,World Cup,Final,Neutral,D 3  (2)  –3  (4),fr  France,ar  Argentina,Y,AM,70,32.0,23.0,9.0,5.0,0.0,0.0,5,1.0,2.0,1.0,1.0,0.0,23.0,0.0,1.0,Match Report
