,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take-Ons,Succ_Take-Ons,Succ%_Take-Ons,Tkld_Take-Ons,Tkld%_Take-Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,Match Report
0,2022-06-03,Fri,UEFA Nations League,League A,Home,L 1–2,fr  France,dk  Denmark,Y,CM,77,,,,,,,,,,,,,,,,,,,,,,,Match Report
1,2022-06-06,Mon,UEFA Nations League,League A,Away,D 1–1,fr  France,hr  Croatia,N,,29,,,,,,,,,,,,,,,,,,,,,,,Match Report
2,2022-06-10,Fri,UEFA Nations League,League A,Away,D 1–1,fr  France,at  Austria,Y,FW,62,,,,,,,,,,,,,,,,,,,,,,,Match Report
3,2022-06-13,Mon,UEFA Nations League,League A,Home,L 0–1,fr  France,hr  Croatia,N,,11,,,,,,,,,,,,,,,,,,,,,,,Match Report
4,2022-08-15,Mon,La Liga,Matchweek 1,Away,W 3–0,Atlético Madrid,Getafe,N,CM,29,19.0,0.0,1.0,11.0,9.0,0.0,19.0,0.0,0.0,,0.0,,11.0,84.0,40.0,1.0,2.0,0.0,0.0,1.0,15.0,1.0,Match Report
5,2022-08-21,Sun,La Liga,Matchweek 2,Home,L 0–2,Atlético Madrid,Villarreal,N,CM,29,27.0,0.0,1.0,12.0,14.0,1.0,27.0,1.0,1.0,100.0,0.0,0.0,16.0,135.0,81.0,3.0,3.0,0.0,1.0,0.0,21.0,3.0,Match Report
6,2022-08-29,Mon,La Liga,Matchweek 3,Away,W 1–0,Atlético Madrid,Valencia,N,CM,27,9.0,1.0,3.0,3.0,3.0,2.0,9.0,0.0,0.0,,0.0,,5.0,18.0,14.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,Match Report
7,2022-09-03,Sat,La Liga,Matchweek 4,Away,D 1–1,Atlético Madrid,Real Sociedad,N,CM,28,24.0,1.0,2.0,8.0,15.0,1.0,24.0,3.0,1.0,33.3,2.0,66.7,13.0,70.0,43.0,1.0,2.0,0.0,0.0,0.0,17.0,5.0,Match Report
8,2022-09-07,Wed,Champions Lg,Group stage,Home,W 2–1,es  Atlético Madrid,pt  Porto,N,"FW,LW",30,19.0,0.0,1.0,11.0,7.0,1.0,19.0,0.0,0.0,,0.0,,9.0,34.0,20.0,1.0,1.0,0.0,1.0,0.0,13.0,1.0,Match Report
9,2022-09-10,Sat,La Liga,Matchweek 5,Home,W 4–1,Atlético Madrid,Celta Vigo,N,"FW,CM,RM",28,17.0,0.0,2.0,14.0,1.0,0.0,17.0,0.0,0.0,,0.0,,8.0,46.0,26.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,Match Report
