,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Álvaro Negredo,18.0,es  ESP,FW,35-185,58,0,0,0,1,3,0,0,0,0,0,0,0,3,3,5,37.5
1,Anthony Lozano,9.0,hn  HON,FW,27-302,32,0,0,0,5,0,0,1,0,0,0,0,0,0,0,4,0.0
2,Jairo Izquierdo,25.0,es  ESP,LM,27-122,58,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0,
3,Álex Fernández,8.0,es  ESP,CM,28-129,32,0,0,0,0,2,0,0,1,1,0,0,0,3,0,0,
4,Alberto Perea,10.0,es  ESP,CM,30-064,75,0,0,0,1,2,0,0,6,2,0,0,0,6,0,0,
5,Jens Jønsson,2.0,dk  DEN,DM,28-042,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
6,Rubén Sobrino,21.0,es  ESP,"CM,LM,FW",28-265,90,0,0,0,1,3,0,0,1,1,1,0,0,7,0,2,0.0
7,Salvi,7.0,es  ESP,RM,29-328,61,0,0,0,0,0,0,6,2,0,0,0,0,4,1,0,100.0
8,Iván Alejo,14.0,es  ESP,"WB,RM",26-011,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Jon Ander Garrido,5.0,es  ESP,DM,31-135,57,0,0,0,1,1,0,0,0,0,0,0,0,2,2,4,33.3
10,José Mari,6.0,es  ESP,"DM,CM",33-077,33,1,0,0,1,0,0,0,2,0,0,0,0,3,1,0,100.0
11,Alfonso Espino,22.0,uy  URU,"LB,WB",29-047,90,0,0,0,3,2,0,2,2,2,0,0,0,11,2,2,50.0
12,Marcos Mauro López Gutiérrez,4.0,ar  ARG,CB,30-043,90,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0.0
13,Fali,3.0,es  ESP,CB,27-193,90,0,0,0,0,0,0,0,2,0,0,0,0,4,1,1,50.0
14,Isaac Carcelen,20.0,es  ESP,"RB,CB",27-304,90,0,0,0,1,2,0,0,4,1,0,1,0,3,0,0,
15,Jeremías Ledesma,1.0,ar  ARG,GK,28-008,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16,16 Players,,,,,990,2,0,0,16,15,0,9,25,7,1,1,0,58,10,19,34.5
