,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,16,Jordi Alba,Barcelona,Off Target,25.0,Left Foot,,Sergiño Dest,Pass (Live),Ousmane Dembélé,Pass (Live)
1,22,Antoine Griezmann,Barcelona,Blocked,14.0,Left Foot,,Lionel Messi,Pass (Live),Pedri,Pass (Live)
2,32,Lionel Messi  (pen),Barcelona,Goal,12.0,Left Foot,,Pedri,Fouled,Pedri,Interception
3,44,Frenkie de Jong,Barcelona,Blocked,9.0,Right Foot,,Sergiño Dest,Pass (Live),Sergiño Dest,Dribble
4,,,,,,,,,,,
5,78,Miralem Pjanić,Barcelona,Off Target,25.0,Right Foot,,Ousmane Dembélé,Pass (Live),Jordi Alba,Pass (Live)
6,85,Riqui Puig,Barcelona,Off Target,18.0,Right Foot,,Óscar Mingueza,Pass (Live),Lionel Messi,Pass (Live)
7,89,Álex Fernández  (pen),Cádiz,Goal,13.0,Right Foot,,Rubén Sobrino,Fouled,Alfonso Espino,Pass (Live)
8,90+3,Martin Braithwaite,Barcelona,Off Target,11.0,Head,,Óscar Mingueza,Pass (Live),Frenkie de Jong,Pass (Live)
