,Cádiz (4-1-4-1),Cádiz (4-1-4-1).1
0,1,Jeremías Ledesma
1,3,Fali
2,4,Marcos Mauro López Gutiérrez
3,5,Jon Ander Garrido
4,7,Salvi
5,10,Alberto Perea
6,18,Álvaro Negredo
7,20,Isaac Carcelen
8,21,Rubén Sobrino
9,22,Alfonso Espino
10,25,Jairo Izquierdo
11,Bench,Bench
12,13,David Gil
13,26,Juan Flere
14,2,Jens Jønsson
15,6,José Mari
16,8,Álex Fernández
17,9,Anthony Lozano
18,11,Jorge Pombo
19,12,Ivan Šaponjić
20,14,Iván Alejo
21,19,Pedro Alcalá
22,24,Filip Malbašić
23,37,Álex Martín
