,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,"FW,LW,AM",33-242,90,80,97,82.5,1184,374,46,54,85.2,31,34,91.2,2,6,33.3,0,0.1,2,10,7,0,12
1,Antoine Griezmann,7.0,fr  FRA,"LW,RW",29-337,64,20,26,76.9,254,32,11,16,68.8,7,8,87.5,0,0,,0,0.0,0,0,0,0,0
2,Martin Braithwaite,9.0,dk  DEN,FW,29-261,26,6,6,100.0,73,11,4,4,100.0,2,2,100.0,0,0,,0,0.3,1,0,0,0,0
3,Ousmane Dembélé,11.0,fr  FRA,"RW,LW",23-282,79,79,87,90.8,1188,203,43,45,95.6,33,35,94.3,2,5,40.0,0,0.1,2,2,4,0,5
4,Riqui Puig,12.0,es  ESP,"CM,LW",21-192,11,19,22,86.4,332,85,11,13,84.6,5,5,100.0,3,4,75.0,0,0.0,0,1,0,0,2
5,Pedri,16.0,es  ESP,CM,18-088,73,60,68,88.2,955,139,32,35,91.4,21,23,91.3,6,7,85.7,0,0.0,1,3,3,0,4
6,Francisco Trincão,17.0,pt  POR,"RW,CM",21-054,17,7,7,100.0,123,26,3,3,100.0,3,3,100.0,1,1,100.0,0,0.0,0,0,0,0,0
7,Frenkie de Jong,21.0,nl  NED,"CM,DM",23-285,90,75,81,92.6,1172,326,39,40,97.5,32,35,91.4,2,3,66.7,0,0.0,0,9,2,0,5
8,Sergio Busquets,5.0,es  ESP,DM,32-220,64,99,108,91.7,1896,494,40,43,93.0,46,52,88.5,12,12,100.0,0,0.2,4,14,2,0,15
9,Miralem Pjanić,8.0,ba  BIH,"DM,CM",30-325,26,38,41,92.7,593,135,18,18,100.0,18,19,94.7,1,1,100.0,0,0.0,0,4,0,0,2
10,Jordi Alba,18.0,es  ESP,LB,31-337,90,80,92,87.0,1296,311,42,46,91.3,31,34,91.2,5,8,62.5,0,0.0,1,1,4,1,8
11,Clément Lenglet,15.0,fr  FRA,CB,25-249,90,94,102,92.2,1747,665,40,41,97.6,42,45,93.3,10,13,76.9,0,0.2,1,14,2,0,8
12,Gerard Piqué,3.0,es  ESP,CB,34-019,90,86,94,91.5,1790,568,29,31,93.5,44,46,95.7,13,16,81.3,0,0.0,0,13,0,0,2
13,Sergiño Dest,2.0,us  USA,RB,20-110,79,77,85,90.6,1080,276,40,44,90.9,32,33,97.0,1,1,100.0,0,0.5,4,4,3,1,5
14,Óscar Mingueza,28.0,es  ESP,RB,21-284,11,11,14,78.6,158,58,7,7,100.0,3,5,60.0,1,2,50.0,0,0.1,2,2,1,1,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-297,90,26,26,100.0,556,406,8,8,100.0,12,12,100.0,6,6,100.0,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,857,956,89.6,14397,4109,413,448,92.2,362,391,92.6,65,85,76.5,0,1.6,18,77,28,3,68
