,Betis (4-2-3-1),Betis (4-2-3-1).1
0,1,Joel Robles
1,4,Paul Akouokou
2,6,Víctor Ruiz
3,7,Juanmi
4,8,Nabil Fekir
5,9,Borja Iglesias
6,15,Álex Moreno
7,18,Andrés Guardado
8,22,Emerson
9,23,Aïssa Mandi
10,24,Aitor Ruibal
11,Bench,Bench
12,30,Dani Rebollo
13,2,Martín Montoya
14,10,Sergio Canales
15,11,Cristian Tello
16,12,Sidnei
17,14,William Carvalho
18,16,Loren Morón
19,17,Joaquín
20,19,Yassin Fekir
21,21,Guido Rodríguez
22,28,Rodrigo
23,33,Juan Miranda
