,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Borja Iglesias,9.0,es  ESP,FW,28-021,81,19,26,73.1,303,48,12,12,100.0,3,5,60.0,3,4,75.0,0,0.2,1,0,1,0,2
1,Loren Morón,16.0,es  ESP,FW,27-039,9,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0
2,Juanmi,7.0,es  ESP,LW,27-263,74,13,19,68.4,186,25,7,9,77.8,4,6,66.7,1,2,50.0,0,0.0,0,0,0,0,0
3,Cristian Tello,11.0,es  ESP,LW,29-180,16,10,12,83.3,190,58,4,6,66.7,4,4,100.0,2,2,100.0,0,0.0,1,2,0,0,1
4,Aitor Ruibal,24.0,es  ESP,RW,24-322,64,10,12,83.3,210,97,2,3,66.7,7,7,100.0,1,1,100.0,0,0.0,0,2,2,0,4
5,Rodrigo,28.0,es  ESP,RW,20-267,26,14,14,100.0,214,58,7,7,100.0,5,5,100.0,1,1,100.0,0,0.0,0,0,0,0,0
6,Nabil Fekir,8.0,fr  FRA,AM,27-204,82,24,29,82.8,468,129,10,12,83.3,10,10,100.0,4,7,57.1,1,0.7,2,6,1,0,5
7,Sergio Canales,10.0,es  ESP,AM,29-357,8,10,14,71.4,168,44,4,7,57.1,4,5,80.0,1,1,100.0,0,0.1,1,0,0,0,0
8,Andrés Guardado,18.0,mx  MEX,DM,34-132,90,39,45,86.7,856,163,14,14,100.0,17,18,94.4,8,12,66.7,0,0.0,0,5,2,0,3
9,Paul Akouokou,4.0,ci  CIV,DM,23-049,74,22,26,84.6,405,69,8,9,88.9,12,13,92.3,2,3,66.7,0,0.0,1,2,0,0,1
10,Guido Rodríguez,21.0,ar  ARG,DM,26-301,16,8,11,72.7,101,12,6,6,100.0,2,4,50.0,0,1,0.0,0,0.0,0,0,0,0,0
11,Álex Moreno,15.0,es  ESP,LB,27-244,90,34,44,77.3,508,229,19,22,86.4,13,16,81.3,2,5,40.0,0,0.1,1,1,0,0,2
12,Víctor Ruiz,6.0,es  ESP,CB,32-013,90,44,56,78.6,895,342,15,16,93.8,22,23,95.7,6,14,42.9,0,0.0,0,1,0,0,3
13,Aïssa Mandi,23.0,dz  ALG,CB,29-108,90,41,47,87.2,858,339,14,14,100.0,19,20,95.0,8,13,61.5,0,0.0,0,1,0,0,3
14,Emerson,22.0,br  BRA,RB,22-024,90,39,39,100.0,721,239,18,18,100.0,13,13,100.0,7,7,100.0,1,0.4,1,1,1,1,3
15,Joel Robles,1.0,es  ESP,GK,30-235,90,22,32,68.8,605,413,6,6,100.0,10,10,100.0,6,16,37.5,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,349,426,81.9,6688,2265,146,161,90.7,145,159,91.2,52,89,58.4,2,1.6,8,21,7,1,27
