,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Borja Iglesias,9.0,es  ESP,FW,28-021,81,0,0,0,0,0,0,0,,0,11,0,0.0,0,8,3,2,1,0,1,1,1,0,0
1,Loren Morón,16.0,es  ESP,FW,27-039,9,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
2,Juanmi,7.0,es  ESP,LW,27-263,74,2,0,0,2,0,2,5,40.0,3,22,5,22.7,5,15,2,1,0,0,1,0,2,0,0
3,Cristian Tello,11.0,es  ESP,LW,29-180,16,0,0,0,0,0,0,1,0.0,1,5,2,40.0,2,1,2,1,0,0,1,0,0,0,0
4,Aitor Ruibal,24.0,es  ESP,RW,24-322,64,0,0,0,0,0,0,1,0.0,1,10,1,10.0,3,6,1,1,0,0,1,3,3,1,0
5,Rodrigo,28.0,es  ESP,RW,20-267,26,0,0,0,0,0,0,0,,0,5,1,20.0,0,1,4,1,0,0,1,0,0,0,0
6,Nabil Fekir,8.0,fr  FRA,AM,27-204,82,1,1,1,0,0,0,1,0.0,1,20,4,20.0,2,15,3,0,0,0,0,0,1,0,0
7,Sergio Canales,10.0,es  ESP,AM,29-357,8,0,0,0,0,0,0,0,,0,2,1,50.0,0,0,2,0,0,0,0,0,0,0,0
8,Andrés Guardado,18.0,mx  MEX,DM,34-132,90,3,2,1,1,1,2,4,50.0,2,21,5,23.8,7,10,4,0,0,0,0,0,3,1,0
9,Paul Akouokou,4.0,ci  CIV,DM,23-049,74,3,3,2,1,0,0,1,0.0,1,14,6,42.9,6,8,0,1,0,0,1,2,5,0,0
10,Guido Rodríguez,21.0,ar  ARG,DM,26-301,16,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
11,Álex Moreno,15.0,es  ESP,LB,27-244,90,4,3,2,2,0,2,3,66.7,1,13,3,23.1,6,3,4,0,0,0,0,0,4,3,0
12,Víctor Ruiz,6.0,es  ESP,CB,32-013,90,1,1,1,0,0,0,0,,0,11,2,18.2,7,3,1,1,1,0,0,1,2,0,0
13,Aïssa Mandi,23.0,dz  ALG,CB,29-108,90,0,0,0,0,0,0,0,,0,5,2,40.0,4,1,0,2,2,0,0,0,0,5,0
14,Emerson,22.0,br  BRA,RB,22-024,90,5,5,5,0,0,5,5,100.0,0,20,6,30.0,15,5,0,2,0,0,2,0,5,4,0
15,Joel Robles,1.0,es  ESP,GK,30-235,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,19,15,12,6,1,11,21,52.4,10,162,38,23.5,57,77,28,12,4,0,8,7,26,15,0
