,Possession_Betis,Possession_Barcelona
0,36%,64%
1,Passing Accuracy,Passing Accuracy
2,349 of 426 —  82%,91%  — 688 of 758
3,Shots on Target,Shots on Target
4,5 of 8 —  63%,25%  — 3 of 12
5,Saves,Saves
6,1 of 3 —  33%,60%  — 3 of 5
7,Cards,Cards
8,,
