,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2020-09-13,16:00,Segunda División,Matchweek 1,Sun,Away,W,1,0,Mallorca,44.0,,Santi Comesaña,4-4-2,Luis Milla,Match Report,
1,2020-09-19,21:00,Segunda División,Matchweek 2,Sat,Home,W,2,1,Sabadell,53.0,,Óscar Trejo,4-4-2,Daniel Trujillo,Match Report,
2,2020-09-27,18:15,Segunda División,Matchweek 3,Sun,Away,L,0,3,Ponferradina,63.0,,Óscar Trejo,4-1-4-1,Eduardo Prieto,Match Report,
3,2020-10-03,21:00,Segunda División,Matchweek 4,Sat,Home,W,4,0,Málaga,53.0,,Santi Comesaña,4-3-3,Dámaso Arcediano,Match Report,
4,2020-10-10,17:30,Segunda División,Matchweek 5,Sat,Away,L,0,1,Tenerife,55.0,,Santi Comesaña,4-2-3-1,Javier Villanueva,Match Report,
5,2020-10-18,16:00,Segunda División,Matchweek 6,Sun,Home,W,1,0,Espanyol,52.0,,Santi Comesaña,4-2-3-1,José López,Match Report,
6,2020-10-22,19:00,Segunda División,Matchweek 7,Thu,Away,D,0,0,Oviedo,59.0,,Óscar Trejo,4-2-3-1,Alejandro Muñíz,Match Report,
7,2020-10-25,20:30,Segunda División,Matchweek 8,Sun,Away,L,1,2,Albacete,59.0,,Santi Comesaña,4-2-3-1,Daniel Trujillo,Match Report,
8,2020-10-29,21:30,Segunda División,Matchweek 9,Thu,Home,W,2,0,Fuenlabrada,64.0,,Óscar Trejo,4-2-3-1,Juan Pulido,Match Report,
9,2020-11-01,20:30,Segunda División,Matchweek 10,Sun,Away,L,0,1,Lugo,68.0,,Santi Comesaña,4-2-3-1,Oliver De La Fuente,Match Report,
10,2020-11-08,16:00,Segunda División,Matchweek 11,Sun,Home,L,0,1,Almería,38.0,,Óscar Trejo,4-2-3-1,Javier Villanueva,Match Report,
11,2020-11-16,21:00,Segunda División,Matchweek 12,Mon,Away,D,1,1,Sporting Gijón,48.0,,Óscar Trejo,4-4-2,Saúl Ais,Match Report,
12,2020-11-21,18:15,Segunda División,Matchweek 13,Sat,Home,W,2,1,Castellón,51.0,,Óscar Trejo,4-2-3-1,Francisco Hernández,Match Report,
13,2020-11-25,19:00,Segunda División,Matchweek 14,Wed,Away,W,2,1,Zaragoza,66.0,,Óscar Trejo,4-2-3-1,Iosu Galech,Match Report,
14,2020-11-28,18:15,Segunda División,Matchweek 15,Sat,Home,D,0,0,Cartagena,59.0,,Mario Suárez,4-2-3-1,Daniel Ocón,Match Report,
15,2020-12-02,19:00,Segunda División,Matchweek 16,Wed,Away,L,0,1,Leganés,62.0,,Óscar Trejo,4-2-3-1,Eduardo Prieto,Match Report,
16,2020-12-05,14:00,Segunda División,Matchweek 17,Sat,Home,W,2,1,UD Logroñés,54.0,,Óscar Trejo,4-2-3-1,Iñaki Bikandi,Match Report,
17,2020-12-14,19:00,Segunda División,Matchweek 18,Mon,Away,D,0,0,Girona,53.0,,Óscar Trejo,4-4-2,Alejandro Muñíz,Match Report,
18,2020-12-17,19:00,Copa del Rey,First round,Thu,Away,W,3,2,CD Teruel,,,Mario Suárez,4-4-2,Eduardo Prieto,Match Report,Required Extra Time
19,2020-12-20,18:15,Segunda División,Matchweek 19,Sun,Home,W,2,0,Las Palmas,54.0,,Óscar Trejo,4-2-3-1,Oliver De La Fuente,Match Report,
20,2021-01-02,16:00,Segunda División,Matchweek 20,Sat,Home,W,2,1,Alcorcón,42.0,,Óscar Trejo,4-4-2,Francisco Hernández,Match Report,
21,2021-01-06,17:00,Copa del Rey,Second round,Wed,Away,W,3,1,Haro Deportivo,,,,4-3-3,Dámaso Arcediano,Match Report,
22,2021-01-16,22:00,Copa del Rey,Round of 32,Sat,Home,W,2,0,Elche,36.0,,Óscar Trejo,4-2-3-1,Isidro Díaz de Mera,Match Report,
23,2021-01-19,19:00,Segunda División,Matchweek 21,Tue,Away,W,2,0,CD Mirandés,38.0,,Óscar Trejo,4-2-3-1,José López,Match Report,
24,2021-01-23,16:00,Segunda División,Matchweek 22,Sat,Home,L,1,3,Mallorca,63.0,,Óscar Trejo,4-2-3-1,Eduardo Prieto,Match Report,
25,2021-01-27,21:00,Copa del Rey,Round of 16,Wed,Home,L,1,2,Barcelona,30.0,,,4-1-4-1,Guillermo Cuadra,Match Report,
26,2021-01-31,16:00,Segunda División,Matchweek 23,Sun,Away,W,3,2,Espanyol,57.0,,Óscar Trejo,4-2-3-1,Jon González,Match Report,
27,2021-02-07,18:15,Segunda División,Matchweek 24,Sun,Home,L,0,1,Tenerife,69.0,,Óscar Trejo,4-2-3-1,Iosu Galech,Match Report,
28,2021-02-13,16:00,Segunda División,Matchweek 25,Sat,Away,D,2,2,Cartagena,51.0,,Santi Comesaña,4-4-2,Aitor Gorostegui,Match Report,
29,2021-02-21,21:00,Segunda División,Matchweek 26,Sun,Away,L,0,2,Málaga,69.0,,Óscar Trejo,4-4-2,Gorka Sagues,Match Report,
30,2021-02-27,16:00,Segunda División,Matchweek 27,Sat,Home,D,1,1,Ponferradina,46.0,,Óscar Trejo,4-4-2,Alejandro Muñíz,Match Report,
31,2021-03-06,17:15,Segunda División,Matchweek 28,Sat,Away,D,1,1,Las Palmas,50.0,,Óscar Trejo,4-2-3-1,Eduardo Prieto,Match Report,
32,2021-03-12,21:00,Segunda División,Matchweek 29,Fri,Home,W,3,2,Zaragoza,45.0,,Óscar Trejo,4-2-3-1,Luis Milla,Match Report,
33,2021-03-21,20:30,Segunda División,Matchweek 30,Sun,Away,W,3,0,Alcorcón,42.0,,Óscar Trejo,4-2-3-1,Dámaso Arcediano,Match Report,
