,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-15,22:15,La Liga,Matchweek 1,Sun,Away,L,0,3,Sevilla,0.6,3.9,26,13962.0,Óscar Trejo,4-2-3-1,Isidro Díaz de Mera,Match Report,
1,2021-08-22,17:00,La Liga,Matchweek 2,Sun,Away,L,0,1,Real Sociedad,0.6,1.9,39,7652.0,Óscar Trejo,4-2-3-1,Santiago Jaime,Match Report,
2,2021-08-29,19:30,La Liga,Matchweek 3,Sun,Home,W,4,0,Granada,2.2,0.6,47,583.0,Óscar Trejo,4-2-3-1,Jesús Gil,Match Report,
3,2021-09-11,18:30,La Liga,Matchweek 4,Sat,Away,D,1,1,Levante,2.4,1.1,55,12974.0,Óscar Trejo,4-2-3-1,Alberola Rojas,Match Report,
4,2021-09-18,14:00,La Liga,Matchweek 5,Sat,Home,W,3,0,Getafe,2.3,1.2,50,3280.0,Óscar Trejo,4-2-3-1,Adrián Cordero,Match Report,
5,2021-09-21,22:00,La Liga,Matchweek 6,Tue,Away,W,2,1,Athletic Club,0.8,0.8,53,16236.0,Santi Comesaña,4-2-3-1,José Luis Munuera,Match Report,
6,2021-09-26,18:30,La Liga,Matchweek 7,Sun,Home,W,3,1,Cádiz,1.2,1.0,58,5903.0,Óscar Trejo,4-2-3-1,Ricardo de Burgos,Match Report,
7,2021-10-02,14:00,La Liga,Matchweek 8,Sat,Away,L,0,1,Osasuna,0.3,0.6,49,19238.0,Óscar Trejo,4-4-2,Mario Melero,Match Report,
8,2021-10-17,14:00,La Liga,Matchweek 9,Sun,Home,W,2,1,Elche,1.7,0.5,52,6989.0,Óscar Trejo,4-4-1-1,Santiago Jaime,Match Report,
9,2021-10-24,18:30,La Liga,Matchweek 10,Sun,Away,L,2,3,Betis,1.2,1.6,54,45362.0,Óscar Trejo,4-2-3-1,Ricardo de Burgos,Match Report,
10,2021-10-27,19:00,La Liga,Matchweek 11,Wed,Home,W,1,0,Barcelona,1.4,2.8,32,9340.0,Óscar Trejo,4-2-3-1,Antonio Matéu Lahoz,Match Report,
11,2021-11-01,18:30,La Liga,Matchweek 12,Mon,Home,D,0,0,Celta Vigo,0.6,0.5,53,9580.0,Santi Comesaña,4-2-3-1,Adrián Cordero,Match Report,
12,2021-11-06,21:00,La Liga,Matchweek 13,Sat,Away,L,1,2,Real Madrid,1.6,2.1,46,43283.0,Óscar Trejo,4-2-3-1,Pablo González,Match Report,
13,2021-11-22,21:00,La Liga,Matchweek 14,Mon,Home,W,3,1,Mallorca,2.7,1.0,52,6708.0,Óscar Trejo,4-2-3-1,Jorge Figueroa,Match Report,
14,2021-11-27,16:15,La Liga,Matchweek 15,Sat,Away,D,1,1,Valencia,1.3,1.5,58,30030.0,Santi Comesaña,4-2-3-1,Alejandro Hernández,Match Report,
15,2021-12-02,19:00,Copa del Rey,First round,Thu,Away,D,1  (4),1  (3),CD Guijuelo,,,61,900.0,Mario Suárez,4-2-3-1,Alejandro Muñíz,Match Report,Rayo Vallecano won on penalty kicks following extra time
16,2021-12-05,14:00,La Liga,Matchweek 16,Sun,Home,W,1,0,Espanyol,0.8,0.6,50,8679.0,Óscar Trejo,4-2-3-1,José Luis Munuera,Match Report,
17,2021-12-12,14:00,La Liga,Matchweek 17,Sun,Away,L,0,2,Villarreal,2.2,2.6,48,13133.0,Óscar Trejo,4-2-3-1,Mario Melero,Match Report,
18,2021-12-15,19:00,Copa del Rey,Second round,Wed,Away,W,3,1,Bergantiños FC,,,52,,Mario Suárez,4-2-3-1,Pablo González,Match Report,
19,2021-12-18,14:00,La Liga,Matchweek 18,Sat,Home,W,2,0,Alavés,2.0,0.3,61,7911.0,Óscar Trejo,4-2-3-1,Antonio Matéu Lahoz,Match Report,
20,2022-01-02,16:15,La Liga,Matchweek 19,Sun,Away,L,0,2,Atlético Madrid,0.2,1.9,50,43029.0,Santi Comesaña,4-2-3-1,Jorge Figueroa,Match Report,
21,2022-01-05,20:00,Copa del Rey,Round of 32,Wed,Away,W,1,0,CD Mirandés,,,59,1807.0,Mario Suárez,4-1-4-1,José Luis Munuera,Match Report,
22,2022-01-09,14:00,La Liga,Matchweek 20,Sun,Home,D,1,1,Betis,1.5,1.4,58,8395.0,Óscar Trejo,4-2-3-1,Alejandro Muñíz,Match Report,
23,2022-01-15,18:30,Copa del Rey,Round of 16,Sat,Away,W,2,1,Girona,,,54,6405.0,Mario Suárez,4-2-3-1,Adrián Cordero,Match Report,
24,2022-01-23,18:30,La Liga,Matchweek 22,Sun,Home,L,0,1,Athletic Club,2.3,0.7,67,9034.0,Óscar Trejo,4-2-3-1,Adrián Cordero,Match Report,
25,2022-02-02,20:00,Copa del Rey,Quarter-finals,Wed,Home,W,1,0,Mallorca,,,55,,Óscar Trejo,4-2-3-1,César Soto,Match Report,
26,2022-02-05,18:30,La Liga,Matchweek 23,Sat,Away,L,0,2,Celta Vigo,0.9,0.8,48,12546.0,Santi Comesaña,4-2-3-1,José Luis Munuera,Match Report,
27,2022-02-09,21:00,Copa del Rey,Semi-finals,Wed,Home,L,1,2,Betis,,,52,9034.0,Óscar Trejo,4-2-3-1,José Sánchez,Match Report,Leg 1 of 2
28,2022-02-12,18:30,La Liga,Matchweek 24,Sat,Home,L,0,3,Osasuna,1.0,1.6,55,8596.0,Santi Comesaña,4-2-3-1,Jorge Figueroa,Match Report,
29,2022-02-18,21:00,La Liga,Matchweek 25,Fri,Away,L,1,2,Elche,1.0,2.5,56,14742.0,Óscar Trejo,4-2-3-1,Alejandro Muñíz,Match Report,
30,2022-02-26,18:30,La Liga,Matchweek 26,Sat,Home,L,0,1,Real Madrid,1.4,2.3,34,9952.0,Óscar Trejo,4-2-3-1,Isidro Díaz de Mera,Match Report,
31,2022-03-03,21:00,Copa del Rey,Semi-finals,Thu,Away,D,1,1,Betis,,,40,50916.0,Óscar Trejo,4-2-3-1,Juan Martínez,Match Report,Leg 2 of 2; Betis won
32,2022-03-06,14:00,La Liga,Matchweek 27,Sun,Away,L,0,2,Cádiz,1.0,1.3,53,15677.0,Mario Suárez,4-2-3-1,César Soto,Match Report,
33,2022-03-13,14:00,La Liga,Matchweek 28,Sun,Home,D,1,1,Sevilla,0.5,0.2,44,9073.0,Óscar Trejo,4-2-3-1,Juan Martínez,Match Report,
