,Player,,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,Key Events
0,"1
Marc-André ter Stegen
28, GK",,0,34,85.3,0,0,10,5,0,0,6.23,
1,"2
Clément Lenglet
25, DC (81′)",,0,74,87.8,0,0,9,6,0,0,6.63,
2,"3
Óscar Mingueza
21, DC",,0,76,89.5,1,0,8,2,0,0,6.67,
3,"4
Ronald Araujo
21, DC",,0,104,89.4,0,0,7,3,0,0,7.49,
4,"5
Sergiño Dest
20, DMR (45′)",,0,27,70.4,2,0,0,0,0,0,6.91,
5,"6
Junior Firpo
24, DML",,3,62,83.9,3,1,0,0,0,0,7.54,
6,"7
Miralem Pjanic
30, MC (65′)",,1,70,88.6,2,2,4,4,0,0,6.80,
7,"8
Frenkie de Jong
23, MC",,0,87,94.3,0,0,5,4,0,0,6.77,
8,"9
Antoine Griezmann
29, AMC (65′)",,0,28,85.7,0,0,1,1,0,0,6.10,
9,"10
Pedri
18, AMC (87′)",,3,29,89.7,2,2,5,5,1,1,7.13,
10,"11
Martin Braithwaite
29, FW",,1,9,88.9,0,0,0,0,0,0,5.72,
11,"12
Philippe Coutinho
28, Sub (65′)",,1,15,86.7,2,1,1,1,0,0,6.67,
12,"13
Ousmane Dembélé
23, Sub (45′)",,4,23,87,5,3,1,1,0,0,7.92,
13,"14
Trincão
21, Sub (65′)",,0,12,100,1,0,0,0,0,0,6.37,
14,"15
Riqui Puig
21, Sub (87′)",,0,2,100,0,0,0,0,0,0,6.01,
15,"16
Sergio Busquets
32, Sub (81′)",,0,8,62.5,0,0,1,0,0,0,5.92,
16,"17
Neto
31, Sub",,0,0,0,0,0,0,0,0,0,-,
17,"18
Samuel Umtiti
27, Sub",,0,0,0,0,0,0,0,0,0,-,
18,"19
Carles Aleñá
22, Sub",,0,0,0,0,0,0,0,0,0,-,
19,"20
Iñaki Peña
21, Sub",,0,0,0,0,0,0,0,0,0,-,
20,"21
Matheus Fernandes
22, Sub",,0,0,0,0,0,0,0,0,0,-,
