,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Lionel Messi,10.0,ar  ARG,FW,33-095,90,1,0,1,1,6,3,0,0,79,14,1,0,0,1.5,0.7,0.0,6,0,56,67,83.6,9,65,9,3,5
1,Ansu Fati,22.0,es  ESP,LW,17-332,69,2,0,0,0,2,2,0,0,61,7,1,0,2,0.6,0.6,0.3,4,1,42,52,80.8,2,53,17,3,3
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-135,21,0,0,0,0,0,0,0,0,17,3,0,0,1,0.0,0.0,0.0,2,0,11,12,91.7,3,14,6,0,2
3,Antoine Griezmann,7.0,fr  FRA,RW,29-190,77,0,0,0,0,1,0,0,0,30,13,0,0,0,0.1,0.1,0.0,0,0,22,28,78.6,2,24,3,0,0
4,Francisco Trincão,17.0,pt  POR,RW,20-273,13,0,0,0,0,2,1,0,0,9,5,0,0,0,0.1,0.1,0.0,1,0,5,7,71.4,0,8,2,0,0
5,Philippe Coutinho,14.0,br  BRA,AM,28-107,69,0,1,0,0,2,1,0,0,56,11,2,0,1,0.2,0.2,0.5,2,1,46,49,93.9,4,48,8,3,3
6,Pedri,16.0,es  ESP,AM,17-307,21,0,0,0,0,0,0,0,0,16,7,0,0,1,0.0,0.0,0.0,1,0,12,14,85.7,1,15,0,0,0
7,Frenkie de Jong,21.0,nl  NED,DM,23-138,90,0,0,0,0,0,0,0,0,89,7,0,0,0,0.0,0.0,0.2,4,1,78,87,89.7,5,75,11,1,2
8,Sergio Busquets,5.0,es  ESP,DM,32-073,77,0,0,0,0,0,0,0,0,76,14,1,2,3,0.0,0.0,0.0,1,0,62,71,87.3,4,62,3,0,0
9,Miralem Pjanić,8.0,ba  BIH,DM,30-178,13,0,0,0,0,1,0,0,0,22,4,0,2,0,0.0,0.0,0.0,1,0,18,19,94.7,2,14,0,0,0
10,Jordi Alba,18.0,es  ESP,LB,31-190,90,0,1,0,0,1,1,0,0,113,7,2,0,4,0.1,0.1,0.4,3,1,86,101,85.1,8,80,8,3,3
11,Clément Lenglet,15.0,fr  FRA,CB,25-102,90,0,0,0,0,0,0,0,0,64,15,1,1,1,0.0,0.0,0.0,2,2,54,58,93.1,1,54,1,1,1
12,Gerard Piqué,3.0,es  ESP,CB,33-238,90,0,0,0,0,0,0,0,0,82,4,1,3,0,0.0,0.0,0.0,0,0,71,75,94.7,2,63,1,0,0
13,Sergi Roberto,20.0,es  ESP,RB,28-233,90,0,0,0,0,1,0,0,0,73,5,1,0,4,0.1,0.1,0.3,2,0,57,63,90.5,4,57,3,0,1
14,Neto,13.0,br  BRA,GK,31-070,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0.0,0.0,0.0,0,0,31,32,96.9,0,25,0,0,0
15,15 Players,,,,,990,3,2,1,1,16,8,0,0,822,116,10,8,17,2.6,1.9,1.7,29,6,651,735,88.6,47,657,72,14,20
