,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Paco Alcácer,17.0,es  ESP,FW,27-028,45,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
1,Vicente Iborra,10.0,es  ESP,"DM,FW",32-255,45,1,1,1,0,0,0,1,0.0,1,8,2,25.0,3,4,1,0,0,0,0,0,1,0,0
2,Gerard Moreno,7.0,es  ESP,FW,28-173,83,0,0,0,0,0,0,2,0.0,2,7,2,28.6,1,2,4,1,0,0,1,0,0,0,0
3,Carlos Bacca,9.0,co  COL,FW,34-019,7,0,0,0,0,0,0,0,,0,2,1,50.0,0,0,2,0,0,0,0,0,0,0,0
4,Moi Gómez,23.0,es  ESP,"LM,LW",26-096,90,1,1,1,0,0,0,1,0.0,1,15,6,40.0,4,6,5,3,0,0,3,0,1,0,0
5,Francis Coquelin,19.0,fr  FRA,CM,29-137,45,0,0,0,0,0,0,0,,0,6,2,33.3,4,1,1,1,1,0,0,0,0,1,0
6,Manu Trigueros,14.0,es  ESP,CM,28-346,45,0,0,0,0,0,0,3,0.0,3,5,0,0.0,0,2,3,0,0,0,0,1,1,0,0
7,Daniel Parejo,5.0,es  ESP,CM,31-164,90,1,1,0,0,1,0,1,0.0,1,22,5,22.7,8,9,5,3,0,0,3,1,2,0,0
8,Samuel Chukwueze,11.0,ng  NGA,"RM,RW",21-128,73,1,0,1,0,0,0,2,0.0,2,10,1,10.0,4,2,4,0,0,0,0,1,2,0,0
9,Takefusa Kubo,16.0,jp  JPN,RW,19-115,17,2,1,0,1,1,2,2,100.0,0,5,1,20.0,2,2,1,0,0,0,0,0,2,0,0
10,Pervis Estupiñán,15.0,ec  ECU,LB,22-250,90,3,2,2,0,1,2,2,100.0,0,10,4,40.0,4,4,2,1,0,0,1,1,4,0,0
11,Pau Torres,4.0,es  ESP,CB,23-255,90,0,0,0,0,0,0,0,,0,9,3,33.3,6,3,0,2,2,0,0,1,1,2,1
12,Raúl Albiol,3.0,es  ESP,CB,35-023,83,0,0,0,0,0,0,2,0.0,2,8,2,25.0,3,5,0,2,1,0,1,1,1,2,0
13,Ramiro Funes Mori,6.0,ar  ARG,CB,29-206,7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
14,Mario Gaspar,2.0,es  ESP,RB,29-308,90,1,1,0,0,1,1,4,25.0,3,11,2,18.2,7,3,1,6,1,0,5,2,3,2,0
15,Sergio Asenjo,1.0,es  ESP,GK,31-091,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,10,7,5,1,4,5,20,25.0,15,121,31,25.6,46,44,31,19,5,0,14,8,18,7,1
