,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Match Report
51,2021-03-24,Wed,WCQ — UEFA (M),First round,Home,D 1–1,fr  France,ua  Ukraine,Y,FW,90,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
52,2021-03-28,Sun,WCQ — UEFA (M),First round,Away,W 2–0,fr  France,kz  Kazakhstan,Y,AM,58,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
53,2021-03-31,Wed,WCQ — UEFA (M),First round,Away,W 1–0,fr  France,ba  Bosnia and Herzegovina,Y,CM,90,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
54,2021-04-05,Mon,La Liga,Matchweek 29,Home,W 1–0,Barcelona,Valladolid,Y,"AM,LM",62,58,1,7,22,31,3,57,0,0,,0,0,48,200,119,4,0,0,0,0,56,49,87.5,7,Match Report
55,2021-04-10,Sat,La Liga,Matchweek 30,Away,L 1–2,Barcelona,Real Madrid,N,"FW,CM",45,25,0,2,10,14,2,25,0,1,0.0,1,0,23,50,26,1,0,0,0,3,29,23,79.3,7,Match Report
56,2021-04-17,Sat,Copa del Rey,Final,Neutral,W 4–0,Barcelona,Athletic Club,Y,FW,87,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
57,2021-04-22,Thu,La Liga,Matchweek 31,Home,W 5–2,Barcelona,Getafe,Y,FW,90,43,0,8,21,18,4,41,3,3,100.0,3,0,37,117,62,3,1,1,2,2,39,32,82.1,5,Match Report
58,2021-04-25,Sun,La Liga,Matchweek 32,Away,W 2–1,Barcelona,Villarreal,Y,FW,79,32,0,3,11,19,8,32,1,1,100.0,1,0,21,81,30,1,0,1,0,1,38,25,65.8,4,Match Report
59,2021-04-29,Thu,La Liga,Matchweek 33,Home,L 1–2,Barcelona,Granada,Y,"FW,LM",90,77,0,3,22,55,10,75,0,2,0.0,0,0,59,197,66,4,2,2,4,0,75,64,85.3,13,Match Report
60,2021-05-02,Sun,La Liga,Matchweek 34,Away,W 3–2,Barcelona,Valencia,Y,FW,90,53,0,5,17,33,8,52,1,1,100.0,1,1,30,115,31,1,1,0,0,0,65,47,72.3,13,Match Report
61,2021-05-08,Sat,La Liga,Matchweek 35,Home,D 0–0,Barcelona,Atlético Madrid,Y,"FW,LW",90,45,0,6,17,26,3,41,1,1,100.0,1,0,36,132,49,3,1,0,0,2,56,36,64.3,7,Match Report
62,2021-05-11,Tue,La Liga,Matchweek 36,Away,D 3–3,Barcelona,Levante,Y,FW,80,48,0,8,22,21,2,48,1,2,50.0,1,0,27,109,42,2,1,0,0,1,59,47,79.7,6,Match Report
63,2021-05-16,Sun,La Liga,Matchweek 37,Home,L 1–2,Barcelona,Celta Vigo,Y,FW,69,50,0,2,18,34,6,48,0,1,0.0,0,0,30,147,43,2,1,0,1,3,45,34,75.6,12,Match Report
64,2021-05-22,Sat,La Liga,Matchweek 38,Away,W 1–0,Barcelona,Eibar,Y,"LW,RW",90,69,2,7,39,27,8,67,3,4,75.0,3,0,50,315,83,5,3,0,2,0,67,59,88.1,11,Match Report
65,2021-06-02,Wed,Friendlies (M),Friendlies (M),Home,W 3–0,fr  France,wls  Wales,Y,FW,83,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
66,2021-06-08,Tue,Friendlies (M),Friendlies (M),Home,W 3–0,fr  France,bg  Bulgaria,Y,AM,64,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
67,2021-06-15,Tue,UEFA Euro,Group stage,Neutral,W 1–0,fr  France,de  Germany,Y,RW,90,46,2,15,23,12,0,43,1,1,100.0,1,0,29,87,40,2,2,0,2,2,43,33,76.7,0,Match Report
68,2021-06-19,Sat,UEFA Euro,Group stage,Neutral,D 1–1,fr  France,hu  Hungary,Y,"RW,AM",90,68,0,3,30,39,2,59,1,1,100.0,1,0,49,206,104,5,3,0,0,3,59,47,79.7,11,Match Report
69,2021-06-23,Wed,UEFA Euro,Group stage,Neutral,D 2–2,fr  France,pt  Portugal,Y,AM,86,45,0,4,24,19,3,44,0,0,,0,0,26,89,39,3,1,0,1,1,40,37,92.5,4,Match Report
70,2021-06-28,Mon,UEFA Euro,Round of 16,Neutral,D 3  (4)  –3  (5),fr  France,ch  Switzerland,Y,"AM,RM",87,70,0,4,30,43,1,65,1,1,100.0,1,0,55,291,153,8,4,0,0,2,57,54,94.7,8,Match Report
71,,,,,,42-14-12,,,60/68,,5206,2163,28,203,892,1170,243,2090,31,48,64.6,33,1,1498,6187,2581,138,51,14,47,37,2190,1753,80.0,328,
