,id,minute,teamId,playerId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,eventId,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType.value,cardType.displayName,isGoal,venue
0,1709240465.1,0,67,125378.0,56.0,91.5,0,[],[60],False,1,FirstHalf,10000,OffsideGiven,0,Unsuccessful,,,,,,,,,,,,,,,Camp Nou
1,1640144669.0,0,65,,0.0,0.0,0,[],[],False,1,FirstHalf,32,Start,1,Successful,2.0,0.0,,,,,,,,,,,,,Camp Nou
2,2070886487.0,0,67,,0.0,0.0,0,[],[],False,1,FirstHalf,32,Start,1,Successful,2.0,0.0,,,,,,,,,,,,,Camp Nou
3,1430247891.0,0,67,125378.0,50.0,50.0,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.7'}]","[90, 116, 29, 34, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,3.0,1.0,33.7,53.7,,,,,,,,,,,Camp Nou
4,1446838856.0,0,67,39935.0,33.7,56.0,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.7'}]","[90, 116, 29, 34, 36, 214, 217]",True,1,FirstHalf,1,Pass,1,Successful,4.0,3.0,29.8,76.7,,,,,,,,,,,Camp Nou
5,1711043131.0,0,67,236511.0,29.1,80.6,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.0'}]","[90, 116, 29, 35, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,5.0,6.0,33.5,96.0,,,,,,,,,,,Camp Nou
6,1328105983.0,0,67,89856.0,32.7,97.2,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '19.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 116, 29, 34, 37, 214, 217]",True,1,FirstHalf,1,Pass,1,Successful,6.0,7.0,19.6,86.5,,,,,,,,,,,Camp Nou
7,1166781176.0,0,65,12712.0,44.6,46.8,0,[],[61],False,1,FirstHalf,55,OffsideProvoked,1,Successful,3.0,10.0,,,,,,,,,,,,,Camp Nou
8,1709240465.0,0,67,236511.0,19.6,86.5,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.0'}, {'type': {'value': 7, 'displayName': 'PlayerCaughtOffside'}, 'value': '125378'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[90, 215]",True,1,FirstHalf,2,OffsidePass,1,Successful,7.0,10.0,56.0,91.5,,,,,,,,,,,Camp Nou
9,1295952047.0,0,65,7415.0,40.4,16.2,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.5'}, {'type': {'value': 241, 'displayName': 'IndirectFreekickTaken'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.2'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 131, 34, 36, 214, 217]",True,1,FirstHalf,1,Pass,1,Successful,4.0,20.0,30.5,47.2,,,,,,,,,,,Camp Nou
