,Id,Name,Age,Nationality,Club,Height,Weight,Value,Wage,Overall,Potential
0,188545,Robert Lewandowski,32,Poland,FC Bayern München,185,81,€119.5M,€270K,92,92
1,158023,Lionel Messi,34,Argentina,Paris Saint-Germain,169,67,€69.5M,€290K,92,92
2,231747,Kylian Mbappé,22,France,Paris Saint-Germain,182,73,€194M,€230K,91,95
3,209331,Mohamed Salah,29,Egypt,Liverpool,175,71,€129M,€350K,91,91
4,192985,Kevin De Bruyne,30,Belgium,Manchester City,181,70,€125.5M,€350K,91,91
5,165153,Karim Benzema,33,France,Real Madrid CF,185,81,€84M,€450K,91,91
6,20801,C. Ronaldo dos Santos Aveiro,36,Portugal,Manchester United,187,83,€45M,€270K,91,91
7,215914,N'Golo Kanté,30,France,Chelsea,168,70,€100M,€230K,90,90
8,203376,Virgil van Dijk,29,Netherlands,Liverpool,193,92,€100M,€240K,90,90
9,190871,Neymar da Silva Santos Jr.,29,Brazil,Paris Saint-Germain,175,68,€117.5M,€220K,90,90
10,167495,Manuel Neuer,35,Germany,FC Bayern München,193,93,€13.5M,€86K,90,90
11,212831,Alisson Ramses Becker,28,Brazil,Liverpool,191,91,€82M,€190K,89,90
12,212622,Joshua Kimmich,26,Germany,FC Bayern München,177,75,€108M,€160K,89,90
13,210257,Ederson Santana de Moraes,27,Brazil,Manchester City,188,86,€94M,€200K,89,91
14,208722,Sadio Mané,29,Senegal,Liverpool,175,69,€101M,€270K,89,89
15,202126,Harry Kane,27,England,Tottenham Hotspur,188,89,€112M,€230K,89,89
16,200389,Jan Oblak,28,Slovenia,Atlético de Madrid,188,87,€88M,€100K,89,91
17,200145,Carlos Henrique Venancio Casimiro,29,Brazil,Real Madrid CF,185,84,€88M,€310K,89,89
18,200104,Heung Min Son,28,Korea Republic,Tottenham Hotspur,183,78,€104M,€240K,89,89
19,192119,Thibaut Courtois,29,Belgium,Real Madrid CF,199,96,€79M,€250K,89,90
20,239818,Rúben Santos Gato Alves Dias,24,Portugal,Manchester City,187,82,€111.5M,€210K,88,91
21,239085,Erling Haaland,20,Norway,Borussia Dortmund,194,94,€143.5M,€110K,88,94
22,230621,Gianluigi Donnarumma,22,Italy,Paris Saint-Germain,196,90,€106M,€110K,88,92
23,210514,João Pedro Cavaco Cancelo,27,Portugal,Manchester City,182,74,€96M,€240K,88,89
24,209658,Leon Goretzka,26,Germany,FC Bayern München,189,82,€107M,€165K,88,89
25,207865,Marcos Aoás Corrêa,27,Brazil,Paris Saint-Germain,183,75,€97.5M,€160K,88,90
26,193041,Keylor Navas,34,Costa Rica,Paris Saint-Germain,185,80,€15.5M,€130K,88,88
