,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-13,17:00,La Liga,Matchweek 1,Sat,Home,D,2.0,2.0,Espanyol,0.4,1.1,60.0,13859.0,Hugo Mallo,4-1-3-2,Miguel Ángel Ortiz Arias,Match Report,
1,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Home,L,1.0,4.0,Real Madrid,1.4,3.7,51.0,15681.0,Hugo Mallo,4-1-3-2,Jesús Gil,Match Report,
2,2022-08-26,20:00,La Liga,Matchweek 3,Fri,Away,W,1.0,0.0,Girona,1.0,1.0,47.0,11329.0,Hugo Mallo,4-1-3-2,Carlos del Cerro,Match Report,
3,2022-09-02,21:00,La Liga,Matchweek 4,Fri,Home,W,3.0,0.0,Cádiz,0.7,0.3,58.0,14510.0,Hugo Mallo,4-1-3-2,Juan Pulido,Match Report,
4,2022-09-10,21:00,La Liga,Matchweek 5,Sat,Away,L,1.0,4.0,Atlético Madrid,1.7,0.7,54.0,52247.0,Hugo Mallo,4-1-3-2,Alejandro Hernández,Match Report,
5,2022-09-17,18:30,La Liga,Matchweek 6,Sat,Away,L,0.0,3.0,Valencia,0.5,1.7,35.0,40965.0,Hugo Mallo,4-1-3-2,Pablo González,Match Report,
6,2022-10-02,16:15,La Liga,Matchweek 7,Sun,Home,W,1.0,0.0,Betis,0.9,0.9,46.0,14344.0,Hugo Mallo,4-1-3-2,César Soto,Match Report,
7,2022-10-09,21:00,La Liga,Matchweek 8,Sun,Away,L,0.0,1.0,Barcelona,1.5,2.0,43.0,81525.0,Hugo Mallo,4-1-3-2,José Luis Munuera,Match Report,
8,2022-10-16,14:00,La Liga,Matchweek 9,Sun,Home,L,1.0,2.0,Real Sociedad,0.5,0.8,53.0,13101.0,Hugo Mallo,4-1-3-2,Guillermo Cuadra,Match Report,
9,2022-10-19,19:00,La Liga,Matchweek 10,Wed,Away,L,1.0,4.0,Valladolid,2.6,1.5,62.0,16547.0,Hugo Mallo,4-1-3-2,Valentín Pizarro,Match Report,
10,2022-10-24,21:00,La Liga,Matchweek 11,Mon,Home,D,1.0,1.0,Getafe,0.7,0.2,71.0,9774.0,Hugo Mallo,4-1-3-2,Pablo González,Match Report,
11,2022-10-29,14:00,La Liga,Matchweek 12,Sat,Away,L,1.0,3.0,Almería,0.3,2.3,39.0,11080.0,Iago Aspas,4-1-3-2,Carlos del Cerro,Match Report,
12,2022-11-05,18:30,La Liga,Matchweek 13,Sat,Home,L,1.0,2.0,Osasuna,0.7,0.4,61.0,14209.0,Iago Aspas,4-4-2,Jorge Figueroa,Match Report,
13,2022-11-10,19:00,La Liga,Matchweek 14,Thu,Away,D,0.0,0.0,Rayo Vallecano,0.9,0.4,41.0,12419.0,Kevin Vázquez,3-4-3,José Luis Munuera,Match Report,
14,2022-11-13,16:00,Copa del Rey,First round,Sun,Away,W,6.0,1.0,CD Algar,,,79.0,4500.0,Fran Beltrán,4-4-2,Dámaso Arcediano,Match Report,
15,2022-12-22,19:00,Copa del Rey,Second round,Thu,Away,W,3.0,0.0,Gernika Club,,,66.0,2857.0,Iván Villar,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
16,2022-12-30,19:15,La Liga,Matchweek 15,Fri,Home,D,1.0,1.0,Sevilla,2.0,0.7,44.0,13653.0,Hugo Mallo,5-3-2,Ricardo de Burgos,Match Report,
17,2023-01-03,19:00,Copa del Rey,Round of 32,Tue,Away,L,1.0,3.0,Espanyol,,,53.0,20050.0,Kevin Vázquez,4-2-3-1,Juan Martínez,Match Report,Required Extra Time
18,2023-01-06,18:30,La Liga,Matchweek 16,Fri,Away,W,1.0,0.0,Elche,2.0,1.0,43.0,20121.0,Hugo Mallo,5-3-2,Miguel Ángel Ortiz Arias,Match Report,
19,2023-01-13,21:00,La Liga,Matchweek 17,Fri,Home,,,,Villarreal,,,,,,,,Head-to-Head,
20,2023-01-22,,La Liga,Matchweek 18,Sun,Away,,,,Mallorca,,,,,,,,Head-to-Head,
21,2023-01-29,,La Liga,Matchweek 19,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,
