,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
0,Aymen Abdennour,tn  TUN,DF,Valencia,26,1989,9.8,0,2,0,0.0,0.20,0.00,0.00,,,0,0
1,Antonio Adán,es  ESP,GK,Betis,29,1987,37.0,0,0,0,,0.00,0.00,,,,0,0
2,Aritz Aduriz,es  ESP,FW,Athletic Club,35,1981,26.9,16,85,48,56.5,3.17,1.79,0.13,0.23,,5,5
3,Akram Afif,qa  QAT,MF,Sporting Gijón,19,1996,2.6,0,1,1,100.0,0.38,0.38,0.00,0.00,,0,0
4,Rachid Aït-Atmane,dz  ALG,MF,Sporting Gijón,23,1993,5.5,0,5,0,0.0,0.91,0.00,0.00,,,0,0
5,Javi Álamo,es  ESP,"FW,MF",Osasuna,27,1988,0.2,0,1,0,0.0,5.63,0.00,0.00,,,0,0
6,Jordi Alba,es  ESP,DF,Barcelona,27,1989,21.9,1,6,1,16.7,0.27,0.05,0.17,1.00,,0,0
7,Raúl Albentosa,es  ESP,DF,La Coruña,27,1988,26.0,1,10,4,40.0,0.39,0.15,0.10,0.25,,0,0
8,Álex Alegría,es  ESP,FW,Betis,23,1992,16.0,3,45,21,46.7,2.81,1.31,0.07,0.14,,0,0
9,Carles Aleñá,es  ESP,MF,Barcelona,18,1998,0.5,0,1,0,0.0,2.00,0.00,0.00,,,0,0
10,Alexander,ar  ARG,MF,Leganés,27,1988,22.5,8,42,19,45.2,1.87,0.85,0.17,0.37,,1,1
11,Alexis,es  ESP,DF,Alavés,30,1985,20.2,2,7,2,28.6,0.35,0.10,0.29,1.00,,0,0
12,Víctor Álvarez,es  ESP,DF,Espanyol,23,1993,2.3,0,0,0,,0.00,0.00,,,,0,0
13,Yeray Álvarez,es  ESP,DF,Athletic Club,21,1995,25.3,0,13,2,15.4,0.51,0.08,0.00,0.00,,0,0
14,Diego Alves,br  BRA,GK,Valencia,31,1985,33.0,0,0,0,,0.00,0.00,,,,0,0
15,Fernando Amorebieta,ve  VEN,DF,Sporting Gijón,31,1985,24.6,0,10,2,20.0,0.41,0.08,0.00,0.00,,0,0
16,Jon Ander Serantes,es  ESP,GK,Leganés,26,1989,12.3,0,1,0,0.0,0.08,0.00,0.00,,,0,0
17,Florin Andone,ro  ROU,FW,La Coruña,23,1993,32.3,12,100,44,44.0,3.09,1.36,0.12,0.27,,0,0
18,Victorien Angban,ci  CIV,MF,Granada,19,1996,7.5,0,2,0,0.0,0.27,0.00,0.00,,,0,0
19,Miguel Ángel Guerrero,es  ESP,FW,Leganés,26,1990,24.0,5,43,18,41.9,1.79,0.75,0.09,0.22,,1,1
20,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,32,1984,8.6,0,0,0,,0.00,0.00,,,,0,0
