,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
0,Aymen Abdennour,tn  TUN,DF,Valencia,26,1989,13,9,882,9.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
1,Antonio Adán,es  ESP,GK,Betis,29,1987,37,37,3330,37.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
2,Aritz Aduriz,es  ESP,FW,Athletic Club,35,1981,32,27,2417,26.9,16,5,11,5,5,8,2,0.60,0.19,0.78,0.41,0.60
3,Akram Afif,qa  QAT,MF,Sporting Gijón,19,1996,9,2,236,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
4,Rachid Aït-Atmane,dz  ALG,MF,Sporting Gijón,23,1993,8,6,492,5.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
5,Javi Álamo,es  ESP,"FW,MF",Osasuna,27,1988,2,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
6,Jordi Alba,es  ESP,DF,Barcelona,27,1989,26,21,1969,21.9,1,5,1,0,0,4,0,0.05,0.23,0.27,0.05,0.27
7,Raúl Albentosa,es  ESP,DF,La Coruña,27,1988,27,26,2336,26.0,1,1,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08
8,Álex Alegría,es  ESP,FW,Betis,23,1992,25,15,1440,16.0,3,2,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31
9,Carles Aleñá,es  ESP,MF,Barcelona,18,1998,3,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
10,Alexander,ar  ARG,MF,Leganés,27,1988,28,24,2022,22.5,8,2,7,1,1,1,0,0.36,0.09,0.45,0.31,0.40
11,Alexis,es  ESP,DF,Alavés,30,1985,24,19,1821,20.2,2,1,2,0,0,11,2,0.10,0.05,0.15,0.10,0.15
12,Víctor Álvarez,es  ESP,DF,Espanyol,23,1993,4,2,206,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
13,Yeray Álvarez,es  ESP,DF,Athletic Club,21,1995,26,25,2273,25.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
14,Diego Alves,br  BRA,GK,Valencia,31,1985,33,33,2970,33.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
15,Fernando Amorebieta,ve  VEN,DF,Sporting Gijón,31,1985,27,26,2216,24.6,0,1,0,0,0,17,0,0.00,0.04,0.04,0.00,0.04
16,Jon Ander Serantes,es  ESP,GK,Leganés,26,1989,13,13,1108,12.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
