,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
0,Toni Dovale,es  ESP,"DF,MF",Leganés,26,1990,0,,,,,0,,0,0,,3,,,,,,
1,Aymen Abdennour,tn  TUN,DF,Valencia,26,1989,13,882,68,25.8,9.8,9,,7,4,,11,0.92,15,19,-4,-0.41,-0.23
2,Antonio Adán,es  ESP,GK,Betis,29,1987,37,3330,90,97.4,37.0,37,,37,0,,0,1.03,39,62,-23,-0.62,-0.62
3,Aritz Aduriz,es  ESP,FW,Athletic Club,35,1981,32,2417,76,70.7,26.9,27,,21,5,,0,1.66,35,28,+7,+0.26,-0.01
4,Akram Afif,qa  QAT,MF,Sporting Gijón,19,1996,9,236,26,6.9,2.6,2,,0,7,,6,0.44,1,4,-3,-1.14,-0.38
5,Martin Agirregabiria,es  ESP,DF,Alavés,20,1996,0,,,,,0,,0,0,,1,,,,,,
6,Rachid Aït-Atmane,dz  ALG,MF,Sporting Gijón,23,1993,8,492,62,14.4,5.5,6,,2,2,,4,0.50,6,12,-6,-1.10,-0.36
7,Javi Álamo,es  ESP,"FW,MF",Osasuna,27,1988,2,16,8,0.5,0.2,0,,0,2,,2,1.50,0,0,0,0.00,+1.43
8,Jordi Alba,es  ESP,DF,Barcelona,27,1989,26,1969,76,57.6,21.9,21,,19,5,,8,2.27,69,24,+45,+2.06,-0.05
9,Raúl Albentosa,es  ESP,DF,La Coruña,27,1988,27,2336,87,68.3,26.0,26,,25,1,,8,0.93,31,41,-10,-0.39,+0.28
10,Álex Alegría,es  ESP,FW,Betis,23,1992,25,1440,58,42.1,16.0,15,,8,10,,7,1.00,14,26,-12,-0.75,-0.25
11,Carles Aleñá,es  ESP,MF,Barcelona,18,1998,3,45,15,1.3,0.5,0,,0,3,,12,3.00,4,0,+4,+8.00,+6.00
12,Alexander,ar  ARG,MF,Leganés,27,1988,28,2022,72,59.1,22.5,24,,11,4,,1,0.93,23,32,-9,-0.40,+0.24
13,Alexis,es  ESP,DF,Alavés,30,1985,24,1821,76,53.2,20.2,19,,18,5,,5,1.42,25,29,-4,-0.20,-0.31
14,Víctor Álvarez,es  ESP,DF,Espanyol,23,1993,4,206,52,6.0,2.3,2,,2,2,,11,2.25,2,3,-1,-0.44,-0.44
15,Yeray Álvarez,es  ESP,DF,Athletic Club,21,1995,26,2273,87,66.5,25.3,25,,25,1,,3,1.81,39,29,+10,+0.40,+0.40
16,Diego Alves,br  BRA,GK,Valencia,31,1985,33,2970,90,86.8,33.0,33,,33,0,,3,1.21,48,56,-8,-0.24,-0.04
17,Fernando Amorebieta,ve  VEN,DF,Sporting Gijón,31,1985,27,2216,82,64.8,24.6,26,,22,1,,4,0.74,27,53,-26,-1.06,-0.76
18,Jon Ander Serantes,es  ESP,GK,Leganés,26,1989,13,1108,85,32.4,12.3,13,,12,0,,0,1.00,11,22,-11,-0.89,-0.58
19,Florin Andone,ro  ROU,FW,La Coruña,23,1993,37,2908,79,85.0,32.3,32,,20,5,,0,0.89,38,49,-11,-0.34,+0.89
20,Victorien Angban,ci  CIV,MF,Granada,19,1996,10,678,68,19.8,7.5,8,,3,2,,12,0.20,5,21,-16,-2.12,-0.94
21,Miguel Ángel Guerrero,es  ESP,FW,Leganés,26,1990,31,2164,70,63.3,24.0,25,,12,6,,4,0.94,21,28,-7,-0.29,+0.57
22,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,32,1984,9,771,86,22.5,8.6,8,,8,1,,14,2.22,15,6,+9,+1.05,-0.10
23,José Ángel,es  ESP,DF,Villarreal,26,1989,7,630,90,18.4,7.0,7,,7,0,,14,1.86,8,3,+5,+0.71,+0.13
24,José Antonio Reyes,es  ESP,"MF,FW",Espanyol,32,1983,21,867,41,25.4,9.6,10,,1,11,,9,1.52,14,10,+4,+0.42,+0.59
25,Sergio Araujo,ar  ARG,FW,Las Palmas,24,1992,11,536,49,15.7,6.0,5,,3,6,,1,1.36,8,13,-5,-0.84,-0.34
26,Vinícius Araújo,br  BRA,FW,Valencia,23,1993,0,,,,,0,,0,0,,1,,,,,,
27,Anaitz Arbilla,es  ESP,DF,Eibar,29,1987,22,1574,72,46.0,17.5,17,,13,5,,3,1.50,32,20,+12,+0.69,+1.03
28,Roberto Olabe del Arco,es  ESP,MF,Atlético Madrid,20,1996,0,,,,,0,,0,0,,1,,,,,,
29,Markel Areitio,es  ESP,GK,Eibar,19,1996,1,47,47,1.4,0.5,0,,0,1,,10,1.00,1,0,+1,+1.91,+1.81
30,Alejandro Arribas,es  ESP,DF,La Coruña,27,1989,23,1914,83,56.0,21.3,20,,20,3,,13,0.91,21,31,-10,-0.47,+0.01
31,Sergio Arribas,es  ESP,MF,Leganés,21,1995,0,,,,,0,,0,0,,2,,,,,,
32,Kepa Arrizabalaga,es  ESP,GK,Athletic Club,21,1994,23,2015,88,58.9,22.4,23,,22,0,,2,1.96,36,22,+14,+0.63,+0.88
33,Aythami Artiles,es  ESP,DF,Las Palmas,30,1986,11,836,76,24.4,9.3,8,,5,3,,8,0.42,8,21,-13,-1.40,-1.12
34,Sergio Asenjo,es  ESP,GK,Villarreal,27,1989,24,2104,88,61.5,23.4,24,,23,0,,0,1.63,30,15,+15,+0.64,+0.09
35,Marco Asensio,es  ESP,"FW,MF",Real Madrid,20,1996,23,1083,47,31.7,12.0,11,,5,12,,10,2.61,37,15,+22,+1.83,+0.17
36,Iago Aspas,es  ESP,"FW,MF",Celta Vigo,28,1987,32,2317,72,67.7,25.7,25,,15,7,,3,1.22,44,44,0,0.00,+1.31
37,Omer Atzili,il  ISR,MF,Granada,23,1993,9,365,41,10.7,4.1,3,,0,6,,7,0.44,3,8,-5,-1.23,+0.15
38,Ryan Babel,nl  NED,"MF,FW",La Coruña,29,1986,11,566,51,16.5,6.3,5,,2,6,,0,1.00,14,9,+5,+0.80,+1.52
39,Jean-Sylvain Babin,mq  MTQ,DF,Sporting Gijón,29,1986,22,1712,78,50.1,19.0,20,,16,2,,6,0.86,21,29,-8,-0.42,+0.74
40,Cédric Bakambu,cd  COD,FW,Villarreal,25,1991,26,1570,60,45.9,17.4,17,,7,9,,0,1.69,33,19,+14,+0.80,+0.36
41,Zakaria Bakkali,be  BEL,FW,Valencia,20,1996,18,303,17,8.9,3.4,1,,0,17,,12,1.11,4,7,-3,-0.89,-0.72
