,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
0,Aymen Abdennour,tn  TUN,DF,Valencia,26,1989,9.8,4,0,0,16,4,0,2,34,11,0,2,0
1,Antonio Adán,es  ESP,GK,Betis,29,1987,37.0,5,0,0,0,3,0,0,5,1,0,1,0
2,Aritz Aduriz,es  ESP,FW,Athletic Club,35,1981,26.9,8,2,1,38,58,18,23,4,10,2,0,0
3,Akram Afif,qa  QAT,MF,Sporting Gijón,19,1996,2.6,2,0,0,3,9,1,4,2,7,0,0,0
4,Rachid Aït-Atmane,dz  ALG,MF,Sporting Gijón,23,1993,5.5,3,0,0,7,12,0,4,6,10,0,0,0
5,Javi Álamo,es  ESP,"FW,MF",Osasuna,27,1988,0.2,0,0,0,1,1,0,0,1,1,0,0,0
6,Jordi Alba,es  ESP,DF,Barcelona,27,1989,21.9,4,0,0,21,16,8,21,29,27,1,0,0
7,Raúl Albentosa,es  ESP,DF,La Coruña,27,1988,26.0,10,1,0,31,10,2,5,43,23,1,1,1
8,Álex Alegría,es  ESP,FW,Betis,23,1992,16.0,2,0,0,41,54,9,4,5,5,0,0,0
9,Carles Aleñá,es  ESP,MF,Barcelona,18,1998,0.5,1,0,0,2,0,0,0,1,0,0,0,0
10,Alexander,ar  ARG,MF,Leganés,27,1988,22.5,1,0,0,21,29,14,97,24,28,0,0,0
11,Alexis,es  ESP,DF,Alavés,30,1985,20.2,11,2,1,18,9,3,1,31,15,0,1,1
12,Víctor Álvarez,es  ESP,DF,Espanyol,23,1993,2.3,2,0,0,4,3,0,5,6,8,0,0,0
13,Yeray Álvarez,es  ESP,DF,Athletic Club,21,1995,25.3,3,0,0,53,28,1,8,99,47,1,0,0
14,Diego Alves,br  BRA,GK,Valencia,31,1985,33.0,4,0,0,0,3,0,0,1,0,0,1,1
15,Fernando Amorebieta,ve  VEN,DF,Sporting Gijón,31,1985,24.6,17,0,0,50,22,3,8,70,28,0,2,0
16,Jon Ander Serantes,es  ESP,GK,Leganés,26,1989,12.3,2,0,0,0,1,0,0,1,0,0,0,0
17,Florin Andone,ro  ROU,FW,La Coruña,23,1993,32.3,6,0,0,93,37,34,22,4,18,2,0,0
18,Victorien Angban,ci  CIV,MF,Granada,19,1996,7.5,4,0,0,14,4,0,3,17,19,0,0,0
19,Miguel Ángel Guerrero,es  ESP,FW,Leganés,26,1990,24.0,3,0,0,66,28,19,5,8,10,1,0,0
20,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,32,1984,8.6,0,0,0,0,4,0,0,0,0,0,0,0
21,José Ángel,es  ESP,DF,Villarreal,26,1989,7.0,2,0,0,6,4,0,28,16,19,0,0,0
22,José Antonio Reyes,es  ESP,"MF,FW",Espanyol,32,1983,9.6,1,0,0,14,29,2,48,6,10,0,0,0
23,Sergio Araujo,ar  ARG,FW,Las Palmas,24,1992,6.0,2,0,0,11,6,5,3,5,5,0,0,0
24,Anaitz Arbilla,es  ESP,DF,Eibar,29,1987,17.5,5,0,0,15,11,0,57,51,34,0,0,0
25,Markel Areitio,es  ESP,GK,Eibar,19,1996,0.5,0,0,0,0,0,0,0,0,0,0,0,0
26,Alejandro Arribas,es  ESP,DF,La Coruña,27,1989,21.3,7,0,0,29,23,0,1,36,33,0,0,0
27,Kepa Arrizabalaga,es  ESP,GK,Athletic Club,21,1994,22.4,1,0,0,0,4,0,0,2,0,0,0,0
28,Aythami Artiles,es  ESP,DF,Las Palmas,30,1986,9.3,4,2,1,16,5,0,0,20,7,0,0,1
29,Sergio Asenjo,es  ESP,GK,Villarreal,27,1989,23.4,0,0,0,0,8,0,0,3,1,0,0,0
30,Marco Asensio,es  ESP,"FW,MF",Real Madrid,20,1996,12.0,0,0,0,15,15,5,28,11,22,0,0,0
31,Iago Aspas,es  ESP,"FW,MF",Celta Vigo,28,1987,25.7,9,2,1,26,71,12,25,12,16,2,0,0
32,Omer Atzili,il  ISR,MF,Granada,23,1993,4.1,0,0,0,3,7,1,14,3,4,1,0,0
33,Ryan Babel,nl  NED,"MF,FW",La Coruña,29,1986,6.3,3,0,0,14,5,5,11,7,6,0,0,0
34,Jean-Sylvain Babin,mq  MTQ,DF,Sporting Gijón,29,1986,19.0,2,0,0,9,12,4,0,24,14,0,0,0
35,Cédric Bakambu,cd  COD,FW,Villarreal,25,1991,17.4,5,0,0,42,28,17,6,3,9,0,0,0
36,Zakaria Bakkali,be  BEL,FW,Valencia,20,1996,3.4,2,0,0,5,12,1,16,2,3,1,0,0
37,Gareth Bale,wal  WAL,FW,Real Madrid,27,1989,15.8,3,1,0,9,16,14,66,17,13,0,0,0
38,Mikel Balenziaga,es  ESP,DF,Athletic Club,28,1988,31.6,3,1,0,20,27,1,101,37,59,0,0,0
39,Léo Baptistão,br  BRA,"FW,MF",Espanyol,23,1992,15.9,1,0,0,19,42,3,21,12,16,0,0,0
40,David Barral,es  ESP,FW,Granada,33,1983,3.5,1,0,0,13,7,1,9,8,6,0,0,0
41,Diego Barrios,es  ESP,GK,Leganés,22,1994,0.7,0,0,0,0,0,0,0,0,0,0,0,0
42,Jon Bautista,es  ESP,FW,Real Sociedad,21,1995,3.6,0,0,0,6,3,3,1,0,8,0,0,0
43,Claudio Beauvue,GPE,FW,Celta Vigo,28,1988,7.4,1,0,0,11,19,3,6,3,3,0,0,0
44,Bebé,pt  POR,"MF,FW",Eibar,26,1990,7.7,2,0,0,11,6,2,71,11,9,0,0,0
45,Wissam Ben Yedder,fr  FRA,FW,Sevilla,25,1990,18.4,0,0,0,11,13,31,14,7,11,1,0,0
46,Karim Benzema,fr  FRA,FW,Real Madrid,28,1987,21.1,0,0,0,12,10,18,12,3,14,0,0,0
47,Yuri Berchiche,es  ESP,DF,Real Sociedad,26,1990,34.3,9,0,0,41,43,3,128,62,50,1,0,0
48,Álex Berenguer,es  ESP,"DF,MF",Osasuna,21,1995,24.2,3,0,0,28,35,2,77,53,52,0,1,0
49,Álex Bergantiños,es  ESP,"MF,DF",La Coruña,31,1985,6.2,2,0,0,8,2,0,1,9,13,0,0,0
50,Markel Bergara,es  ESP,MF,Real Sociedad,30,1986,3.2,0,0,0,5,9,2,0,5,5,0,0,0
51,Pedro Bigas,es  ESP,DF,Las Palmas,25,1990,29.4,5,2,1,17,30,3,4,87,19,0,1,0
52,Rubén Blanco,es  ESP,GK,Celta Vigo,21,1995,11.0,2,0,0,0,1,0,0,1,0,0,0,0
53,Kevin-Prince Boateng,gh  GHA,"FW,MF",Las Palmas,29,1987,22.0,11,3,1,56,69,33,19,19,16,0,2,0
54,Jeremie Boga,ci  CIV,"MF,FW",Granada,19,1997,16.3,0,0,0,3,29,4,10,3,6,0,0,0
55,Daniele Bonera,it  ITA,DF,Villarreal,35,1981,6.0,2,0,0,7,7,0,1,8,4,0,0,0
56,Theo Bongonda,be  BEL,"MF,FW",Celta Vigo,20,1995,24.0,3,0,0,14,37,24,56,15,21,0,0,0
57,Tano Bonnín,do  DOM,DF,Osasuna,26,1990,8.2,2,2,1,14,8,0,10,24,9,0,0,0
58,Celso Borges,cr  CRC,MF,La Coruña,28,1988,30.1,5,0,0,30,29,1,6,64,44,1,1,0
59,Rafael Borré,co  COL,FW,Villarreal,20,1995,4.1,0,0,0,2,7,2,5,1,6,1,0,0
60,Eneko Bóveda,es  ESP,DF,Athletic Club,27,1988,17.3,1,0,0,14,13,1,13,46,36,0,2,0
61,Denys Boyko,ua  UKR,GK,Málaga,28,1988,3.0,0,0,0,0,0,0,0,0,0,0,0,0
62,Darko Brašanac,rs  SRB,MF,Betis,24,1992,18.6,7,0,0,54,22,3,8,14,34,0,0,0
63,Claudio Bravo,cl  CHI,GK,Barcelona,33,1983,1.0,0,0,0,0,0,0,0,0,0,0,0,0
64,Alberto Brignoli,it  ITA,GK,Leganés,24,1991,0.7,0,0,0,0,0,0,0,0,0,0,0,0
65,Aitor Buñuel,es  ESP,"DF,MF",Osasuna,18,1998,11.5,3,0,0,18,7,0,32,24,29,0,0,0
66,Burgui,es  ESP,"MF,FW",Sporting Gijón,22,1993,22.0,6,0,0,20,58,14,59,13,26,2,0,0
67,Sergio Busquets,es  ESP,MF,Barcelona,28,1988,29.8,9,0,0,41,35,1,0,50,56,0,0,0
68,Unai Bustinza,es  ESP,DF,Leganés,24,1992,19.9,10,0,0,43,19,1,26,62,40,0,1,0
69,Gustavo Cabral,ar  ARG,DF,Celta Vigo,30,1985,24.2,6,0,0,30,20,2,3,57,43,0,2,0
70,Felipe Caicedo,ec  ECU,FW,Espanyol,27,1988,14.2,4,2,1,55,17,19,0,2,18,1,0,0
71,Ignacio Camacho,es  ESP,MF,Málaga,26,1990,34.9,15,0,0,93,63,6,11,114,87,0,1,0
72,Víctor Camarasa,es  ESP,MF,Alavés,22,1994,27.6,4,0,0,30,28,9,32,12,23,0,0,0
73,Sergio Canales,es  ESP,"MF,FW",Real Sociedad,25,1991,11.2,2,0,0,17,10,3,63,7,23,0,0,0
74,João Cancelo,pt  POR,"DF,MF",Valencia,22,1994,27.0,6,2,1,36,46,5,97,61,65,0,1,0
75,Roberto Canella,es  ESP,DF,Sporting Gijón,28,1988,19.5,4,0,0,15,13,1,48,24,27,0,0,0
76,Aitor Cantalapiedra,es  ESP,"FW,MF",Villarreal,20,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0
77,Ander Capa,es  ESP,DF,Eibar,24,1992,28.4,9,2,1,41,26,1,110,65,56,0,1,0
78,Mehdi Carcela,ma  MAR,"MF,FW",Granada,27,1989,19.4,6,0,0,22,37,5,52,22,21,0,0,0
79,José Carlos,es  ESP,DF,Betis,20,1996,5.5,0,0,0,6,1,0,0,14,11,0,0,0
80,Carlos Carmona,es  ESP,"MF,FW",Sporting Gijón,29,1987,20.6,5,0,0,59,34,13,96,23,42,1,0,0
81,Yannick Carrasco,be  BEL,"MF,FW",Atlético Madrid,22,1993,25.6,5,0,0,30,50,9,75,18,19,1,0,0
82,Daniel Carriço,pt  POR,DF,Sevilla,27,1988,5.0,2,0,0,14,2,0,1,11,3,0,0,0
83,Federico Cartabia,ar  ARG,"MF,FW",Valencia,23,1993,1.7,0,0,0,6,5,0,1,2,10,0,0,0
84,Dani Carvajal,es  ESP,DF,Real Madrid,24,1992,22.4,11,0,0,27,24,2,75,45,41,1,0,0
85,Casemiro,br  BRA,MF,Real Madrid,24,1992,18.9,9,0,0,55,45,2,3,43,71,0,0,0
