,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Antonio Adán,es  ESP,GK,Betis,29,1987,37,37,3330,37.0,62,1.68,197,135,70.6,10,8,19,10,27.0,5,4,1,0,20.0
1,Sergio Álvarez,es  ESP,GK,Celta Vigo,29,1986,26,26,2340,26.0,51,1.96,152,101,69.1,8,3,15,5,19.2,5,4,0,1,0.0
2,Diego Alves,br  BRA,GK,Valencia,31,1985,33,33,2970,33.0,56,1.70,159,103,67.9,11,7,15,6,18.2,11,5,4,2,44.4
3,Jon Ander Serantes,es  ESP,GK,Leganés,26,1989,13,13,1108,12.3,22,1.79,54,32,64.8,4,1,7,4,30.8,3,3,0,0,0.0
4,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,32,1984,9,8,771,8.6,6,0.70,34,28,82.4,5,2,1,5,62.5,0,0,0,0,
5,Markel Areitio,es  ESP,GK,Eibar,19,1996,1,0,47,0.5,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,
6,Kepa Arrizabalaga,es  ESP,GK,Athletic Club,21,1994,23,23,2015,22.4,22,0.98,67,45,67.2,14,2,6,7,30.4,0,0,0,0,
7,Sergio Asenjo,es  ESP,GK,Villarreal,27,1989,24,24,2104,23.4,15,0.64,89,74,84.3,10,9,4,11,45.8,2,1,1,0,50.0
8,Diego Barrios,es  ESP,GK,Leganés,22,1994,1,0,63,0.7,1,1.43,2,1,50.0,0,1,0,0,,0,0,0,0,
9,Rubén Blanco,es  ESP,GK,Celta Vigo,21,1995,11,11,990,11.0,15,1.36,53,38,81.1,5,3,3,2,18.2,5,5,0,0,0.0
10,Denys Boyko,ua  UKR,GK,Málaga,28,1988,3,3,270,3.0,7,2.33,11,4,36.4,0,2,1,0,0.0,0,0,0,0,
11,Claudio Bravo,cl  CHI,GK,Barcelona,33,1983,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,
12,Alberto Brignoli,it  ITA,GK,Leganés,24,1991,1,0,62,0.7,3,4.35,6,3,50.0,0,0,1,0,,0,0,0,0,
13,Kiko Casilla,es  ESP,GK,Real Madrid,29,1986,11,11,990,11.0,10,0.91,33,23,72.7,9,2,0,5,45.5,2,1,1,0,50.0
14,Nereo Champagne,ar  ARG,GK,Leganés,31,1985,4,4,360,4.0,4,1.00,16,12,75.0,0,3,1,1,25.0,0,0,0,0,
15,Jasper Cillessen,nl  NED,GK,Barcelona,27,1989,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
