,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
0,Issam El Adoua,ma  MAR,DF,Levante,27,1986,4,290,73,8.5,3.2,3,,3,1,,7,0.25,1,6,-5,-1.55,-0.75
1,Adriano,br  BRA,"DF,MF",Barcelona,29,1984,16,962,60,28.1,10.7,10,,9,6,,17,2.63,36,4,+32,+2.99,+0.91
2,Aritz Aduriz,es  ESP,FW,Athletic Club,33,1981,31,2579,83,75.4,28.7,30,,25,1,,0,1.61,38,30,+8,+0.28,+1.03
3,Imanol Agirretxe,es  ESP,FW,Real Sociedad,27,1987,31,1946,63,56.9,21.6,21,,12,10,,3,1.26,28,31,-3,-0.14,+0.11
4,Sergio Aguza,es  ESP,MF,Real Madrid,21,1992,0,,,,,0,,0,0,,2,,,,,,
5,Ager Aketxe,es  ESP,MF,Athletic Club,20,1993,8,299,37,8.7,3.3,3,,0,5,,3,2.13,10,1,+9,+2.71,+2.94
6,Jordi Alba,es  ESP,"DF,MF",Barcelona,25,1989,27,2329,86,68.1,25.9,27,,21,0,,6,2.42,70,15,+55,+2.13,-0.68
7,Edu Albácar,es  ESP,DF,Elche,34,1979,18,1436,80,42.0,16.0,16,,14,2,,12,1.06,13,28,-15,-0.94,-0.40
8,Raúl Albentosa,es  ESP,DF,Eibar,25,1988,17,1530,90,44.7,17.0,17,,16,0,,0,1.25,19,22,-3,-0.18,+0.68
9,Luis Alberto,es  ESP,"FW,MF",Málaga,21,1992,15,582,39,17.0,6.5,6,,0,9,,1,,,,,,
10,Paco Alcácer,es  ESP,FW,Valencia,20,1993,32,2155,67,63.0,23.9,26,,12,6,,0,2.00,46,17,+29,+1.21,+0.57
11,Diego Alende,es  ESP,DF,Celta Vigo,16,1997,0,,,,,0,,0,0,,1,,,,,,
12,Alexis,es  ESP,DF,Getafe,28,1985,29,2507,86,73.3,27.9,28,,25,1,,0,1.00,26,52,-26,-0.93,-0.44
13,Xabi Alonso,es  ESP,MF,Real Madrid,32,1981,0,,,,,0,,0,0,,1,,,,,,
14,Cristian Álvarez,ar  ARG,GK,Rayo Vallecano,28,1985,17,1440,85,42.1,16.0,16,,15,1,,10,1.35,22,33,-11,-0.69,-0.19
15,Sergio Álvarez,es  ESP,GK,Celta Vigo,27,1986,38,3350,88,98.0,37.2,38,,37,0,,0,1.34,44,42,+2,+0.05,-1.23
16,Víctor Álvarez,es  ESP,"DF,MF",Espanyol,21,1993,18,1224,68,35.8,13.6,15,,6,3,,17,1.47,17,21,-4,-0.29,-0.29
17,Dani Alves,br  BRA,"DF,MF",Barcelona,31,1983,30,2517,84,73.6,28.0,29,,23,1,,2,2.47,82,16,+66,+2.36,+0.07
18,Diego Alves,br  BRA,GK,Valencia,29,1985,37,3311,89,96.8,36.8,37,,37,0,,0,2.03,69,32,+37,+1.01,+0.18
19,Antonio Amaya,es  ESP,DF,Rayo Vallecano,31,1983,19,1587,84,46.4,17.6,19,,16,0,,4,1.42,22,31,-9,-0.51,+0.13
20,Nordin Amrabat,ma  MAR,"FW,MF",Málaga,27,1987,31,2048,66,59.9,22.8,20,,14,11,,0,1.23,27,32,-5,-0.22,-0.15
21,Florin Andone,ro  ROU,FW,Córdoba,21,1993,20,1519,76,44.4,16.9,17,,9,3,,4,0.45,11,34,-23,-1.36,-0.27
22,José Ángel Alonso,es  ESP,DF,Elche,25,1989,13,663,51,19.4,7.4,8,,5,5,,13,0.92,4,12,-8,-1.09,-0.47
23,José Ángel Crespo,es  ESP,DF,Córdoba,27,1987,27,2163,80,63.2,24.0,26,,22,1,,0,0.63,11,38,-27,-1.12,+0.24
24,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,30,1984,27,2430,90,71.1,27.0,27,,27,0,,8,2.07,51,23,+28,+1.04,+0.13
25,Marcos Angeleri,ar  ARG,DF,Málaga,31,1983,22,1880,85,55.0,20.9,21,,19,1,,12,1.32,23,27,-4,-0.19,-0.07
26,Txema Añibarro,es  ESP,"DF,MF",Eibar,35,1979,15,1146,76,33.5,12.7,12,,12,3,,10,0.57,5,20,-15,-1.18,-0.94
27,Cristian Ansaldi,ar  ARG,"DF,MF",Atlético Madrid,27,1986,7,578,83,16.9,6.4,6,,5,1,,11,2.17,13,4,+9,+1.40,+0.48
28,Ion Ansotegi,es  ESP,DF,Real Sociedad,32,1982,19,1710,90,50.0,19.0,19,,19,0,,5,1.37,23,23,0,0.00,+0.37
29,José Antonio Peral,es  ESP,DF,Elche,22,1992,0,,,,,0,,0,0,,1,,,,,,
30,José Antonio Reyes,es  ESP,MF,Sevilla,30,1983,19,1218,64,35.6,13.5,15,,6,4,,9,2.42,31,6,+25,+1.85,+1.81
31,Vitorino Antunes,pt  POR,DF,Málaga,27,1987,15,1319,88,38.6,14.7,15,,13,0,,1,1.87,19,14,+5,+0.34,+0.81
32,Javier Aquino,mx  MEX,MF,Rayo Vallecano,24,1990,24,1270,53,37.1,14.1,13,,4,11,,7,1.00,12,25,-13,-0.92,-0.54
33,Youssef El-Arabi,ma  MAR,FW,Granada,27,1987,28,1977,71,57.8,22.0,24,,13,4,,2,0.89,20,40,-20,-0.91,+0.03
34,Samu Araújo,es  ESP,DF,Celta Vigo,18,1995,0,,,,,0,,0,0,,3,,,,,,
35,Álvaro Arbeloa,es  ESP,DF,Real Madrid,31,1983,22,1121,51,32.8,12.5,12,,7,10,,10,2.64,44,12,+32,+2.57,+0.69
36,Anaitz Arbilla,es  ESP,DF,Espanyol,27,1987,28,2234,80,65.3,24.8,25,,24,3,,5,1.28,35,37,-2,-0.08,+0.07
37,Mario Arqués,es  ESP,MF,Elche,22,1992,1,6,6,0.2,0.1,0,,0,1,,0,0.00,0,0,0,0.00,+0.71
38,Alejandro Arribas,es  ESP,DF,Sevilla,25,1989,11,864,79,25.3,9.6,10,,8,1,,8,2.00,16,12,+4,+0.42,-0.36
39,Álvaro Arroyo,es  ESP,DF,Getafe,26,1988,12,891,74,26.1,9.9,10,,8,2,,15,0.58,6,18,-12,-1.21,-0.54
40,Mikel Arruabarrena,es  ESP,FW,Eibar,31,1983,34,2539,75,74.2,28.2,29,,16,5,,1,0.94,27,38,-11,-0.39,+0.63
41,Sergio Asenjo,es  ESP,GK,Villarreal,25,1989,34,3053,90,89.3,33.9,34,,33,0,,0,1.56,44,31,+13,+0.38,+0.87
42,Iago Aspas,es  ESP,"FW,MF",Sevilla,26,1987,16,461,29,13.5,5.1,4,,1,12,,11,1.94,12,7,+5,+0.98,+0.34
43,Pedro Astray,es  ESP,MF,Getafe,22,1992,0,,,,,0,,0,0,,6,,,,,,
44,Filipe Augusto,br  BRA,MF,Valencia,20,1993,6,149,25,4.4,1.7,1,,0,5,,21,1.67,0,3,-3,-1.81,-2.94
45,Jon Aurtenetxe,es  ESP,DF,Athletic Club,22,1992,4,287,72,8.4,3.2,3,,2,1,,8,1.50,7,4,+3,+0.94,+1.00
46,Ramon Azeez,ng  NGA,MF,Almería,21,1992,14,846,60,24.7,9.4,10,,6,4,,17,1.00,8,17,-9,-0.96,-0.26
47,Abdoulaye Ba,sn  SEN,DF,Rayo Vallecano,23,1991,20,1609,80,47.0,17.9,20,,15,0,,4,1.30,20,31,-11,-0.62,-0.07
48,Jean-Sylvain Babin,mq  MTQ,DF,Granada,27,1986,34,3030,89,88.6,33.7,34,,33,0,,2,1.00,26,52,-26,-0.77,+1.30
49,Carlos Bacca,co  COL,FW,Sevilla,27,1986,37,2536,69,74.2,28.2,31,,7,6,,0,1.97,49,33,+16,+0.57,-0.45
50,Raúl Baena,es  ESP,MF,Rayo Vallecano,25,1989,28,2330,83,68.1,25.9,28,,20,0,,1,1.39,34,39,-5,-0.19,+1.21
51,Gareth Bale,wal  WAL,"FW,MF",Real Madrid,25,1989,31,2573,83,75.2,28.6,30,,23,1,,2,2.29,81,27,+54,+1.89,-0.87
52,Mikel Balenziaga,es  ESP,DF,Athletic Club,26,1988,33,2917,88,85.3,32.4,33,,30,0,,0,1.45,35,34,+1,+0.03,+0.03
