,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
65,Celso Borges,cr  CRC,"FW,MF",La Coruña,26,1988,16.3,6,0,,30,,,,,,,,
66,Iago Bouzón,es  ESP,DF,Córdoba,31,1983,2.5,2,0,,7,,,,,,,,
67,Eneko Bóveda,es  ESP,DF,Eibar,25,1988,34.8,5,0,,34,,,,,,,,
68,Claudio Bravo,cl  CHI,GK,Barcelona,31,1983,37.0,1,0,,0,,,,,,,,
69,Emi Buendía,ar  ARG,"FW,MF",Getafe,17,1996,1.5,1,0,,1,,,,,,,,
70,Alberto Bueno,es  ESP,"FW,MF",Rayo Vallecano,26,1988,31.8,4,0,,18,,,,,,,,
71,Sergio Busquets,es  ESP,MF,Barcelona,26,1988,27.5,7,0,,24,,,,,,,,
72,Unai Bustinza,es  ESP,DF,Athletic Club,22,1992,1.1,1,1,,4,,,,,,,,
73,Edu Caballer,es  ESP,DF,Córdoba,32,1981,12.1,5,1,,15,,,,,,,,
74,Carlos Caballero,es  ESP,MF,Córdoba,29,1984,0.1,0,0,,0,,,,,,,,
75,Gustavo Cabral,ar  ARG,DF,Celta Vigo,28,1985,34.2,9,1,,34,,,,,,,,
76,Felipe Caicedo,ec  ECU,"FW,MF",Espanyol,25,1988,21.0,2,0,,52,,,,,,,,
77,Cala,es  ESP,DF,Granada,24,1989,5.7,2,0,,14,,,,,,,,
78,Ignacio Camacho,es  ESP,MF,Málaga,24,1990,24.5,11,0,,52,,,,,,,,
79,Víctor Camarasa,es  ESP,MF,Levante,20,1994,20.1,6,0,,32,,,,,,,,
80,Joel Campbell,cr  CRC,"FW,MF",Villarreal,22,1992,13.3,1,0,,14,,,,,,,,
81,Sergio Canales,es  ESP,"FW,MF",Real Sociedad,23,1991,28.1,3,0,,24,,,,,,,,
82,José Cañas,es  ESP,MF,Espanyol,27,1987,24.6,12,1,,50,,,,,,,,
83,João Cancelo,pt  POR,"DF,MF",Valencia,20,1994,5.8,2,1,,13,,,,,,,,
84,Daniel Candeias,pt  POR,"FW,MF",Granada,26,1988,5.9,1,0,,7,,,,,,,,
85,Roberto Canella,es  ESP,DF,La Coruña,26,1988,5.0,0,0,,4,,,,,,,,
