,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
261,Licá,pt  POR,"FW,MF",Rayo Vallecano,25,1988,14.4,2,0,,10,,,,,,,,
262,Lillo,es  ESP,DF,Eibar,25,1989,28.2,14,0,,41,,,,,,,,
263,David Lombán,es  ESP,DF,Elche,27,1987,33.2,10,0,,34,,,,,,,,
264,Aritz López Garai,es  ESP,MF,Córdoba,33,1980,4.2,1,0,,10,,,,,,,,
265,Pedro López Muñoz,es  ESP,DF,Levante,30,1983,9.6,3,0,,13,,,,,,,,
266,José López Silva,es  ESP,MF,Córdoba,31,1983,3.9,1,0,,4,,,,,,,,
267,Álex López,es  ESP,MF,Celta Vigo,26,1988,12.5,5,0,,23,,,,,,,,
268,David López,es  ESP,"DF,MF",Espanyol,24,1989,1.0,0,0,,0,,,,,,,,
269,Íñigo López,es  ESP,DF,Córdoba,32,1982,19.9,8,2,,12,,,,,,,,
270,Iván López,es  ESP,DF,Levante,20,1993,23.2,2,0,,18,,,,,,,,
271,Javi López,es  ESP,"DF,MF",Espanyol,28,1986,24.2,8,0,,38,,,,,,,,
272,Jonathan López,es  ESP,GK,Getafe,33,1981,4.0,0,0,,0,,,,,,,,
273,Pau López,es  ESP,GK,Espanyol,19,1994,1.6,0,0,,0,,,,,,,,
274,Unai López,es  ESP,MF,Athletic Club,18,1995,9.2,2,0,,13,,,,,,,,
275,Alberto Lopo,es  ESP,DF,La Coruña,34,1980,29.7,15,1,,59,,,,,,,,
276,José Luis Gayà,es  ESP,"DF,MF",Valencia,19,1995,32.4,10,0,,57,,,,,,,,
277,José Luis Morales,es  ESP,"FW,MF",Levante,27,1987,30.9,3,0,,21,,,,,,,,
278,Luisinho,pt  POR,DF,La Coruña,29,1985,33.2,11,1,,46,,,,,,,,
279,Luismi,es  ESP,"DF,MF",Sevilla,22,1992,0.1,1,0,,1,,,,,,,,
280,Julián Luque Conde,es  ESP,"FW,MF",Espanyol,22,1992,0.3,0,0,,0,,,,,,,,
281,Luso,es  ESP,"DF,MF",Córdoba,29,1984,15.5,4,0,,31,,,,,,,,
282,Germán Lux,ar  ARG,GK,La Coruña,32,1982,7.0,1,0,,0,,,,,,,,
283,Darwin Machís,ve  VEN,"FW,MF",Granada,21,1993,2.5,1,0,,9,,,,,,,,
284,Lévy Madinda,ga  GAB,MF,Celta Vigo,22,1992,0.7,1,0,,4,,,,,,,,
285,Diego Mainz,es  ESP,DF,Granada,31,1982,19.2,3,0,,13,,,,,,,,
286,Hugo Mallo,es  ESP,DF,Celta Vigo,23,1991,25.9,6,0,,51,,,,,,,,
