,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Cristian Álvarez,ar  ARG,GK,Rayo Vallecano,28,1985,17,16,1440,16.0,33,2.06,78,45,57.7,6,2,8,4,25.0,,,,,
1,Sergio Álvarez,es  ESP,GK,Celta Vigo,27,1986,38,38,3350,37.2,42,1.13,146,104,71.2,12,12,13,11,28.9,,,,,
2,Diego Alves,br  BRA,GK,Valencia,29,1985,37,37,3311,36.8,29,0.79,119,90,75.6,22,10,4,13,35.1,,,,,
3,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,30,1984,27,27,2430,27.0,23,0.85,71,48,67.6,17,5,5,12,44.4,,,,,
4,Sergio Asenjo,es  ESP,GK,Villarreal,25,1989,34,34,3053,33.9,31,0.91,123,92,74.8,14,11,8,15,44.1,,,,,
5,Mariano Barbosa,ar  ARG,GK,Sevilla,30,1984,2,1,164,1.8,2,1.10,3,1,33.3,1,1,0,0,0.0,,,,,
6,Beto,pt  POR,GK,Sevilla,32,1982,18,18,1444,16.0,19,1.18,58,39,67.2,10,3,5,8,44.4,,,,,
7,Rubén Blanco,es  ESP,GK,Celta Vigo,19,1995,1,0,70,0.8,2,2.57,2,0,0.0,1,0,0,0,,,,,,
8,Claudio Bravo,cl  CHI,GK,Barcelona,31,1983,37,37,3330,37.0,19,0.51,89,70,78.7,30,3,4,23,62.2,,,,,
9,Kiko Casilla,es  ESP,GK,Espanyol,27,1986,37,37,3280,36.4,48,1.32,160,112,70.0,13,10,13,13,35.1,,,,,
10,Iker Casillas,es  ESP,GK,Real Madrid,33,1981,32,32,2880,32.0,35,1.09,118,83,70.3,24,2,6,12,37.5,,,,,
11,David Cobeño,es  ESP,GK,Rayo Vallecano,32,1982,3,2,246,2.7,5,1.83,13,8,61.5,1,0,2,1,50.0,,,,,
12,Jordi Codina,es  ESP,GK,Getafe,32,1982,5,5,450,5.0,14,2.80,35,21,60.0,1,0,4,0,0.0,,,,,
