,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
0,Issam El Adoua,ma  MAR,DF,Levante,27,1986,4,3,290,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
1,Adriano,br  BRA,"DF,MF",Barcelona,29,1984,16,10,962,10.7,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09
2,Aritz Aduriz,es  ESP,FW,Athletic Club,33,1981,31,30,2579,28.7,18,3,13,5,5,12,0,0.63,0.10,0.73,0.45,0.56
3,Imanol Agirretxe,es  ESP,FW,Real Sociedad,27,1987,31,21,1946,21.6,7,1,7,0,0,2,0,0.32,0.05,0.37,0.32,0.37
4,Ager Aketxe,es  ESP,MF,Athletic Club,20,1993,8,3,299,3.3,1,1,1,0,0,1,0,0.30,0.30,0.60,0.30,0.60
5,Jordi Alba,es  ESP,"DF,MF",Barcelona,25,1989,27,27,2329,25.9,1,3,1,0,0,7,1,0.04,0.12,0.15,0.04,0.15
6,Edu Albácar,es  ESP,DF,Elche,34,1979,18,16,1436,16.0,3,3,2,1,1,7,0,0.19,0.19,0.38,0.13,0.31
7,Raúl Albentosa,es  ESP,DF,Eibar,25,1988,17,17,1530,17.0,2,2,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24
8,Luis Alberto,es  ESP,"FW,MF",Málaga,21,1992,15,6,582,6.5,2,1,2,0,1,0,0,0.31,0.15,0.46,0.31,0.46
9,Paco Alcácer,es  ESP,FW,Valencia,20,1993,32,26,2155,23.9,11,5,11,0,0,2,1,0.46,0.21,0.67,0.46,0.67
10,Alexis,es  ESP,DF,Getafe,28,1985,29,28,2507,27.9,1,1,1,0,0,13,1,0.04,0.04,0.07,0.04,0.07
11,Cristian Álvarez,ar  ARG,GK,Rayo Vallecano,28,1985,17,16,1440,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
12,Sergio Álvarez,es  ESP,GK,Celta Vigo,27,1986,38,38,3350,37.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
13,Víctor Álvarez,es  ESP,"DF,MF",Espanyol,21,1993,18,15,1224,13.6,0,2,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15
14,Dani Alves,br  BRA,"DF,MF",Barcelona,31,1983,30,29,2517,28.0,0,6,0,0,0,6,1,0.00,0.21,0.21,0.00,0.21
15,Diego Alves,br  BRA,GK,Valencia,29,1985,37,37,3311,36.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
16,Antonio Amaya,es  ESP,DF,Rayo Vallecano,31,1983,19,19,1587,17.6,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06
17,Nordin Amrabat,ma  MAR,"FW,MF",Málaga,27,1987,31,20,2048,22.8,6,4,3,3,4,7,0,0.26,0.18,0.44,0.13,0.31
18,Florin Andone,ro  ROU,FW,Córdoba,21,1993,20,17,1519,16.9,5,0,5,0,0,5,0,0.30,0.00,0.30,0.30,0.30
19,José Ángel Alonso,es  ESP,DF,Elche,25,1989,13,8,663,7.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
20,José Ángel Crespo,es  ESP,DF,Córdoba,27,1987,27,26,2163,24.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
21,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,30,1984,27,27,2430,27.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
22,Marcos Angeleri,ar  ARG,DF,Málaga,31,1983,22,21,1880,20.9,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00
23,Txema Añibarro,es  ESP,"DF,MF",Eibar,35,1979,15,12,1146,12.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
24,Cristian Ansaldi,ar  ARG,"DF,MF",Atlético Madrid,27,1986,7,6,578,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
25,Ion Ansotegi,es  ESP,DF,Real Sociedad,32,1982,19,19,1710,19.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
26,José Antonio Reyes,es  ESP,MF,Sevilla,30,1983,19,15,1218,13.5,3,4,3,0,0,5,0,0.22,0.30,0.52,0.22,0.52
27,Vitorino Antunes,pt  POR,DF,Málaga,27,1987,15,15,1319,14.7,0,2,0,0,0,1,1,0.00,0.14,0.14,0.00,0.14
28,Javier Aquino,mx  MEX,MF,Rayo Vallecano,24,1990,24,13,1270,14.1,0,2,0,0,0,2,2,0.00,0.14,0.14,0.00,0.14
29,Youssef El-Arabi,ma  MAR,FW,Granada,27,1987,28,24,1977,22.0,8,2,4,4,4,4,1,0.36,0.09,0.46,0.18,0.27
30,Álvaro Arbeloa,es  ESP,DF,Real Madrid,31,1983,22,12,1121,12.5,1,4,1,0,0,7,0,0.08,0.32,0.40,0.08,0.40
31,Anaitz Arbilla,es  ESP,DF,Espanyol,27,1987,28,25,2234,24.8,1,1,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08
32,Mario Arqués,es  ESP,MF,Elche,22,1992,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
33,Alejandro Arribas,es  ESP,DF,Sevilla,25,1989,11,10,864,9.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
34,Álvaro Arroyo,es  ESP,DF,Getafe,26,1988,12,10,891,9.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
35,Mikel Arruabarrena,es  ESP,FW,Eibar,31,1983,34,29,2539,28.2,9,3,7,2,2,10,0,0.32,0.11,0.43,0.25,0.35
36,Sergio Asenjo,es  ESP,GK,Villarreal,25,1989,34,34,3053,33.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
37,Iago Aspas,es  ESP,"FW,MF",Sevilla,26,1987,16,4,461,5.1,2,1,2,0,0,2,0,0.39,0.20,0.59,0.39,0.59
38,Filipe Augusto,br  BRA,MF,Valencia,20,1993,6,1,149,1.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
39,Jon Aurtenetxe,es  ESP,DF,Athletic Club,22,1992,4,3,287,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
40,Ramon Azeez,ng  NGA,MF,Almería,21,1992,14,10,846,9.4,0,1,0,0,0,2,1,0.00,0.11,0.11,0.00,0.11
41,Abdoulaye Ba,sn  SEN,DF,Rayo Vallecano,23,1991,20,20,1609,17.9,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00
42,Jean-Sylvain Babin,mq  MTQ,DF,Granada,27,1986,34,34,3030,33.7,1,0,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03
43,Carlos Bacca,co  COL,FW,Sevilla,27,1986,37,31,2536,28.2,20,6,14,6,8,4,0,0.71,0.21,0.92,0.50,0.71
44,Raúl Baena,es  ESP,MF,Rayo Vallecano,25,1989,28,28,2330,25.9,2,0,2,0,0,14,1,0.08,0.00,0.08,0.08,0.08
45,Gareth Bale,wal  WAL,"FW,MF",Real Madrid,25,1989,31,30,2573,28.6,13,9,12,1,1,2,0,0.45,0.31,0.77,0.42,0.73
46,Mikel Balenziaga,es  ESP,DF,Athletic Club,26,1988,33,33,2917,32.4,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00
