Player,Position,Minute90,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
Keylor Navas,GK,20.5,554,478,86.3,12471,7192,216,142,65.7,242,241,99.6,92,92,100.0,1,0,0,0,0
Kylian Mbappé,FW,19.9,791,622,78.6,8498,1412,43,24,55.8,213,184,86.4,473,390,82.5,25,27,28,5,42
Marquinhos,DF,17.6,1296,1207,93.1,24346,7731,230,190,82.6,582,553,95.0,472,454,96.2,1,102,5,0,66
Presnel Kimpembe,DF,17.6,1352,1290,95.4,23743,7627,153,134,87.6,613,592,96.6,561,548,97.7,3,89,3,0,58
Ángel Di María,"FW,MF",15.6,906,673,74.3,12133,4239,178,98,55.1,304,225,74.0,375,335,89.3,50,68,56,12,94
Idrissa Gana Gueye,MF,14.6,1456,1354,93.0,22587,5876,120,98,81.7,601,569,94.7,686,654,95.3,11,150,12,1,106
Moise Kean,FW,14.4,225,177,78.7,2351,395,14,11,78.6,53,39,73.6,128,107,83.6,5,5,7,0,17
Mitchel Bakker,DF,15.2,1076,956,88.8,14240,4013,72,41,56.9,361,319,88.4,615,584,95.0,13,59,21,11,54
Alessandro Florenzi,DF,14.2,824,677,82.2,11674,3139,125,71,56.8,297,244,82.2,379,349,92.1,19,32,23,17,51
Marco Verratti,MF,14.0,1587,1465,92.3,23528,6877,158,114,72.2,561,530,94.5,818,787,96.2,17,160,30,2,118
Layvin Kurzawa,DF,12.9,887,779,87.8,12083,3919,78,48,61.5,322,282,87.6,457,430,94.1,11,33,15,6,46
Abdou Diallo,DF,12.5,922,862,93.5,16694,6037,134,109,81.3,433,420,97.0,341,326,95.6,1,54,1,0,59
Leandro Paredes,MF,11.3,1184,1071,90.5,20322,5819,155,122,78.7,537,497,92.6,468,440,94.0,6,130,10,1,100
Ander Herrera,MF,14.4,1233,1111,90.1,17938,4582,119,84,70.6,440,399,90.7,639,605,94.7,18,109,13,2,86
Rafinha,MF,11.7,918,822,89.5,13773,2941,102,84,82.4,324,296,91.4,458,424,92.6,19,70,14,1,66
Thilo Kehrer,DF,12.5,931,869,93.3,15028,4673,70,56,80.0,450,431,95.8,396,373,94.2,2,35,3,1,37
Colin Dagba,DF,11.5,731,649,88.8,9413,2489,39,23,59.0,253,228,90.1,413,386,93.5,11,25,12,4,29
Mauro Icardi,FW,10.3,138,109,79.0,1478,297,7,6,85.7,39,26,66.7,77,67,87.0,13,8,2,0,8
Pablo Sarabia,"FW,MF",11.4,497,385,77.5,6182,1881,60,35,58.3,147,114,77.6,265,227,85.7,25,25,23,11,45
Neymar,"FW,MF",9.6,612,469,76.6,7753,2880,94,47,50.0,199,157,78.9,293,256,87.4,27,66,38,4,88
Danilo Pereira,"MF,DF",9.0,700,645,92.1,12392,3087,97,82,84.5,332,312,94.0,255,242,94.9,2,46,1,1,30
Julian Draxler,"MF,FW",9.0,486,417,85.8,7100,1575,55,40,72.7,183,160,87.4,234,209,89.3,23,27,16,2,40
Sergio Rico,GK,7.5,184,169,91.8,3673,2181,43,28,65.1,91,91,100.0,49,49,100.0,0,0,0,0,0
Timothee Pembele,DF,4.2,256,232,90.6,3632,886,19,14,73.7,95,91,95.8,133,123,92.5,2,13,2,1,8
Juan Bernat,DF,2.2,129,117,90.7,1680,523,6,4,66.7,42,37,88.1,77,76,98.7,2,4,5,0,8
Kays Ruiz,"FW,MF",2.1,181,159,87.8,2273,523,13,10,76.9,47,40,85.1,110,100,90.9,0,13,3,0,14
Marcin Bułka,GK,1.0,30,25,83.3,532,329,7,3,42.9,19,18,94.7,4,4,100.0,0,0,0,0,0
Arnaud Kalimuendo,FW,0.8,22,20,90.9,209,18,0,0,,4,4,100.0,16,15,93.8,1,0,1,0,1
Bandiougou Fadiga,"FW,MF",0.7,34,33,97.1,475,99,2,2,100.0,10,9,90.0,22,22,100.0,0,3,1,1,1
Jesé,FW,0.3,8,4,50.0,35,4,0,0,,1,1,100.0,5,3,60.0,0,1,0,0,0
Edouard Michut,MF,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0
