,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2018-08-12,Sun,DFL-Supercup,DFL-Supercup,Away,W 5–0,Bayern Munich,Eint Frankfurt,Y*,GK,90,1,0,1,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
1,2018-08-18,Sat,DFB-Pokal,First round,Away,W 1–0,Bayern Munich,Drochtersen/A,Y*,GK,90,1,0,1,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2,2018-08-24,Fri,Bundesliga,Matchweek 1,Home,W 3–1,Bayern Munich,Hoffenheim,Y*,GK,90,5,1,4,80.0,0,1.5,0,0,0,0,6,9,66.7,41,7,22.0,28.2,0,,,4,0,0.0,2,22.1,Match Report
3,2018-09-01,Sat,Bundesliga,Matchweek 2,Away,W 3–0,Bayern Munich,Stuttgart,Y*,GK,90,0,0,0,,1,0.0,0,0,0,0,3,4,75.0,22,1,18.2,26.7,1,0.0,28.0,4,0,0.0,1,15.7,Match Report
4,2018-09-06,Thu,UEFA Nations League,League A,Home,D 0–0,de  Germany,fr  France,Y*,GK,90,,0,,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
5,2018-09-09,Sun,Friendlies (M),Friendlies (M),Home,W 2–1,de  Germany,pe  Peru,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
6,2018-09-15,Sat,Bundesliga,Matchweek 3,Home,W 3–1,Bayern Munich,Leverkusen,Y*,GK,90,0,1,0,,0,1.0,1,1,0,0,1,2,50.0,16,3,6.3,22.3,3,33.3,37.0,3,0,0.0,0,10.0,Match Report
7,2018-09-19,Wed,Champions Lg,Group stage,Away,W 2–0,de  Bayern Munich,pt  Benfica,Y*,GK,90,4,0,4,100.0,1,1.0,0,0,0,0,9,22,40.9,49,4,32.7,32.0,11,54.5,42.9,9,0,0.0,0,23.0,Match Report
8,2018-09-22,Sat,Bundesliga,Matchweek 4,Away,W 2–0,Bayern Munich,Schalke 04,Y*,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,6,9,66.7,35,7,25.7,32.5,6,0.0,29.2,5,0,0.0,1,13.3,Match Report
9,2018-09-25,Tue,Bundesliga,Matchweek 5,Home,D 1–1,Bayern Munich,Augsburg,Y*,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,14,20,70.0,63,10,30.2,32.4,7,14.3,28.7,8,1,12.5,2,19.9,Match Report
