,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,João Félix,7.0,pt  POR,FW,21-011,83,42,46,91.3,539,135,31,33,93.9,7,8,87.5,2,2,100.0,0,0.0,0,3,1,0,2
1,Thomas Lemar,11.0,fr  FRA,FW,25-009,7,7,8,87.5,105,56,3,3,100.0,1,1,100.0,1,2,50.0,0,0.0,0,0,1,0,1
2,Ángel Correa,10.0,ar  ARG,FW,25-257,83,26,31,83.9,398,74,17,17,100.0,6,7,85.7,3,4,75.0,1,0.6,3,0,2,0,2
3,Geoffrey Kondogbia,4.0,cf  CTA,CM,27-280,7,5,6,83.3,72,7,4,5,80.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
4,Saúl Ñíguez,8.0,es  ESP,CM,26-000,90,51,56,91.1,788,165,28,33,84.8,17,17,100.0,4,4,100.0,0,0.0,0,5,0,0,2
5,Marcos Llorente,14.0,es  ESP,CM,25-296,72,25,31,80.6,346,61,17,19,89.5,7,8,87.5,0,1,0.0,0,0.0,0,1,1,0,1
6,Diego Costa,19.0,es  ESP,"CM,FW",32-045,18,15,20,75.0,219,28,10,14,71.4,5,5,100.0,0,0,,0,0.0,1,0,1,0,1
7,Koke,6.0,es  ESP,DM,28-318,90,67,78,85.9,1306,434,26,28,92.9,33,36,91.7,8,13,61.5,0,0.1,3,9,2,0,8
8,Yannick Carrasco,21.0,be  BEL,WB,27-078,89,36,43,83.7,507,98,23,26,88.5,12,14,85.7,1,3,33.3,0,0.0,1,1,0,0,1
9,Felipe,18.0,br  BRA,WB,31-189,1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0,0,0,0,0
10,Kieran Trippier,23.0,eng  ENG,WB,30-063,90,58,68,85.3,1123,345,22,22,100.0,27,30,90.0,7,14,50.0,0,0.1,1,4,4,1,6
11,Mario Hermoso,22.0,es  ESP,CB,25-156,90,51,67,76.1,1125,522,17,20,85.0,25,30,83.3,9,14,64.3,0,0.0,0,5,1,0,6
12,José María Giménez,2.0,uy  URU,CB,25-306,90,32,35,91.4,802,198,5,5,100.0,20,21,95.2,7,9,77.8,0,0.0,0,4,0,0,2
13,Stefan Savić,15.0,me  MNE,CB,29-318,90,48,52,92.3,1049,390,13,13,100.0,25,26,96.2,9,12,75.0,0,0.0,0,10,1,0,6
14,Jan Oblak,13.0,si  SVN,GK,27-319,90,14,28,50.0,638,483,1,1,100.0,2,3,66.7,11,24,45.8,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,477,570,83.7,9017,2996,217,239,90.8,188,208,90.4,62,102,60.8,1,0.8,9,42,14,1,38
