,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,12,Marcos Llorente,Atlético Madrid,Woodwork,13.0,Right Foot,,Ángel Correa,Pass (Live),Kieran Trippier,Pass (Live)
1,,,,,,,,,,,
2,57,Pedri,Barcelona,Blocked,19.0,Right Foot,,Jordi Alba,Pass (Live),Frenkie de Jong,Pass (Live)
3,65,Ousmane Dembélé,Barcelona,Off Target,21.0,Left Foot,,Miralem Pjanić,Pass (Live),Lionel Messi,Pass (Live)
4,67,Miralem Pjanić,Barcelona,Off Target,33.0,Right Foot,,Lionel Messi,Pass (Live),Antoine Griezmann,Pass (Live)
5,69,João Félix,Atlético Madrid,Blocked,26.0,Right Foot,,Ángel Correa,Pass (Live),Koke,Pass (Live)
6,83,Ángel Correa,Atlético Madrid,Blocked,27.0,Right Foot,,Diego Costa,Pass (Live),Koke,Pass (Live)
7,87,Francisco Trincão,Barcelona,Off Target,26.0,Left Foot,,Sergi Roberto,Pass (Live),Francisco Trincão,Pass (Live)
8,88,Martin Braithwaite,Barcelona,Blocked,21.0,Right Foot,Half volley,,,,
9,89,Sergi Roberto,Barcelona,Blocked,32.0,Right Foot,,Ousmane Dembélé,Pass (Live),Lionel Messi,Pass (Live)
