,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Antoine Griezmann,7.0,fr  FRA,FW,29-245,82,21,23,91.3,338,19,11,12,91.7,8,9,88.9,1,1,100.0,0,0.0,0,1,0,0,0
1,Francisco Trincão,17.0,pt  POR,"RM,FW",20-328,8,2,2,100.0,27,0,2,2,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0
2,Pedri,16.0,es  ESP,LW,17-362,56,19,22,86.4,290,5,10,12,83.3,7,7,100.0,1,2,50.0,0,0.0,0,0,0,0,0
3,Philippe Coutinho,14.0,br  BRA,"LW,CM",28-162,34,12,20,60.0,197,26,5,8,62.5,7,8,87.5,0,3,0.0,0,0.0,0,1,0,0,1
4,Ousmane Dembélé,11.0,fr  FRA,"RW,LM",23-190,90,39,47,83.0,660,82,23,25,92.0,10,12,83.3,6,7,85.7,0,0.2,3,0,2,1,1
5,Lionel Messi,10.0,ar  ARG,"AM,CM",33-150,90,40,56,71.4,769,293,18,21,85.7,14,21,66.7,7,11,63.6,0,0.4,3,6,4,2,7
6,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-193,90,71,77,92.2,1441,319,28,29,96.6,30,33,90.9,12,13,92.3,0,0.0,0,5,1,0,2
7,Miralem Pjanić,8.0,ba  BIH,DM,30-233,82,63,72,87.5,1039,204,27,32,84.4,33,35,94.3,2,3,66.7,0,0.1,1,2,1,0,5
8,Martin Braithwaite,9.0,dk  DEN,"FW,DM",29-169,8,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0,0,0,0,0
9,Jordi Alba,18.0,es  ESP,LB,31-245,90,77,86,89.5,1387,357,38,39,97.4,29,33,87.9,10,13,76.9,0,0.4,3,5,3,1,5
10,Clément Lenglet,15.0,fr  FRA,CB,25-157,90,60,65,92.3,1000,382,30,32,93.8,22,23,95.7,7,9,77.8,0,0.0,0,6,0,0,2
11,Gerard Piqué,3.0,es  ESP,CB,33-293,61,57,60,95.0,1203,283,15,15,100.0,33,34,97.1,7,8,87.5,0,0.0,0,3,0,0,1
12,Sergiño Dest,2.0,us  USA,RB,20-018,29,16,17,94.1,203,112,13,14,92.9,3,3,100.0,0,0,,0,0.0,0,0,0,0,1
13,Sergi Roberto,20.0,es  ESP,"RB,DM",28-288,90,74,81,91.4,1070,269,41,45,91.1,31,33,93.9,0,1,0.0,0,0.0,1,14,0,0,6
14,Marc-André ter Stegen,1.0,de  GER,GK,28-205,90,21,22,95.5,546,312,4,4,100.0,10,10,100.0,6,7,85.7,0,0.0,0,1,0,0,1
15,15 Players,,,,,990,572,651,87.9,10170,2663,265,290,91.4,237,262,90.5,59,78,75.6,0,1.1,11,44,11,4,32
