,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,João Félix,7.0,pt  POR,FW,21-011,83,54,1,5,26,24,2,54,2,4,50.0,2,1,45,215,100,5,1,0,0,2,59,47,79.7,6
1,Thomas Lemar,11.0,fr  FRA,FW,25-009,7,9,1,3,1,5,0,6,0,0,,0,0,5,31,9,1,0,0,1,0,6,4,66.7,2
2,Ángel Correa,10.0,ar  ARG,FW,25-257,83,41,1,7,14,22,3,39,1,2,50.0,1,0,28,108,63,5,1,1,2,3,43,28,65.1,7
3,Geoffrey Kondogbia,4.0,cf  CTA,CM,27-280,7,8,2,5,3,0,0,8,0,0,,0,0,5,9,0,0,0,0,0,0,4,4,100.0,0
4,Saúl Ñíguez,8.0,es  ESP,CM,26-000,90,69,5,15,38,17,5,69,1,1,100.0,1,0,37,180,77,4,1,1,0,1,63,52,82.5,5
5,Marcos Llorente,14.0,es  ESP,CM,25-296,72,38,0,8,16,15,6,38,0,0,,0,0,28,209,106,4,0,0,0,1,32,30,93.8,7
6,Diego Costa,19.0,es  ESP,"CM,FW",32-045,18,28,1,2,15,14,4,28,0,0,,0,0,19,52,31,2,1,1,3,4,29,25,86.2,4
7,Koke,6.0,es  ESP,DM,28-318,90,82,2,12,47,26,1,74,1,1,100.0,1,1,59,277,132,7,0,0,1,1,67,63,94.0,1
8,Yannick Carrasco,21.0,be  BEL,WB,27-078,89,55,4,17,22,19,4,53,4,5,80.0,4,2,47,241,156,8,2,2,2,0,47,36,76.6,3
9,Felipe,18.0,br  BRA,WB,31-189,1,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0
10,Kieran Trippier,23.0,eng  ENG,WB,30-063,90,80,5,20,27,38,2,73,1,2,50.0,1,1,52,217,113,2,2,0,1,0,62,56,90.3,3
11,Mario Hermoso,22.0,es  ESP,CB,25-156,90,74,11,33,37,4,1,64,1,1,100.0,1,0,32,132,33,0,0,0,1,0,53,50,94.3,0
12,José María Giménez,2.0,uy  URU,CB,25-306,90,42,4,20,22,2,2,42,0,0,,0,0,27,127,39,2,0,0,0,0,30,29,96.7,0
13,Stefan Savić,15.0,me  MNE,CB,29-318,90,56,4,18,39,2,1,56,0,0,,0,0,37,136,82,2,0,0,0,0,41,40,97.6,0
14,Jan Oblak,13.0,si  SVN,GK,27-319,90,28,27,28,0,0,0,18,0,0,,0,0,10,39,11,0,0,0,0,0,12,12,100.0,0
15,15 Players,,,,,990,665,68,193,308,188,31,623,11,16,68.8,11,5,431,1973,952,42,8,5,11,12,549,477,86.9,38
