,Possession_Atlético Madrid,Possession_Barcelona
0,47%,53%
1,Passing Accuracy,Passing Accuracy
2,477 of 570 —  84%,88%  — 572 of 651
3,Shots on Target,Shots on Target
4,2 of 10 —  20%,31%  — 4 of 13
5,Saves,Saves
6,4 of 4 —  100%,50%  — 1 of 2
7,Cards,Cards
8,,
