,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Antoine Griezmann,7.0,fr  FRA,FW,29-245,82,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,100.0
1,Francisco Trincão,17.0,pt  POR,"RM,FW",20-328,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Pedri,16.0,es  ESP,LW,17-362,56,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0.0
3,Philippe Coutinho,14.0,br  BRA,"LW,CM",28-162,34,0,0,0,2,1,0,0,1,0,0,0,0,1,0,2,0.0
4,Ousmane Dembélé,11.0,fr  FRA,"RW,LM",23-190,90,0,0,0,0,3,1,3,2,0,0,0,0,10,0,3,0.0
5,Lionel Messi,10.0,ar  ARG,"AM,CM",33-150,90,0,0,0,0,3,0,3,0,0,0,0,0,2,1,0,100.0
6,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-193,90,0,0,0,0,1,0,0,2,3,0,0,0,8,1,0,100.0
7,Miralem Pjanić,8.0,ba  BIH,DM,30-233,82,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,100.0
8,Martin Braithwaite,9.0,dk  DEN,"FW,DM",29-169,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
9,Jordi Alba,18.0,es  ESP,LB,31-245,90,0,0,0,0,0,0,3,0,1,0,0,0,9,1,1,50.0
10,Clément Lenglet,15.0,fr  FRA,CB,25-157,90,0,0,0,1,2,0,0,3,1,0,0,0,10,4,1,80.0
11,Gerard Piqué,3.0,es  ESP,CB,33-293,61,0,0,0,0,1,0,0,1,2,0,0,0,6,2,0,100.0
12,Sergiño Dest,2.0,us  USA,RB,20-018,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
13,Sergi Roberto,20.0,es  ESP,"RB,DM",28-288,90,0,0,0,2,2,0,0,3,1,0,0,0,10,2,3,40.0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-205,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
15,15 Players,,,,,990,0,0,0,6,13,2,9,13,10,0,0,0,72,14,12,53.8
