,Atlético Madrid (3-5-2),Atlético Madrid (3-5-2).1
0,13,Jan Oblak
1,2,José María Giménez
2,6,Koke
3,7,João Félix
4,8,Saúl Ñíguez
5,10,Ángel Correa
6,14,Marcos Llorente
7,15,Stefan Savić
8,21,Yannick Carrasco
9,22,Mario Hermoso
10,23,Kieran Trippier
11,Bench,Bench
12,1,Ivo Grbić
13,4,Geoffrey Kondogbia
14,11,Thomas Lemar
15,12,Renan Lodi
16,17,Ivan Šaponjić
17,18,Felipe
18,19,Diego Costa
19,20,Vitolo
20,27,Sergio Camello
21,29,Ricard
22,34,Toni Moya
