,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-13,21:00,La Liga,Matchweek 1,Fri,Away,L,0,1,Valencia,1.4,1.2,73,9868,Djené,5-3-2,Jesús Gil,Match Report,
1,2021-08-23,20:00,La Liga,Matchweek 2,Mon,Home,L,0,1,Sevilla,0.6,1.3,40,4810,Djené,4-4-2,José Sánchez,Match Report,
2,2021-08-29,17:00,La Liga,Matchweek 3,Sun,Away,L,1,2,Barcelona,0.4,1.2,34,26543,Djené,4-4-2,Pablo González,Match Report,
3,2021-09-13,20:00,La Liga,Matchweek 4,Mon,Home,L,0,1,Elche,0.5,0.7,56,6853,Djené,3-1-4-2,Mario Melero,Match Report,
4,2021-09-18,14:00,La Liga,Matchweek 5,Sat,Away,L,0,3,Rayo Vallecano,1.2,2.3,50,3280,Djené,4-4-2,Adrián Cordero,Match Report,
5,2021-09-21,19:30,La Liga,Matchweek 6,Tue,Home,L,1,2,Atlético Madrid,0.4,1.0,32,8950,Djené,5-3-2,Guillermo Cuadra,Match Report,
6,2021-09-26,21:00,La Liga,Matchweek 7,Sun,Away,L,0,2,Betis,0.9,2.3,48,29825,Djené,3-5-2,Santiago Jaime,Match Report,
7,2021-10-03,18:30,La Liga,Matchweek 8,Sun,Home,D,1,1,Real Sociedad,0.7,0.9,38,8463,Djené,4-3-3,Jorge Figueroa,Match Report,
8,2021-10-16,18:30,La Liga,Matchweek 9,Sat,Away,D,0,0,Levante,0.7,1.0,47,14551,Djené,4-4-1-1,Mario Melero,Match Report,
9,2021-10-25,21:00,La Liga,Matchweek 10,Mon,Home,L,0,3,Celta Vigo,0.5,1.9,35,7630,Djené,4-4-1-1,Juan Martínez,Match Report,
10,2021-10-28,20:00,La Liga,Matchweek 11,Thu,Away,D,1,1,Granada,0.3,2.1,25,13651,Damián Suárez,4-4-2,Adrián Cordero,Match Report,
11,2021-10-31,18:30,La Liga,Matchweek 12,Sun,Home,W,2,1,Espanyol,0.9,0.8,44,4721,Djené,4-4-2,Alejandro Muñíz,Match Report,
12,2021-11-07,14:00,La Liga,Matchweek 13,Sun,Away,L,0,1,Villarreal,0.3,1.2,34,13504,Djené,5-3-2,Jesús Gil,Match Report,
13,2021-11-21,14:00,La Liga,Matchweek 14,Sun,Home,W,4,0,Cádiz,1.5,0.5,47,8825,Djené,5-3-2,Ricardo de Burgos,Match Report,
14,2021-11-27,18:30,La Liga,Matchweek 15,Sat,Away,D,0,0,Mallorca,0.8,0.6,47,8635,Djené,5-3-2,Santiago Jaime,Match Report,
15,2021-11-30,21:00,Copa del Rey,First round,Tue,Away,W,5,1,CFJ Mollerussa,,,65,4000,Jaime Mata,5-3-2,Alejandro Hernández,Match Report,
16,2021-12-06,21:00,La Liga,Matchweek 16,Mon,Home,D,0,0,Athletic Club,1.6,0.7,45,9176,Djené,5-3-2,Jorge Figueroa,Match Report,
17,2021-12-11,16:15,La Liga,Matchweek 17,Sat,Away,D,1,1,Alavés,1.0,0.6,36,10065,Djené,5-3-2,César Soto,Match Report,
18,2021-12-16,21:00,Copa del Rey,Second round,Thu,Away,L,0,5,Atlético Baleares,,,41,5000,Jaime Mata,5-3-2,Alberola Rojas,Match Report,
19,2021-12-19,18:30,La Liga,Matchweek 18,Sun,Home,W,1,0,Osasuna,1.4,0.6,49,8126,Djené,5-3-2,José Luis Munuera,Match Report,
20,2022-01-02,14:00,La Liga,Matchweek 19,Sun,Home,W,1,0,Real Madrid,0.7,0.8,27,11890,Damián Suárez,5-3-2,Mario Melero,Match Report,
21,2022-01-09,16:15,La Liga,Matchweek 20,Sun,Away,L,0,1,Sevilla,0.1,0.8,33,30801,Djené,5-3-2,Juan Martínez,Match Report,
22,2022-01-20,19:00,La Liga,Matchweek 21,Thu,Home,W,4,2,Granada,1.1,0.9,50,7634,Djené,5-3-2,Isidro Díaz de Mera,Match Report,
23,2022-01-23,18:30,La Liga,Matchweek 22,Sun,Away,D,0,0,Real Sociedad,0.4,0.7,30,27368,Djené,5-3-2,José Luis Munuera,Match Report,
24,2022-02-04,21:00,La Liga,Matchweek 23,Fri,Home,W,3,0,Levante,1.1,0.6,41,8475,Djené,5-3-2,Alejandro Muñíz,Match Report,
25,2022-02-12,21:00,La Liga,Matchweek 24,Sat,Away,L,3,4,Atlético Madrid,2.5,2.7,50,49375,Djené,5-3-2,Ricardo de Burgos,Match Report,
26,2022-02-19,18:30,La Liga,Matchweek 25,Sat,Away,D,1,1,Cádiz,0.9,0.8,36,15948,Djené,5-3-2,Alberola Rojas,Match Report,
27,2022-02-26,16:15,La Liga,Matchweek 26,Sat,Home,D,2,2,Alavés,1.3,1.1,50,7720,Djené,3-5-2,Santiago Jaime,Match Report,
28,2022-03-05,16:15,La Liga,Matchweek 27,Sat,Away,L,0,2,Espanyol,0.5,0.1,46,18519,Djené,3-5-2,Adrián Cordero,Match Report,
29,2022-03-12,21:00,La Liga,Matchweek 28,Sat,Home,D,0,0,Valencia,0.9,0.3,53,10349,Djené,5-3-2,Guillermo Cuadra,Match Report,
30,2022-03-18,21:00,La Liga,Matchweek 29,Fri,Away,D,1,1,Athletic Club,0.4,2.1,34,37367,Djené,5-3-2,Jesús Gil,Match Report,
31,2022-04-02,14:00,La Liga,Matchweek 30,Sat,Home,W,1,0,Mallorca,1.7,0.5,61,8946,Djené,3-5-2,Antonio Matéu Lahoz,Match Report,
32,2022-04-09,21:00,La Liga,Matchweek 31,Sat,Away,L,0,2,Real Madrid,0.4,1.8,32,50740,Djené,5-3-2,César Soto,Match Report,
