,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,28,1990,29,2507,86,73.3,27.9,29,86,25,0,,0,1.24,21,38,-17,-0.61,-0.41,26.6,37.2,-10.6,-0.38,+0.28
1,Max Aarons,eng  ENG,DF,Norwich City,19,2000,36,3240,90,94.7,36.0,36,90,36,0,,0,0.50,23,71,-48,-1.33,-0.83,35.9,58.2,-22.4,-0.62,+0.14
2,Tammy Abraham,eng  ENG,FW,Chelsea,21,1997,34,2215,65,64.8,24.6,25,81,9,9,20,0,1.82,45,34,+11,+0.45,+0.15,44.0,26.9,+17.1,+0.69,-0.17
3,Che Adams,sct  SCO,FW,Southampton,23,1996,30,1111,37,32.5,12.3,12,73,0,18,13,6,1.47,17,17,0,0.00,+0.35,17.8,16.5,+1.3,+0.11,+0.13
4,Adrián,es  ESP,GK,Liverpool,32,1987,11,875,80,25.6,9.7,9,90,9,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.7,9.6,+9.2,+0.94,+0.16
5,Daniel Adshead,eng  ENG,MF,Norwich City,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
6,Sergio Agüero,ar  ARG,FW,Manchester City,31,1988,24,1452,61,42.5,16.1,18,75,8,6,16,2,2.08,43,18,+25,+1.55,-0.37,39.6,15.9,+23.8,+1.47,-0.10
7,Albian Ajeti,ch  SUI,"MF,FW",West Ham,22,1997,9,139,15,4.1,1.5,0,,0,9,15,19,0.22,2,3,-1,-0.65,-0.32,2.8,1.5,+1.4,+0.88,+1.32
8,Nathan Aké,nl  NED,DF,Bournemouth,24,1995,29,2503,86,73.2,27.8,29,86,27,0,,1,0.93,30,47,-17,-0.61,+0.17,31.9,41.3,-9.3,-0.34,+0.20
9,Marc Albrighton,eng  ENG,"MF,DF",Leicester City,29,1989,20,867,43,25.4,9.6,9,69,2,11,22,16,1.45,16,11,+5,+0.52,-0.22,14.1,11.8,+2.3,+0.24,-0.28
10,Toby Alderweireld,be  BEL,DF,Tottenham,30,1989,33,2957,90,86.5,32.9,33,90,32,0,,5,1.64,53,39,+14,+0.43,+0.43,40.5,43.6,-3.1,-0.09,+0.47
11,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,20,1998,38,3175,84,92.8,35.3,35,88,31,3,26,0,2.61,80,31,+49,+1.39,+0.29,68.0,38.6,+29.5,+0.83,+0.10
12,Alisson,br  BRA,GK,Liverpool,26,1992,29,2543,88,74.4,28.3,29,88,27,0,,0,2.48,61,23,+38,+1.34,-0.09,52.7,30.7,+22.1,+0.78,-0.18
13,Thomas Allan,eng  ENG,MF,Newcastle Utd,19,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
14,Dele Alli,eng  ENG,"MF,FW",Tottenham,23,1996,25,1847,74,54.0,20.5,21,84,12,4,19,3,1.40,31,25,+6,+0.29,-0.17,27.6,29.7,-2.1,-0.10,+0.12
15,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,25,1994,36,3021,84,88.3,33.6,35,85,21,1,58,1,1.22,35,48,-13,-0.39,+1.19,29.9,50.8,-20.9,-0.62,+0.36
16,Marcos Alonso,es  ESP,DF,Chelsea,28,1990,18,1430,79,41.8,15.9,15,87,12,3,41,9,2.22,39,18,+21,+1.32,+1.59,30.2,16.3,+14.0,+0.88,+0.22
17,Steven Alzate,co  COL,"MF,DF",Brighton,20,1998,19,1188,63,34.7,13.2,12,90,10,7,16,3,1.11,19,18,+1,+0.08,+0.72,16.1,18.4,-2.3,-0.17,+0.27
18,Ibrahim Amadou,fr  FRA,"DF,MF",Norwich City,26,1993,11,759,69,22.2,8.4,8,84,7,3,28,9,0.73,8,20,-12,-1.42,-0.17,9.7,17.1,-7.4,-0.88,-0.32
19,Joseph Anang,gh  GHA,GK,West Ham,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
20,Felipe Anderson,br  BRA,"MF,FW",West Ham,26,1993,25,1497,60,43.8,16.6,20,73,6,5,9,4,0.88,21,27,-6,-0.36,-0.03,18.4,27.6,-9.3,-0.56,-0.29
21,Florin Andone,ro  ROU,"MF,FW",Brighton,26,1993,3,73,24,2.1,0.8,1,29,0,2,22,0,1.33,2,0,+2,+2.47,+2.92,1.7,2.3,-0.6,-0.76,-0.41
22,Angeliño,es  ESP,DF,Manchester City,22,1997,6,423,71,12.4,4.7,4,90,4,2,32,9,2.00,11,7,+4,+0.85,-1.04,10.8,4.5,+6.3,+1.35,-0.21
23,Faustino Anjorin,eng  ENG,FW,Chelsea,17,2001,1,20,20,0.6,0.2,0,,0,1,20,0,3.00,0,0,0,0.00,-0.40,0.1,0.1,0.0,+0.15,-0.61
24,Michail Antonio,jm  JAM,FW,West Ham,29,1990,24,1768,74,51.7,19.6,19,82,12,5,41,0,1.08,31,30,+1,+0.05,+0.81,26.8,28.2,-1.4,-0.07,+0.66
