,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,28,1990,27.9,62,2.23,32,23,3,2,2,0,5,0.18,3,1,1,0,0,0
1,Max Aarons,eng  ENG,DF,Norwich City,19,2000,36.0,55,1.53,42,2,3,3,4,1,3,0.08,1,1,0,0,1,0
2,Tammy Abraham,eng  ENG,FW,Chelsea,21,1997,24.6,50,2.03,33,0,6,6,2,3,10,0.41,4,0,3,2,1,0
3,Che Adams,sct  SCO,FW,Southampton,23,1996,12.3,25,2.03,15,0,3,2,4,1,5,0.41,2,0,1,0,2,0
4,Adrián,es  ESP,GK,Liverpool,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Sergio Agüero,ar  ARG,FW,Manchester City,31,1988,16.1,51,3.16,28,0,9,9,5,0,8,0.50,4,0,1,2,1,0
6,Albian Ajeti,ch  SUI,"MF,FW",West Ham,22,1997,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7,Nathan Aké,nl  NED,DF,Bournemouth,24,1995,27.8,13,0.47,7,0,1,4,1,0,2,0.07,1,0,0,1,0,0
8,Marc Albrighton,eng  ENG,"MF,DF",Leicester City,29,1989,9.6,26,2.70,22,2,1,1,0,0,5,0.52,5,0,0,0,0,0
9,Toby Alderweireld,be  BEL,DF,Tottenham,30,1989,32.9,20,0.61,18,0,0,1,0,1,2,0.06,2,0,0,0,0,0
10,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,20,1998,35.3,151,4.28,91,50,3,5,1,1,23,0.65,14,7,0,2,0,0
11,Alisson,br  BRA,GK,Liverpool,26,1992,28.3,4,0.14,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0
12,Dele Alli,eng  ENG,"MF,FW",Tottenham,23,1996,20.5,54,2.63,39,1,9,2,2,1,12,0.58,5,0,5,2,0,0
13,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,25,1994,33.6,80,2.38,58,0,7,5,7,3,2,0.06,2,0,0,0,0,0
14,Marcos Alonso,es  ESP,DF,Chelsea,28,1990,15.9,47,2.96,36,5,1,2,3,0,6,0.38,4,0,0,0,2,0
15,Steven Alzate,co  COL,"MF,DF",Brighton,20,1998,13.2,30,2.27,22,0,5,2,1,0,1,0.08,0,0,0,0,1,0
16,Ibrahim Amadou,fr  FRA,"DF,MF",Norwich City,26,1993,8.4,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
