,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,28,1990,27.9,0,0,0,9,14,2,44,23,32,0,0,1,243,12,17,41.4
1,Max Aarons,eng  ENG,DF,Norwich City,19,2000,36.0,7,0,0,34,51,3,54,20,36,1,0,0,281,23,42,35.4
2,Tammy Abraham,eng  ENG,FW,Chelsea,21,1997,24.6,2,0,0,20,30,23,10,5,10,1,0,1,95,67,110,37.9
3,Che Adams,sct  SCO,FW,Southampton,23,1996,12.3,0,0,0,20,23,10,12,3,6,1,0,0,73,29,86,25.2
4,Adrián,es  ESP,GK,Liverpool,32,1987,9.7,1,0,0,0,2,0,0,0,0,0,0,0,47,0,0,
5,Sergio Agüero,ar  ARG,FW,Manchester City,31,1988,16.1,1,0,0,9,11,6,8,2,5,2,0,0,61,2,14,12.5
6,Albian Ajeti,ch  SUI,"MF,FW",West Ham,22,1997,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0
7,Nathan Aké,nl  NED,DF,Bournemouth,24,1995,27.8,2,0,0,12,18,3,2,27,11,0,0,0,247,64,58,52.5
8,Marc Albrighton,eng  ENG,"MF,DF",Leicester City,29,1989,9.6,2,0,0,9,11,1,49,9,11,0,1,0,90,2,5,28.6
9,Toby Alderweireld,be  BEL,DF,Tottenham,30,1989,32.9,7,0,0,20,5,1,8,11,24,0,0,1,322,76,54,58.5
10,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,20,1998,35.3,5,0,0,25,10,3,183,34,25,0,0,0,352,14,32,30.4
11,Alisson,br  BRA,GK,Liverpool,26,1992,28.3,0,1,0,0,2,0,0,1,0,0,0,0,153,0,0,
12,Dele Alli,eng  ENG,"MF,FW",Tottenham,23,1996,20.5,2,0,0,14,37,6,5,7,29,0,0,0,157,17,32,34.7
13,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,25,1994,33.6,5,0,0,35,68,24,38,20,36,0,0,0,228,9,37,19.6
14,Marcos Alonso,es  ESP,DF,Chelsea,28,1990,15.9,4,0,0,18,17,2,51,14,19,1,0,0,183,42,31,57.5
15,Steven Alzate,co  COL,"MF,DF",Brighton,20,1998,13.2,1,0,0,21,21,3,11,10,23,0,0,0,137,14,11,56.0
16,Ibrahim Amadou,fr  FRA,"DF,MF",Norwich City,26,1993,8.4,1,0,0,8,3,0,1,11,7,0,1,0,75,15,14,51.7
17,Felipe Anderson,br  BRA,"MF,FW",West Ham,26,1993,16.6,1,0,0,20,29,2,32,14,30,0,0,0,135,4,24,14.3
18,Florin Andone,ro  ROU,"MF,FW",Brighton,26,1993,0.8,0,1,0,1,2,0,1,0,2,0,0,0,7,2,3,40.0
19,Angeliño,es  ESP,DF,Manchester City,22,1997,4.7,1,0,0,2,4,0,30,5,5,0,0,0,49,8,8,50.0
20,Faustino Anjorin,eng  ENG,FW,Chelsea,17,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
21,Michail Antonio,jm  JAM,FW,West Ham,29,1990,19.6,3,0,0,41,41,12,52,8,10,0,0,0,95,76,115,39.8
22,Stuart Armstrong,sct  SCO,MF,Southampton,27,1992,19.1,4,0,0,26,22,4,14,9,25,0,0,0,169,10,29,25.6
23,Kepa Arrizabalaga,es  ESP,GK,Chelsea,24,1994,33.0,0,0,0,0,5,0,0,0,0,0,0,0,138,0,0,
24,Christian Atsu,gh  GHA,"FW,MF",Newcastle Utd,27,1992,8.3,2,0,0,12,11,4,15,7,9,0,0,0,50,7,12,36.8
25,Pierre-Emerick Aubameyang,ga  GAB,FW,Arsenal,30,1989,34.8,3,1,0,21,23,20,84,9,24,0,0,0,125,37,59,38.5
26,Serge Aurier,ci  CIV,DF,Tottenham,26,1992,30.0,4,1,1,42,25,6,98,29,55,0,2,1,320,67,67,50.0
27,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,27,1991,35.0,6,0,0,75,112,9,20,14,29,0,0,0,212,59,175,25.2
28,César Azpilicueta,es  ESP,DF,Chelsea,29,1989,35.9,1,0,0,45,17,3,110,39,61,0,0,0,380,94,60,61.0
29,Eric Bailly,ci  CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,2,0,0,0,2,0,0,1,0,22,6,1,85.7
30,Leighton Baines,eng  ENG,DF,Everton,34,1984,4.5,0,0,0,2,3,0,12,2,6,0,0,0,29,6,6,50.0
31,Fabián Balbuena,py  PAR,DF,West Ham,27,1991,13.1,2,0,0,7,2,0,1,15,11,0,0,0,142,46,28,62.2
32,George Baldock,eng  ENG,DF,Sheffield Utd,26,1993,38.0,7,0,0,53,44,11,96,30,45,1,0,0,303,37,55,40.2
33,Phil Bardsley,sct  SCO,DF,Burnley,34,1985,21.0,6,0,0,42,15,0,20,15,33,0,0,0,197,33,26,55.9
34,Ross Barkley,eng  ENG,MF,Chelsea,25,1993,12.3,0,0,0,10,19,0,9,6,11,0,0,0,97,10,15,40.0
35,Ashley Barnes,eng  ENG,FW,Burnley,29,1989,15.0,4,0,0,33,43,13,1,5,4,1,0,0,65,42,86,32.8
36,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,21,1997,23.1,0,0,0,20,34,4,37,6,12,1,0,0,119,25,39,39.1
37,Chris Basham,eng  ENG,DF,Sheffield Utd,31,1988,36.0,4,0,0,31,38,5,38,40,50,0,1,0,412,105,65,61.8
38,Borja Bastón,es  ESP,"MF,FW",Aston Villa,26,1992,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,25.0
39,Michy Batshuayi,be  BEL,FW,Chelsea,25,1993,2.7,0,0,0,5,4,7,1,0,1,0,0,0,17,6,15,28.6
40,Jan Bednarek,pl  POL,DF,Southampton,23,1996,34.0,4,0,0,36,13,0,0,44,38,0,1,1,401,132,54,71.0
41,Héctor Bellerín,es  ESP,DF,Arsenal,24,1995,12.9,2,0,0,15,4,1,22,10,16,0,0,0,100,13,17,43.3
42,Nabil Bentaleb,dz  ALG,MF,Newcastle Utd,24,1994,8.3,2,0,0,23,5,0,2,10,23,0,0,0,109,15,10,60.0
43,Christian Benteke,be  BEL,FW,Crystal Palace,28,1990,14.0,4,1,0,29,25,12,8,6,5,0,0,0,55,118,101,53.9
44,Jóhann Berg Guðmundsson,is  ISL,MF,Burnley,28,1990,6.9,0,0,0,9,4,1,27,4,3,0,0,0,45,9,14,39.1
45,Sander Berge,no  NOR,MF,Sheffield Utd,21,1998,10.5,0,0,0,21,9,1,16,3,17,0,0,0,95,30,16,65.2
46,Steven Bergwijn,nl  NED,"FW,MF",Tottenham,21,1997,7.8,2,0,0,9,13,0,9,5,4,1,0,0,71,6,8,42.9
47,Bernard,br  BRA,"MF,FW",Everton,26,1992,14.2,2,0,0,21,12,0,30,15,14,0,0,0,115,1,15,6.3
48,Bernardo,br  BRA,DF,Brighton,24,1995,7.5,1,0,0,4,6,4,14,5,16,0,0,0,71,28,9,75.7
49,Ryan Bertrand,eng  ENG,DF,Southampton,29,1989,30.5,3,1,0,35,35,1,81,26,28,0,0,0,274,66,54,55.0
50,Muhamed Bešić,ba  BIH,MF,Sheffield Utd,26,1992,2.8,2,0,0,7,1,0,1,2,6,0,0,0,28,5,5,50.0
51,Philip Billing,dk  DEN,MF,Bournemouth,23,1996,28.1,8,0,0,48,31,2,18,39,46,0,0,0,322,107,66,61.8
52,Yves Bissouma,ml  MLI,MF,Brighton,22,1996,14.0,4,0,0,41,20,0,6,16,36,0,0,0,157,17,11,60.7
53,Willy Boly,ci  CIV,DF,Wolves,28,1991,22.0,3,1,1,28,10,1,0,21,40,0,0,0,218,73,27,73.0
54,Gaëtan Bong,cm  CMR,"MF,DF",Brighton,31,1988,0.7,0,0,0,0,1,0,5,0,0,0,0,0,4,0,3,0.0
55,Sofiane Boufal,ma  MAR,"MF,FW",Southampton,25,1993,8.5,2,0,0,29,25,2,30,5,12,0,1,0,69,8,11,42.1
56,Jarrod Bowen,eng  ENG,FW,West Ham,22,1996,10.2,0,0,0,4,23,1,31,16,13,0,0,0,68,4,23,14.8
57,Robbie Brady,ie  IRL,MF,Burnley,27,1992,5.0,1,0,0,12,6,1,8,6,5,0,0,0,44,15,5,75.0
58,Jarrad Branthwaite,eng  ENG,DF,Everton,17,2002,3.3,0,0,0,4,3,0,0,1,7,0,0,0,24,8,11,42.1
59,Claudio Bravo,cl  CHI,GK,Manchester City,36,1983,3.9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
60,Armando Broja,al  ALB,FW,Chelsea,17,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
61,David Brooks,wls  WAL,MF,Bournemouth,22,1997,5.6,1,0,0,5,7,0,14,1,3,0,0,0,26,0,6,0.0
62,Josh Brownhill,eng  ENG,MF,Burnley,23,1995,8.9,2,0,0,11,10,0,2,5,8,0,0,0,104,20,15,57.1
63,Emi Buendía,ar  ARG,"FW,MF",Norwich City,22,1996,27.4,6,1,0,40,69,2,43,25,58,0,0,0,233,23,54,29.9
64,Dan Burn,eng  ENG,DF,Brighton,27,1992,32.0,5,0,0,37,14,3,40,26,36,0,0,0,308,137,52,72.5
65,Sam Byram,eng  ENG,DF,Norwich City,25,1993,14.4,4,0,0,18,9,1,3,20,23,0,0,0,152,42,30,58.3
66,Willy Caballero,ar  ARG,GK,Chelsea,37,1981,5.0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
67,Gary Cahill,eng  ENG,DF,Crystal Palace,33,1985,24.1,1,0,0,14,12,0,0,13,12,0,0,0,219,78,45,63.4
68,Dominic Calvert-Lewin,eng  ENG,FW,Everton,22,1997,29.2,9,0,0,58,48,13,19,7,11,0,0,0,102,170,196,46.4
69,Víctor Camarasa,es  ESP,MF,Crystal Palace,25,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,João Cancelo,pt  POR,DF,Manchester City,25,1994,13.4,4,0,0,21,12,0,36,16,26,0,0,0,152,22,20,52.4
71,Todd Cantwell,eng  ENG,"FW,MF",Norwich City,21,1998,27.7,6,0,0,44,76,3,16,12,29,0,1,0,179,16,42,27.6
72,Étienne Capoue,fr  FRA,MF,Watford,31,1988,29.2,8,0,0,71,51,0,14,43,55,0,1,0,401,46,14,76.7
73,Andy Carroll,eng  ENG,FW,Newcastle Utd,30,1989,7.0,1,0,0,18,16,6,6,3,1,0,0,0,43,78,61,56.1
74,Jonny Castro,es  ESP,DF,Wolves,25,1994,32.1,4,0,0,38,34,2,43,36,61,0,0,0,237,37,54,40.7
75,Craig Cathcart,nir  NIR,DF,Watford,30,1989,27.6,7,0,0,22,3,0,3,16,26,0,0,0,258,75,45,62.5
76,Dani Ceballos,es  ESP,MF,Arsenal,22,1996,18.8,1,0,0,25,39,0,22,20,28,0,0,0,190,11,22,33.3
77,Nathaniel Chalobah,eng  ENG,MF,Watford,24,1994,10.3,1,0,0,12,12,0,4,9,19,0,0,0,115,17,14,54.8
78,Calum Chambers,eng  ENG,DF,Arsenal,24,1995,12.2,5,0,0,17,4,0,27,13,18,0,1,0,123,37,27,57.8
79,Ben Chilwell,eng  ENG,DF,Leicester City,22,1996,26.4,3,0,0,34,32,1,78,20,26,0,0,0,240,62,22,73.8
80,Tahith Chong,nl  NED,"FW,DF",Manchester Utd,19,1999,0.4,0,0,0,2,1,0,0,1,0,0,0,0,2,0,2,0.0
81,Hamza Choudhury,eng  ENG,MF,Leicester City,21,1997,9.9,4,1,1,13,11,0,4,18,13,0,0,0,104,11,8,57.9
82,Andreas Christensen,dk  DEN,DF,Chelsea,23,1996,19.5,5,0,0,18,11,0,0,15,20,0,0,0,173,68,40,63.0
83,Ciaran Clark,ie  IRL,DF,Newcastle Utd,29,1989,13.2,3,0,0,11,8,0,2,14,12,0,0,0,100,31,31,50.0
84,Leon Clarke,eng  ENG,"FW,MF",Sheffield Utd,34,1985,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,66.7
85,Tom Cleverley,eng  ENG,MF,Watford,29,1989,10.8,2,0,0,19,13,0,20,9,17,0,0,0,92,8,14,36.4
86,Conor Coady,eng  ENG,DF,Wolves,26,1993,38.0,5,0,0,20,6,0,0,24,22,0,1,0,387,42,24,63.6
87,Séamus Coleman,ie  IRL,DF,Everton,30,1988,20.4,5,1,1,21,21,1,34,12,31,0,0,0,211,30,22,57.7
88,Aaron Connolly,ie  IRL,FW,Brighton,19,2000,14.0,0,0,0,15,37,14,7,5,8,2,0,0,54,14,48,22.6
89,Lewis Cook,eng  ENG,MF,Bournemouth,22,1997,15.0,5,0,0,31,18,0,9,13,16,0,0,0,168,14,16,46.7
90,Steve Cook,eng  ENG,DF,Bournemouth,28,1991,27.0,6,1,0,19,14,1,3,19,13,0,1,0,287,108,61,63.9
91,Jack Cork,eng  ENG,MF,Burnley,30,1989,29.0,1,0,0,46,30,1,8,25,27,0,0,0,339,53,64,45.3
92,Aaron Cresswell,eng  ENG,DF,West Ham,29,1989,30.3,7,0,0,23,22,2,70,15,29,0,0,0,295,51,34,60.0
93,Patrick Cutrone,it  ITA,FW,Wolves,21,1998,3.3,0,0,0,5,10,4,6,0,4,0,0,0,25,5,21,19.2
94,Diogo Dalot,pt  POR,"DF,MF",Manchester Utd,20,1999,0.7,0,0,0,1,0,0,2,0,2,0,0,0,8,4,0,100.0
95,Charlie Daniels,eng  ENG,DF,Bournemouth,32,1986,1.4,0,0,0,0,0,0,3,4,0,0,0,0,9,2,1,66.7
96,Scott Dann,eng  ENG,DF,Crystal Palace,32,1987,14.1,0,0,0,5,0,0,2,11,5,0,0,0,154,36,32,52.9
97,Kevin Danso,at  AUT,DF,Southampton,20,1998,3.1,2,1,1,3,3,0,6,2,4,0,0,0,28,11,10,52.4
98,Ben Davies,wls  WAL,DF,Tottenham,26,1993,15.9,6,0,0,31,10,1,29,12,13,0,0,0,163,42,22,65.6
99,Tom Davies,eng  ENG,MF,Everton,21,1998,22.5,8,0,0,37,44,1,4,28,18,0,0,0,252,34,31,52.3
100,Keinan Davis,eng  ENG,FW,Aston Villa,21,1998,6.1,0,0,0,14,12,3,2,0,2,0,0,0,28,24,39,38.1
101,Craig Dawson,eng  ENG,DF,Watford,29,1990,26.2,6,0,0,38,12,0,3,20,19,0,1,0,255,108,35,75.5
102,Kevin De Bruyne,be  BEL,MF,Manchester City,28,1991,31.0,3,0,0,32,38,3,143,11,28,0,0,0,232,18,22,45.0
103,Troy Deeney,eng  ENG,FW,Watford,31,1988,24.7,3,0,0,40,36,12,14,6,17,1,0,0,119,174,290,37.5
104,Fabian Delph,eng  ENG,MF,Everton,29,1989,13.2,5,1,1,20,12,0,4,13,11,0,0,0,175,12,10,54.5
105,Leander Dendoncker,be  BEL,"MF,DF",Wolves,24,1995,31.1,5,0,0,34,13,0,7,23,40,0,1,1,302,90,70,56.3
106,Gerard Deulofeu,es  ESP,FW,Watford,25,1994,23.3,3,0,0,29,29,18,59,26,21,1,0,0,164,3,15,16.7
107,Eric Dier,eng  ENG,"DF,MF",Tottenham,25,1994,14.9,5,0,0,24,6,1,1,6,14,0,1,0,170,79,36,68.7
108,Lucas Digne,fr  FRA,DF,Everton,26,1993,33.7,6,0,0,49,31,3,153,24,39,0,1,1,363,112,53,67.9
109,Virgil van Dijk,nl  NED,DF,Liverpool,28,1991,38.0,1,0,0,18,28,1,0,24,20,0,0,0,505,183,43,81.0
110,Issa Diop,fr  FRA,DF,West Ham,22,1997,30.7,8,0,0,37,12,1,1,32,16,0,3,0,306,84,39,68.3
111,Moussa Djenepo,ml  MLI,"MF,DF",Southampton,21,1998,10.3,4,1,0,23,32,3,16,7,18,0,0,0,55,5,14,26.3
112,Matt Doherty,ie  IRL,DF,Wolves,27,1992,31.5,1,0,0,31,22,3,38,19,33,1,1,0,255,107,92,53.8
113,Abdoulaye Doucouré,fr  FRA,MF,Watford,26,1993,35.1,9,0,0,64,22,6,27,24,49,0,1,1,440,53,53,50.0
114,Thomas Doyle,eng  ENG,MF,Manchester City,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
115,Josip Drmić,ch  SUI,"FW,MF",Norwich City,26,1992,7.2,0,1,0,10,7,7,3,3,3,0,0,0,49,12,40,23.1
116,Martin Dúbravka,sk  SVK,GK,Newcastle Utd,30,1989,38.0,0,0,0,0,5,0,0,0,0,0,0,0,170,0,0,
117,Ondrej Duda,sk  SVK,MF,Norwich City,24,1994,8.0,0,0,0,12,13,2,8,5,15,0,0,0,66,8,20,28.6
118,Shane Duffy,ie  IRL,DF,Brighton,27,1992,13.8,2,0,0,16,8,0,1,13,9,0,0,0,136,63,17,78.8
119,Paul Dummett,wls  WAL,DF,Newcastle Utd,27,1991,13.6,2,0,0,6,7,0,14,15,6,0,0,1,121,35,23,60.3
120,Lewis Dunk,eng  ENG,DF,Brighton,27,1991,35.9,9,0,0,28,24,1,2,36,28,0,0,0,410,84,44,65.6
121,Ederson,br  BRA,GK,Manchester City,25,1993,34.1,3,1,0,1,2,0,0,0,1,0,0,0,155,0,0,
122,John Egan,ie  IRL,DF,Sheffield Utd,26,1992,35.4,5,1,1,33,23,1,3,26,27,0,1,0,371,139,57,70.9
123,Harvey Elliott,eng  ENG,DF,Liverpool,16,2003,0.1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
124,Ahmed Elmohamady,eg  EGY,DF,Aston Villa,31,1987,11.5,1,0,0,14,5,2,50,6,17,0,0,0,114,25,20,55.6
125,Björn Engels,be  BEL,DF,Aston Villa,24,1994,16.1,1,0,0,6,6,1,3,12,4,0,2,0,128,58,28,67.4
126,Christian Eriksen,dk  DEN,"MF,FW",Tottenham,27,1992,12.2,5,0,0,10,7,2,24,8,12,0,0,0,138,3,9,25.0
127,Jonny Evans,nir  NIR,DF,Leicester City,31,1988,37.6,8,1,0,41,27,2,5,39,31,1,1,1,434,141,60,70.1
128,Łukasz Fabiański,pl  POL,GK,West Ham,34,1985,23.5,1,0,0,1,2,0,0,0,0,0,1,0,120,0,0,
129,Fabinho,br  BRA,MF,Liverpool,25,1993,23.1,6,0,0,36,24,0,6,25,53,0,0,0,326,41,30,57.7
130,Ralf Fährmann,de  GER,GK,Norwich City,30,1988,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
131,Akin Famewo,eng  ENG,MF,Norwich City,20,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,Kiko Femenía,es  ESP,DF,Watford,28,1991,24.9,5,0,0,32,16,1,56,27,32,1,0,0,271,21,10,67.7
133,Bruno Fernandes,pt  POR,MF,Manchester Utd,24,1994,13.2,2,0,0,12,21,2,22,7,14,2,0,0,91,2,10,16.7
134,Gedson Fernandes,pt  POR,"MF,DF",Tottenham,20,1999,0.8,0,0,0,0,2,0,3,0,1,0,0,0,9,0,1,0.0
135,Federico Fernández,ar  ARG,DF,Newcastle Utd,30,1989,29.1,8,0,0,21,19,2,16,8,32,0,0,1,250,68,50,57.6
136,Fernandinho,br  BRA,DF,Manchester City,34,1985,26.6,9,2,1,29,22,1,3,16,25,0,0,1,310,73,36,67.0
137,Roberto Firmino,br  BRA,FW,Liverpool,27,1991,33.2,0,0,0,33,26,6,16,11,26,0,0,0,191,29,74,28.2
138,John Fleck,sct  SCO,MF,Sheffield Utd,27,1991,28.0,8,0,0,38,28,1,58,20,24,0,0,0,250,12,25,32.4
139,Phil Foden,eng  ENG,"FW,MF",Manchester City,19,2000,10.0,0,0,0,11,21,1,22,3,9,0,0,0,61,8,17,32.0
140,Pablo Fornals,es  ESP,"MF,FW",West Ham,23,1996,24.1,3,0,0,20,22,7,37,15,29,0,0,0,187,9,49,15.5
141,Ben Foster,eng  ENG,GK,Watford,36,1983,38.0,1,0,0,2,5,0,0,0,0,0,2,0,222,1,0,100.0
142,Timothy Fosu-Mensah,nl  NED,DF,Manchester Utd,21,1998,1.5,1,0,0,6,0,1,2,4,1,0,0,0,9,1,2,33.3
143,Dimitri Foulquier,fr  FRA,"DF,MF",Watford,26,1993,0.7,0,0,0,0,1,0,0,1,1,0,0,0,4,0,2,0.0
144,Juan Foyth,ar  ARG,DF,Tottenham,21,1998,0.8,1,0,0,3,0,0,0,3,4,0,0,0,11,1,0,100.0
145,Simon Francis,eng  ENG,DF,Bournemouth,34,1985,10.8,5,1,1,8,1,0,13,7,12,0,0,0,118,48,28,63.2
146,Ryan Fraser,sct  SCO,"MF,FW",Bournemouth,25,1994,23.0,2,0,0,13,36,1,98,10,8,0,0,0,139,10,26,27.8
147,Fred,br  BRA,MF,Manchester Utd,26,1993,24.0,8,0,0,50,46,1,27,28,51,0,0,0,326,8,16,33.3
148,Ryan Fredericks,eng  ENG,DF,West Ham,26,1992,24.9,7,0,0,28,22,0,53,20,48,0,0,0,200,28,39,41.8
149,Kieron Freeman,wls  WAL,FW,Sheffield Utd,27,1992,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
150,Luke Freeman,eng  ENG,MF,Sheffield Utd,27,1992,4.1,2,0,0,6,4,0,4,7,4,0,0,0,36,5,4,55.6
151,Christian Fuchs,at  AUT,DF,Leicester City,33,1986,8.6,0,0,0,4,0,1,11,14,9,0,0,0,79,22,17,56.4
152,Eric García,es  ESP,DF,Manchester City,18,2001,8.8,1,0,0,11,2,0,1,10,4,0,0,0,65,10,12,45.5
153,James Garner,eng  ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,
154,Dwight Gayle,eng  ENG,FW,Newcastle Utd,28,1990,9.4,2,0,0,8,13,2,5,1,10,0,0,0,25,23,46,33.3
155,Paulo Gazzaniga,ar  ARG,GK,Tottenham,27,1992,17.9,1,0,0,1,3,0,0,0,0,0,1,0,80,0,0,
156,Jean-Philippe Gbamin,ci  CIV,MF,Everton,23,1995,1.5,0,0,0,2,2,0,0,0,4,0,0,0,15,2,2,50.0
157,David de Gea,es  ESP,GK,Manchester Utd,28,1990,38.0,2,0,0,0,7,0,0,0,0,0,0,0,145,0,0,
158,Anwar El Ghazi,nl  NED,"FW,MF",Aston Villa,24,1995,22.8,3,0,0,21,19,12,68,11,10,0,0,0,122,31,52,37.3
159,Morgan Gibbs-White,eng  ENG,"MF,FW",Wolves,19,2000,1.4,0,0,0,1,4,0,2,0,1,0,0,0,13,3,3,50.0
160,Billy Gilmour,sct  SCO,MF,Chelsea,18,2001,2.2,0,0,0,3,2,0,0,2,4,0,0,0,31,3,5,37.5
161,Olivier Giroud,fr  FRA,FW,Chelsea,32,1986,11.0,1,0,0,19,11,9,2,1,3,0,0,0,47,44,41,51.8
162,Ben Godfrey,eng  ENG,DF,Norwich City,21,1998,29.4,3,1,0,14,12,0,2,17,22,0,1,1,275,72,37,66.1
163,André Gomes,pt  POR,MF,Everton,26,1993,16.2,6,0,0,47,23,0,8,5,24,0,1,0,171,13,15,46.4
164,Angel Gomes,eng  ENG,MF,Manchester Utd,18,2000,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
165,Joe Gomez,eng  ENG,DF,Liverpool,22,1997,22.3,7,0,0,24,17,0,5,19,15,0,1,0,351,72,44,62.1
166,Anthony Gordon,eng  ENG,"MF,FW",Everton,18,2001,4.9,0,0,0,10,12,1,8,1,6,0,0,0,23,0,7,0.0
167,Dan Gosling,eng  ENG,MF,Bournemouth,29,1990,14.0,3,0,0,25,24,2,3,12,20,0,0,0,130,22,30,42.3
168,Andre Gray,jm  JAM,FW,Watford,28,1991,8.4,1,0,0,10,3,6,8,0,5,0,0,0,38,14,33,29.8
169,Demarai Gray,eng  ENG,"MF,FW",Leicester City,23,1996,6.9,1,0,0,3,11,3,22,5,5,1,0,0,63,3,7,30.0
170,Jack Grealish,eng  ENG,"FW,MF",Aston Villa,23,1995,35.9,8,0,0,37,180,4,67,15,28,0,0,0,253,17,35,32.7
171,Mason Greenwood,eng  ENG,FW,Manchester Utd,17,2001,14.7,0,0,0,11,17,3,13,7,13,0,0,0,70,6,14,30.0
172,Arnaut Groeneveld,nl  NED,MF,Bournemouth,22,1997,7.0,0,0,0,0,6,5,6,5,5,0,0,0,36,3,10,23.1
173,Pascal Groß,de  GER,"FW,MF",Brighton,28,1991,20.0,4,0,0,23,17,8,65,9,21,0,0,1,123,15,33,31.3
174,Vicente Guaita,es  ESP,GK,Crystal Palace,32,1987,35.0,1,0,0,0,5,0,0,0,0,0,0,1,164,0,1,0.0
175,Mattéo Guendouzi,fr  FRA,MF,Arsenal,20,1999,19.4,6,0,0,25,59,0,6,22,13,1,0,0,192,11,18,37.9
176,Frederic Guilbert,fr  FRA,DF,Aston Villa,24,1994,22.7,7,0,0,45,26,2,64,30,38,0,0,0,220,42,60,41.2
177,İlkay Gündoğan,de  GER,MF,Manchester City,28,1990,22.4,7,0,0,21,18,2,8,27,19,0,1,0,219,17,7,70.8
178,Angus Gunn,eng  ENG,GK,Southampton,23,1996,10.0,0,0,0,0,3,0,0,0,0,0,0,0,38,0,0,
179,Sébastien Haller,ci  CIV,FW,West Ham,25,1994,25.2,1,0,0,53,49,18,8,6,17,1,0,0,121,200,195,50.6
180,Grant Hanley,sct  SCO,DF,Norwich City,27,1991,14.0,4,0,0,15,20,0,1,17,17,0,0,1,107,44,16,73.3
181,Kortney Hause,eng  ENG,DF,Aston Villa,24,1995,17.2,3,0,0,26,8,1,0,11,22,0,0,0,245,102,37,73.4
182,Isaac Hayden,eng  ENG,MF,Newcastle Utd,24,1995,24.7,4,1,0,31,25,2,27,29,37,0,0,0,257,47,35,57.3
183,Tom Heaton,eng  ENG,GK,Aston Villa,33,1986,19.9,0,0,0,1,3,0,0,0,0,0,1,1,84,1,0,100.0
184,Dean Henderson,eng  ENG,GK,Sheffield Utd,22,1997,36.0,2,0,0,0,3,0,0,0,0,0,0,0,199,1,0,100.0
