,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,28,1990,27.9,51,32,33,16,2,22,54,40.7,32,267,74,27.7,159,71,37,57,13,1,44,23,74,67,3
1,Max Aarons,eng  ENG,DF,Norwich City,19,2000,36.0,64,36,40,17,7,21,45,46.7,24,487,132,27.1,283,142,62,100,30,2,70,20,84,86,0
2,Tammy Abraham,eng  ENG,FW,Chelsea,21,1997,24.6,14,10,4,5,5,4,16,25.0,12,430,130,30.2,19,170,241,23,5,0,18,5,19,26,0
3,Che Adams,sct  SCO,FW,Southampton,23,1996,12.3,8,6,2,4,2,0,5,0.0,5,231,58,25.1,9,97,125,10,1,0,9,3,11,10,0
4,Adrián,es  ESP,GK,Liverpool,32,1987,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2
5,Sergio Agüero,ar  ARG,FW,Manchester City,31,1988,16.1,7,5,0,4,3,1,6,16.7,5,222,56,25.2,13,74,135,15,2,0,13,2,9,3,0
6,Albian Ajeti,ch  SUI,"MF,FW",West Ham,22,1997,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,2,0,0
7,Nathan Aké,nl  NED,DF,Bournemouth,24,1995,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,27,52,176,1
8,Marc Albrighton,eng  ENG,"MF,DF",Leicester City,29,1989,9.6,23,11,11,11,1,7,29,24.1,22,191,65,34.0,46,94,51,18,1,0,17,9,32,7,0
9,Toby Alderweireld,be  BEL,DF,Tottenham,30,1989,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,11,55,229,3
10,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,20,1998,35.3,58,25,38,14,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,34,92,98,2
11,Alisson,br  BRA,GK,Liverpool,26,1992,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,1,2,1
12,Dele Alli,eng  ENG,"MF,FW",Tottenham,23,1996,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,7,48,17,0
13,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,25,1994,33.6,62,36,34,17,11,13,46,28.3,33,732,175,23.9,238,277,217,44,1,0,43,20,82,16,0
14,Marcos Alonso,es  ESP,DF,Chelsea,28,1990,15.9,27,19,17,6,4,5,28,17.9,23,215,88,40.9,89,84,42,30,1,0,29,14,41,48,0
15,Steven Alzate,co  COL,"MF,DF",Brighton,20,1998,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,10,38,14,0
16,Ibrahim Amadou,fr  FRA,"DF,MF",Norwich City,26,1993,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,11,32,58,1
17,Felipe Anderson,br  BRA,"MF,FW",West Ham,26,1993,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,14,59,14,0
