,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
434,Jack Stephens,eng  ENG,DF,Southampton,25,1994,27.2,1545,211,824,784,44,16,1498,8,12,66.7,8,1,811,4786,2657,72,5,1,8,7,862,840,97.4,13
435,Raheem Sterling,eng  ENG,FW,Manchester City,24,1994,29.5,1636,12,93,571,1087,296,1616,59,128,46.1,67,3,1328,6723,4310,267,62,67,51,71,1688,1343,79.6,387
436,Enda Stevens,ie  IRL,DF,Sheffield Utd,29,1990,37.2,2300,94,522,984,924,81,1980,62,87,71.3,64,6,1446,7130,4014,219,63,20,39,56,1477,1351,91.5,98
437,Marco Stiepermann,de  GER,MF,Norwich City,28,1991,13.1,554,26,95,292,210,40,534,20,34,58.8,22,3,392,1988,1165,64,20,8,23,21,574,404,70.4,79
438,John Stones,eng  ENG,DF,Manchester City,25,1994,12.5,1100,110,439,706,55,11,1086,3,4,75.0,4,0,766,5505,3318,106,22,0,2,0,866,852,98.4,10
439,Isaac Success,ng  NGA,"FW,MF",Watford,23,1996,0.8,33,0,2,12,24,3,33,1,4,25.0,2,0,28,134,81,6,2,2,3,2,55,27,49.1,10
440,Ki Sung-yueng,kr  KOR,MF,Newcastle Utd,30,1989,1.5,79,4,24,36,25,0,74,3,3,100.0,3,0,56,264,124,4,2,0,1,1,53,51,96.2,3
441,Andrew Surman,eng  ENG,MF,Bournemouth,32,1986,2.6,148,9,57,73,22,0,139,1,1,100.0,1,0,73,309,92,2,0,0,3,1,83,79,95.2,3
442,Sam Surridge,eng  ENG,"FW,MF",Bournemouth,21,1998,0.3,20,0,2,5,13,5,20,1,2,50.0,1,0,11,31,9,1,0,0,4,1,36,17,47.2,9
443,Japhet Tanganga,eng  ENG,DF,Tottenham,20,1999,5.8,320,32,137,162,38,2,286,7,10,70.0,7,0,166,766,411,15,2,0,5,8,171,156,91.2,4
444,Matt Targett,eng  ENG,DF,Aston Villa,23,1995,25.5,1501,124,512,648,418,33,1264,10,23,43.5,14,1,758,3056,1717,73,26,4,6,20,833,771,92.6,52
445,James Tarkowski,eng  ENG,DF,Burnley,26,1992,38.0,1813,313,959,797,111,72,1785,15,16,93.8,16,0,731,3352,1396,35,2,0,14,5,832,792,95.2,62
